Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
2117.962,GAS,10,105.008,1.0,1.0,,,,24.917,38.018,,2080.34,2118.706,253.0,293.0,289.0,212.0,False,MEDIUM,1.0,True,Red Bull Racing,2012.727,2019-03-17 05:13:33.030,12,17.0,False,,False,False
2209.547,GAS,10,91.585,2.0,1.0,,,30.704,24.245,36.636,2148.703,2172.948,2209.584,266.0,289.0,289.0,270.0,True,MEDIUM,2.0,True,Red Bull Racing,2117.962,2019-03-17 05:15:18.265,1,16.0,False,,False,True
2300.953,GAS,10,91.406,3.0,1.0,,,30.92,24.387,36.099,2240.504,2264.891,2300.99,268.0,286.0,307.0,283.0,True,MEDIUM,3.0,True,Red Bull Racing,2209.547,2019-03-17 05:16:49.850,1,16.0,False,,False,True
2393.314,GAS,10,92.361,4.0,1.0,,,32.196,24.238,35.927,2333.186,2357.424,2393.351,261.0,,291.0,293.0,False,MEDIUM,4.0,True,Red Bull Racing,2300.953,2019-03-17 05:18:21.256,1,16.0,False,,False,True
2484.485,GAS,10,91.171,5.0,1.0,,,30.366,24.301,36.504,2423.717,2448.018,2484.522,266.0,,303.0,292.0,True,MEDIUM,5.0,True,Red Bull Racing,2393.314,2019-03-17 05:19:53.617,1,16.0,False,,False,True
2575.505,GAS,10,91.02,6.0,1.0,,,30.534,24.444,36.042,2515.056,2539.5,2575.542,270.0,284.0,307.0,297.0,True,MEDIUM,6.0,True,Red Bull Racing,2484.485,2019-03-17 05:21:24.788,1,16.0,False,,False,True
2666.67,GAS,10,91.165,7.0,1.0,,,30.592,24.278,36.295,2606.134,2630.412,2666.707,268.0,286.0,307.0,291.0,False,MEDIUM,7.0,True,Red Bull Racing,2575.505,2019-03-17 05:22:55.808,1,16.0,False,,False,True
2758.104,GAS,10,91.434,8.0,1.0,,,30.722,24.391,36.321,2697.429,2721.82,2758.141,269.0,285.0,303.0,299.0,False,MEDIUM,8.0,True,Red Bull Racing,2666.67,2019-03-17 05:24:26.973,1,16.0,False,,False,True
2849.265,GAS,10,91.161,9.0,1.0,,,30.521,24.492,36.148,2788.662,2813.154,2849.302,,283.0,302.0,303.0,False,MEDIUM,9.0,True,Red Bull Racing,2758.104,2019-03-17 05:25:58.407,1,16.0,False,,False,True
2940.714,GAS,10,91.449,10.0,1.0,,,30.317,24.35,36.782,2879.619,2903.969,2940.751,272.0,288.0,299.0,309.0,False,MEDIUM,10.0,True,Red Bull Racing,2849.265,2019-03-17 05:27:29.568,1,15.0,False,,False,True
