Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
15.703,23.2,72.2,1015.5,False,42.9,237,0.9
75.716,23.4,71.0,1015.4,False,41.7,177,1.5
135.726,23.4,71.2,1015.5,False,41.7,0,1.0
195.737,23.5,70.8,1015.4,False,45.0,356,0.5
255.808,23.6,70.6,1015.5,False,45.0,195,0.9
315.994,23.6,70.7,1015.4,False,45.0,0,1.4
375.77,23.8,70.4,1015.5,False,45.0,126,0.0
435.783,24.0,68.3,1015.5,False,45.0,0,1.1
495.793,24.0,68.3,1015.5,False,45.0,0,1.1
555.806,23.8,70.0,1015.4,False,45.0,176,1.1
615.817,23.8,70.0,1015.4,False,45.0,176,1.1
675.829,24.0,68.8,1015.5,False,45.0,165,1.1
735.847,23.9,69.6,1015.4,False,45.0,183,1.3
795.853,23.9,69.3,1015.5,False,45.0,169,1.5
855.867,23.9,69.3,1015.5,False,45.0,169,1.5
915.878,24.0,69.2,1015.5,False,45.0,182,0.4
975.89,24.0,69.2,1015.5,False,45.0,182,0.4
1035.9,24.0,69.0,1015.5,False,45.0,151,0.9
1096.067,24.0,69.0,1015.5,False,45.0,151,0.9
1156.229,23.8,69.4,1015.3,False,43.8,295,0.6
1216.361,23.8,69.4,1015.3,False,43.8,295,0.6
1275.95,24.1,68.3,1015.4,False,43.0,179,1.3
1335.962,23.9,69.2,1015.4,False,42.5,20,1.2
1395.974,23.8,69.9,1015.4,False,42.5,155,0.4
1455.986,23.8,69.9,1015.4,False,42.5,155,0.4
1516.0,24.0,68.9,1015.4,False,43.7,269,1.1
1576.013,24.1,68.8,1015.4,False,43.9,171,0.9
1636.033,24.1,68.9,1015.4,False,43.9,160,1.1
1696.036,23.9,68.9,1015.3,False,43.8,196,0.9
1756.047,23.7,69.6,1015.4,False,43.8,172,0.8
1816.06,23.8,70.3,1015.4,False,43.8,184,1.1
1876.071,23.9,69.7,1015.3,False,43.8,0,1.2
1936.109,23.9,69.7,1015.3,False,43.8,0,1.2
1996.307,23.8,69.5,1015.4,False,44.3,170,1.1
2056.11,23.7,70.3,1015.4,False,43.6,176,1.4
2116.205,23.6,69.7,1015.5,False,43.5,158,1.2
2176.132,23.6,70.1,1015.3,False,43.3,191,1.3
2236.303,23.5,70.5,1015.4,False,43.4,68,1.3
2296.346,23.6,70.3,1015.4,False,43.4,194,0.8
2356.17,23.7,69.1,1015.3,False,43.4,328,1.8
2416.185,23.7,69.1,1015.4,False,43.0,149,1.2
2476.345,23.6,69.4,1015.3,False,43.0,184,1.6
2536.215,23.5,70.5,1015.3,False,42.9,178,2.2
2596.232,23.4,70.8,1015.3,False,42.9,0,1.4
