Time,Status,Message
695.413,1,AllClear
695.413,2,Yellow
695.413,1,AllClear
2053.604,2,Yellow
2055.208,1,AllClear
2061.3,2,Yellow
2063.498,1,AllClear
2081.968,2,Yellow
2087.654,1,AllClear
2097.343,2,Yellow
2115.885,1,AllClear
2160.703,2,Yellow
2164.956,1,AllClear
2342.3,2,Yellow
2357.245,1,AllClear
2549.779,2,Yellow
2557.415,1,AllClear
3179.771,2,Yellow
3189.611,1,AllClear
5667.384,2,Yellow
5677.647,1,AllClear
5926.084,2,Yellow
5934.802,1,AllClear
6170.19,2,Yellow
6178.341,1,AllClear
7247.445,2,Yellow
7335.423,4,SCDeployed
