Time,Category,Message,Status,Flag,Scope,Sector,RacingNumber,Lap
2019-04-13 02:45:13,Other,RISK OF RAIN FOR THIS SESSION IS 0%,,,,,,
2019-04-13 03:00:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,
2019-04-13 03:33:31,Flag,YELLOW IN TRACK SECTOR 19,,YELLOW,Sector,19.0,,
2019-04-13 03:33:34,Flag,CLEAR IN TRACK SECTOR 19,,CLEAR,Sector,19.0,,
2019-04-13 03:47:50,Flag,YELLOW IN TRACK SECTOR 19,,YELLOW,Sector,19.0,,
2019-04-13 03:47:55,Flag,CLEAR IN TRACK SECTOR 19,,CLEAR,Sector,19.0,,
2019-04-13 03:48:22,CarEvent,CAR 4 (NOR) OFF TRACK AND CONTINUED AT TURN 16,,,,,4,
2019-04-13 03:53:12,Flag,YELLOW IN TRACK SECTOR 19,,YELLOW,Sector,19.0,,
2019-04-13 03:53:17,Flag,DOUBLE YELLOW IN TRACK SECTOR 19,,DOUBLE YELLOW,Sector,19.0,,
2019-04-13 03:53:22,Flag,RED FLAG,,RED,Track,,,
2019-04-13 03:53:22,Flag,CLEAR IN TRACK SECTOR 19,,CLEAR,Sector,19.0,,
2019-04-13 03:53:23,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,,
2019-04-13 03:53:54,Other,MEDICAL CAR DEPLOYED,,,,,,
2019-04-13 03:55:50,Other,SESSION WILL NOT BE RESTARTED,,,,,,
2019-04-13 04:00:23,Flag,TRACK CLEAR,,CLEAR,Track,,,
