Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
2113.755,HAM,44,106.407,1.0,1.0,,,,29.072,49.841,,2063.989,2114.23,274.0,260.0,228.0,291.0,False,MEDIUM,4.0,False,Mercedes,2007.137,2019-04-14 06:13:29.012,126,1.0,False,,False,False
2222.448,HAM,44,108.693,2.0,1.0,,,33.776,32.24,42.677,2147.558,2179.798,2222.475,172.0,265.0,255.0,304.0,True,MEDIUM,5.0,False,Mercedes,2113.755,2019-04-14 06:15:15.630,671,1.0,False,,False,False
2320.567,HAM,44,98.119,3.0,1.0,,,25.952,29.321,42.846,2248.427,2277.748,2320.594,263.0,254.0,256.0,296.0,True,MEDIUM,6.0,False,Mercedes,2222.448,2019-04-14 06:17:04.323,1,1.0,False,,False,True
2419.089,HAM,44,98.522,4.0,1.0,,,26.152,29.452,42.918,2346.746,2376.198,2419.116,265.0,256.0,257.0,303.0,False,MEDIUM,7.0,False,Mercedes,2320.567,2019-04-14 06:18:42.442,1,1.0,False,,False,True
2517.59,HAM,44,98.501,5.0,1.0,,,26.163,29.387,42.951,2445.279,2474.666,2517.617,,259.0,257.0,304.0,False,MEDIUM,8.0,False,Mercedes,2419.089,2019-04-14 06:20:20.964,1,1.0,False,,False,True
2616.114,HAM,44,98.524,6.0,1.0,,,26.128,29.358,43.038,2543.745,2573.103,2616.141,267.0,259.0,257.0,304.0,False,MEDIUM,9.0,False,Mercedes,2517.59,2019-04-14 06:21:59.465,1,1.0,False,,False,True
2714.525,HAM,44,98.411,7.0,1.0,,,26.193,29.288,42.93,2642.334,2671.622,2714.552,265.0,256.0,257.0,302.0,False,MEDIUM,10.0,False,Mercedes,2616.114,2019-04-14 06:23:37.989,1,1.0,False,,False,True
2812.821,HAM,44,98.296,8.0,1.0,,,26.152,29.287,42.857,2740.704,2769.991,2812.848,266.0,257.0,258.0,301.0,False,MEDIUM,11.0,False,Mercedes,2714.525,2019-04-14 06:25:16.400,1,1.0,False,,False,True
2911.086,HAM,44,98.265,9.0,1.0,,,26.138,29.275,42.852,2838.986,2868.261,2911.113,,258.0,258.0,303.0,False,MEDIUM,12.0,False,Mercedes,2812.821,2019-04-14 06:26:54.696,1,1.0,False,,False,True
3009.68,HAM,44,98.594,10.0,1.0,,,26.27,29.424,42.9,2937.383,2966.807,3009.707,263.0,255.0,257.0,300.0,False,MEDIUM,13.0,False,Mercedes,2911.086,2019-04-14 06:28:32.961,1,1.0,False,,False,True
3108.008,HAM,44,98.328,11.0,1.0,,,26.164,29.365,42.799,3035.871,3065.236,3108.035,265.0,255.0,255.0,305.0,False,MEDIUM,14.0,False,Mercedes,3009.68,2019-04-14 06:30:11.555,1,1.0,False,,False,True
3206.618,HAM,44,98.61,12.0,1.0,,,26.242,29.545,42.823,3134.277,3163.822,3206.645,263.0,255.0,257.0,305.0,False,MEDIUM,15.0,False,Mercedes,3108.008,2019-04-14 06:31:49.883,1,1.0,False,,False,True
3305.423,HAM,44,98.805,13.0,1.0,,,26.277,29.498,43.03,3232.922,3262.42,3305.45,,255.0,257.0,301.0,False,MEDIUM,16.0,False,Mercedes,3206.618,2019-04-14 06:33:28.493,1,1.0,False,,False,True
3404.026,HAM,44,98.603,14.0,1.0,,,26.324,29.316,42.963,3331.774,3361.09,3404.053,265.0,260.0,257.0,304.0,False,MEDIUM,17.0,False,Mercedes,3305.423,2019-04-14 06:35:07.298,1,1.0,False,,False,True
3503.009,HAM,44,98.983,15.0,1.0,,,26.282,29.672,43.029,3430.335,3460.007,3503.036,263.0,253.0,257.0,296.0,False,MEDIUM,18.0,False,Mercedes,3404.026,2019-04-14 06:36:45.901,1,1.0,False,,False,True
3601.965,HAM,44,98.956,16.0,1.0,,,26.321,29.619,43.016,3529.357,3558.976,3601.992,262.0,253.0,259.0,296.0,False,MEDIUM,19.0,False,Mercedes,3503.009,2019-04-14 06:38:24.884,1,1.0,False,,False,True
3700.974,HAM,44,99.009,17.0,1.0,,,26.392,29.591,43.026,3628.384,3657.975,3701.001,265.0,255.0,257.0,300.0,False,MEDIUM,20.0,False,Mercedes,3601.965,2019-04-14 06:40:03.840,1,1.0,False,,False,True
3800.119,HAM,44,99.145,18.0,1.0,,,26.437,29.634,43.074,3727.438,3757.072,3800.146,263.0,256.0,257.0,296.0,False,MEDIUM,21.0,False,Mercedes,3700.974,2019-04-14 06:41:42.849,1,1.0,False,,False,True
3899.107,HAM,44,98.988,19.0,1.0,,,26.392,29.572,43.024,3826.538,3856.11,3899.134,261.0,256.0,258.0,294.0,False,MEDIUM,22.0,False,Mercedes,3800.119,2019-04-14 06:43:21.994,1,1.0,False,,False,True
3998.403,HAM,44,99.296,20.0,1.0,,,26.485,29.619,43.192,3925.619,3955.238,3998.43,263.0,256.0,257.0,299.0,False,MEDIUM,23.0,False,Mercedes,3899.107,2019-04-14 06:45:00.982,1,1.0,False,,False,True
4097.781,HAM,44,99.378,21.0,1.0,,,26.453,29.767,43.158,4024.883,4054.65,4097.808,264.0,256.0,257.0,297.0,False,MEDIUM,24.0,False,Mercedes,3998.403,2019-04-14 06:46:40.278,1,1.0,False,,False,True
4202.112,HAM,44,104.331,22.0,1.0,,4200.501,26.636,29.772,47.923,4124.444,4154.216,4202.139,265.0,254.0,,295.0,False,MEDIUM,25.0,False,Mercedes,4097.781,2019-04-14 06:48:19.656,1,1.0,False,,False,False
4317.944,HAM,44,115.832,23.0,2.0,4223.308,,44.833,28.754,42.245,4246.972,4275.726,4317.971,274.0,255.0,260.0,292.0,False,HARD,1.0,True,Mercedes,4202.112,2019-04-14 06:50:03.987,1,1.0,False,,False,False
4414.821,HAM,44,96.877,24.0,2.0,,,25.834,28.838,42.205,4343.805,4372.643,4414.848,263.0,255.0,260.0,292.0,True,HARD,2.0,True,Mercedes,4317.944,2019-04-14 06:51:59.819,1,1.0,False,,False,True
4511.691,HAM,44,96.87,25.0,2.0,,,25.766,28.776,42.328,4440.614,4469.39,4511.718,,254.0,257.0,296.0,True,HARD,3.0,True,Mercedes,4414.821,2019-04-14 06:53:36.696,1,1.0,False,,False,True
4608.573,HAM,44,96.882,26.0,2.0,,,25.685,28.769,42.428,4537.403,4566.172,4608.6,262.0,255.0,258.0,302.0,False,HARD,4.0,True,Mercedes,4511.691,2019-04-14 06:55:13.566,1,1.0,False,,False,True
4705.685,HAM,44,97.112,27.0,2.0,,,25.892,28.798,42.422,4634.492,4663.29,4705.712,264.0,258.0,261.0,301.0,False,HARD,5.0,True,Mercedes,4608.573,2019-04-14 06:56:50.448,1,1.0,False,,False,True
