Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
36.061,19.5,43.9,1019.3,False,30.6,135,2.1
96.077,19.6,43.2,1019.1,False,30.4,85,2.2
156.09,19.5,43.6,1019.2,False,30.4,116,2.7
216.105,19.4,42.8,1019.0,False,30.1,84,3.5
276.117,19.3,43.5,1019.2,False,30.0,142,1.9
336.132,19.3,43.6,1019.1,False,29.9,114,3.3
396.147,19.2,44.1,1019.0,False,29.9,103,3.1
456.265,19.2,44.3,1019.2,False,29.7,106,3.7
516.181,19.1,44.7,1019.1,False,29.6,83,3.4
576.377,19.2,44.7,1019.1,False,29.6,105,2.4
636.203,19.3,44.4,1019.3,False,29.6,88,2.4
696.216,19.2,44.7,1019.2,False,29.2,177,3.3
756.231,19.1,45.3,1019.2,False,29.2,104,2.2
816.246,19.0,45.7,1019.1,False,29.3,93,2.3
876.257,19.1,45.7,1019.1,False,29.3,98,2.2
936.273,19.2,45.4,1019.2,False,29.5,76,1.5
996.286,19.4,45.0,1019.2,False,29.5,105,2.3
1056.3,19.4,44.8,1019.2,False,29.4,113,2.6
1116.315,19.4,45.4,1019.2,False,29.3,85,2.4
1176.335,19.5,45.4,1019.2,False,29.3,114,3.7
1236.341,19.4,45.4,1019.2,False,29.3,147,3.7
1296.356,19.3,45.9,1019.2,False,29.0,92,1.5
1356.451,19.4,45.9,1019.2,False,29.2,105,2.3
1416.638,19.4,45.7,1019.3,False,29.2,131,2.1
1476.396,19.6,45.7,1019.3,False,29.3,109,2.2
1536.412,19.5,45.5,1019.2,False,29.3,105,2.5
1596.424,19.5,45.6,1019.2,False,29.1,97,3.3
1656.438,19.6,45.9,1019.3,False,29.1,85,3.5
1716.452,19.4,45.3,1019.2,False,29.0,114,3.5
1776.467,19.4,45.0,1019.2,False,29.0,119,3.4
1836.48,19.4,45.0,1019.3,False,29.0,98,2.2
1896.493,19.4,44.9,1019.2,False,29.0,74,2.2
1956.507,19.5,44.5,1019.2,False,29.0,111,3.8
2016.572,19.6,44.7,1019.2,False,28.8,130,3.0
2076.537,19.4,45.4,1019.1,False,28.8,113,2.7
2136.746,19.4,45.1,1019.1,False,28.9,79,2.6
2196.693,19.7,45.1,1019.1,False,28.9,87,4.0
2257.047,19.8,43.4,1019.1,False,28.9,84,3.2
2316.597,19.7,43.3,1019.1,False,28.5,92,4.1
2376.606,19.6,43.8,1019.1,False,28.3,89,3.3
2436.821,19.6,43.9,1019.1,False,28.3,88,3.9
2496.657,19.4,44.0,1019.1,False,28.2,91,4.0
2556.649,19.5,43.5,1019.1,False,28.1,68,3.4
2616.662,19.5,43.9,1019.1,False,28.1,86,3.7
2676.677,19.6,43.4,1019.1,False,28.1,77,4.6
2736.698,19.6,44.0,1019.2,False,28.1,97,2.7
2796.705,19.6,44.5,1019.2,False,28.0,99,3.6
2856.721,19.5,44.7,1019.2,False,27.9,108,3.2
2916.733,19.6,45.0,1019.2,False,27.9,61,4.0
2976.746,19.6,45.1,1019.2,False,27.9,90,3.6
3036.868,19.7,44.8,1019.2,False,28.0,84,3.5
3097.114,19.6,45.2,1019.1,False,27.8,84,3.6
3156.789,19.6,45.3,1019.1,False,27.8,76,3.3
3216.815,19.5,45.7,1019.0,False,27.8,95,3.9
3276.815,19.7,44.6,1019.1,False,27.5,101,3.6
3336.829,19.7,44.6,1019.1,False,27.5,101,3.6
3396.844,19.6,44.1,1019.2,False,27.5,90,3.2
3456.858,19.7,43.2,1019.2,False,27.6,96,4.1
3517.517,19.6,43.3,1019.2,False,27.6,85,3.2
3576.885,19.8,43.0,1019.2,False,27.2,90,3.3
3637.208,19.6,43.3,1019.2,False,27.2,104,3.8
3696.915,19.6,43.5,1019.2,False,27.2,106,4.3
3757.238,19.5,43.3,1019.2,False,27.2,102,4.8
3817.696,19.3,43.7,1019.2,False,27.0,95,3.6
3877.223,19.3,44.2,1019.2,False,27.0,94,3.2
3938.075,19.4,44.4,1019.2,False,27.0,92,3.8
3997.512,19.5,44.5,1019.2,False,27.0,82,3.7
4057.001,19.4,44.9,1019.2,False,27.0,90,4.0
4117.032,19.5,45.0,1019.1,False,26.8,90,4.3
4177.029,19.4,45.2,1019.1,False,26.8,86,3.7
4237.167,19.4,45.5,1019.1,False,26.6,109,3.9
4297.067,19.4,45.9,1019.2,False,26.4,87,3.0
