Time,Category,Message,Status,Flag,Scope,Sector,RacingNumber,Lap
2019-04-27 09:45:19,Other,RISK OF RAIN FOR THIS SESSION IS 0%,,,,,,
2019-04-27 09:45:54,Other,AIR TEMPERATURE 15 MINS BEFORE P3 = 16 DEGREES,,,,,,
2019-04-27 10:00:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,
2019-04-27 10:45:53,Flag,YELLOW IN TRACK SECTOR 2,,YELLOW,Sector,2.0,,
2019-04-27 10:46:25,Flag,CLEAR IN TRACK SECTOR 2,,CLEAR,Sector,2.0,,
2019-04-27 10:46:44,CarEvent,CAR 23 (ALB) OFF TRACK AND CONTINUED AT TURN 2,,,,,23,
2019-04-27 10:52:11,Flag,YELLOW IN TRACK SECTOR 2,,YELLOW,Sector,2.0,,
2019-04-27 10:52:24,Flag,CLEAR IN TRACK SECTOR 2,,CLEAR,Sector,2.0,,
2019-04-27 10:52:27,CarEvent,CAR 44 (HAM) OFF TRACK AND CONTINUED AT TURN 2,,,,,44,
2019-04-27 11:00:00,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,,
2019-04-27 11:01:24,Flag,YELLOW IN TRACK SECTOR 14,,YELLOW,Sector,14.0,,
2019-04-27 11:01:28,Flag,CLEAR IN TRACK SECTOR 14,,CLEAR,Sector,14.0,,
