Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
2144.819,GAS,10,127.221,1.0,1.0,2033.979,,,47.198,25.953,,2119.003,2145.245,170.0,200.0,325.0,318.0,False,MEDIUM,1.0,True,Red Bull Racing,2017.411,2019-04-28 12:13:37.658,1,19.0,False,,False,False
2257.962,GAS,10,113.143,2.0,1.0,,,41.019,45.932,26.192,2185.871,2231.803,2257.995,186.0,209.0,326.0,320.0,True,MEDIUM,2.0,True,Red Bull Racing,2144.819,2019-04-28 12:15:45.066,1,19.0,False,,False,True
2366.387,GAS,10,108.425,3.0,1.0,,,38.855,43.86,25.71,2296.85,2340.71,2366.42,198.0,204.0,320.0,316.0,True,MEDIUM,3.0,True,Red Bull Racing,2257.962,2019-04-28 12:17:38.209,1,18.0,False,,False,True
2474.944,GAS,10,108.557,4.0,1.0,,,38.68,44.791,25.086,2405.1,2449.891,2474.977,195.0,190.0,340.0,329.0,False,MEDIUM,4.0,True,Red Bull Racing,2366.387,2019-04-28 12:19:26.634,1,18.0,False,,False,True
2587.682,GAS,10,112.738,5.0,1.0,,,39.638,47.643,25.457,2514.615,2562.258,2587.715,172.0,185.0,337.0,325.0,False,MEDIUM,5.0,True,Red Bull Racing,2474.944,2019-04-28 12:21:15.191,1,15.0,False,,False,True
2699.805,GAS,10,112.123,6.0,1.0,,,40.915,45.79,25.418,2628.63,2674.42,2699.838,182.0,194.0,326.0,330.0,False,MEDIUM,6.0,True,Red Bull Racing,2587.682,2019-04-28 12:23:07.929,1,13.0,False,,False,True
2808.915,GAS,10,109.11,7.0,1.0,,,39.209,44.061,25.84,2739.047,2783.108,2808.948,201.0,210.0,312.0,312.0,False,MEDIUM,7.0,True,Red Bull Racing,2699.805,2019-04-28 12:25:00.052,1,12.0,False,,False,True
2917.926,GAS,10,109.011,8.0,1.0,,,38.433,44.054,26.524,2847.381,2891.435,2917.959,202.0,214.0,320.0,317.0,False,MEDIUM,8.0,True,Red Bull Racing,2808.915,2019-04-28 12:26:49.162,1,12.0,False,,False,True
3029.864,GAS,10,111.938,9.0,1.0,,,39.875,46.384,25.679,2957.834,3004.218,3029.897,176.0,192.0,333.0,328.0,False,MEDIUM,9.0,True,Red Bull Racing,2917.926,2019-04-28 12:28:38.173,1,12.0,False,,False,True
3141.498,GAS,10,111.634,10.0,1.0,,,39.61,46.067,25.957,3069.507,3115.574,3141.531,186.0,200.0,306.0,310.0,False,MEDIUM,10.0,True,Red Bull Racing,3029.864,2019-04-28 12:30:30.111,1,8.0,False,,False,True
3249.608,GAS,10,108.11,11.0,1.0,,,38.551,43.645,25.914,3180.082,3223.727,3249.641,203.0,213.0,308.0,311.0,True,MEDIUM,11.0,True,Red Bull Racing,3141.498,2019-04-28 12:32:21.745,1,7.0,False,,False,True
