Time,Category,Message,Status,Flag,Scope,Sector,RacingNumber,Lap
2019-05-10 13:00:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,
2019-05-10 13:05:57,Flag,YELLOW IN TRACK SECTOR 9,,YELLOW,Sector,9.0,,
2019-05-10 13:06:00,Flag,CLEAR IN TRACK SECTOR 9,,CLEAR,Sector,9.0,,
2019-05-10 13:09:51,Flag,YELLOW IN TRACK SECTOR 17,,YELLOW,Sector,17.0,,
2019-05-10 13:09:55,Flag,DOUBLE YELLOW IN TRACK SECTOR 17,,DOUBLE YELLOW,Sector,17.0,,
2019-05-10 13:10:04,Flag,CLEAR IN TRACK SECTOR 17,,CLEAR,Sector,17.0,,
2019-05-10 13:10:39,CarEvent,CAR 88 (KUB) SPUN AND CONTINUED AT TURN 15,,,,,88,
2019-05-10 13:12:11,Flag,YELLOW IN TRACK SECTOR 9,,YELLOW,Sector,9.0,,
2019-05-10 13:12:16,Flag,CLEAR IN TRACK SECTOR 9,,CLEAR,Sector,9.0,,
2019-05-10 13:24:48,CarEvent,CAR 44 (HAM) OFF TRACK AND CONTINUED AT TURN 13,,,,,44,
2019-05-10 14:09:00,Flag,YELLOW IN TRACK SECTOR 2,,YELLOW,Sector,2.0,,
2019-05-10 14:09:09,Flag,CLEAR IN TRACK SECTOR 2,,CLEAR,Sector,2.0,,
2019-05-10 14:09:34,CarEvent,CAR 26 (KVY) OFF TRACK AND CONTINUED AT TURN 1,,,,,26,
2019-05-10 14:30:00,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,,
