Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
1423.911,BOT,77,,1.0,1.0,1323.772,,,35.776,35.633,,1388.278,1424.033,222.0,198.0,283.0,223.0,False,SOFT,1.0,True,Mercedes,1323.772,2019-05-11 13:07:03.819,1,,False,,False,False
1501.086,BOT,77,77.175,2.0,1.0,,,21.958,28.567,26.65,1445.869,1474.436,1501.086,281.0,291.0,284.0,317.0,True,SOFT,2.0,True,Mercedes,1423.911,2019-05-11 13:08:43.958,1,,False,,False,True
1630.101,BOT,77,129.015,3.0,1.0,,1597.973,26.496,38.008,64.511,1527.582,1565.59,1630.101,223.0,230.0,,267.0,False,SOFT,3.0,True,Mercedes,1501.086,2019-05-11 13:10:01.133,1,,False,,False,False
1915.356,BOT,77,,4.0,2.0,1811.91,,,36.86,38.736,,1876.666,1915.478,233.0,215.0,283.0,225.0,False,SOFT,4.0,False,Mercedes,1630.101,2019-05-11 13:12:10.148,1,,False,,False,False
1992.335,BOT,77,76.979,5.0,2.0,,,21.893,28.57,26.516,1937.249,1965.819,1992.335,280.0,304.0,284.0,313.0,True,SOFT,5.0,False,Mercedes,1915.356,2019-05-11 13:16:55.403,1,,False,,False,True
2090.259,BOT,77,97.924,6.0,2.0,,2087.437,26.304,34.341,37.279,2018.639,2052.98,2090.259,236.0,219.0,,276.0,False,SOFT,6.0,False,Mercedes,1992.335,2019-05-11 13:18:12.382,1,,False,,False,False
2600.427,BOT,77,,7.0,3.0,2501.116,,,36.746,33.806,,2566.621,2600.457,220.0,216.0,284.0,211.0,False,SOFT,1.0,True,Mercedes,2090.259,2019-05-11 13:19:50.306,1,,False,,False,False
2676.696,BOT,77,76.269,8.0,3.0,,,21.924,28.299,26.046,2622.351,2650.65,2676.696,286.0,305.0,286.0,312.0,True,SOFT,2.0,True,Mercedes,2600.427,2019-05-11 13:28:20.474,1,,False,,False,True
2776.538,BOT,77,99.842,9.0,3.0,,2773.711,25.541,35.857,38.444,2702.237,2738.094,2776.538,231.0,189.0,,285.0,False,SOFT,3.0,True,Mercedes,2676.696,2019-05-11 13:29:36.743,1,,False,,False,False
3231.728,BOT,77,,10.0,4.0,3131.371,,,36.12,35.246,,3196.485,3231.756,211.0,234.0,287.0,222.0,False,SOFT,1.0,True,Mercedes,2776.538,2019-05-11 13:31:16.585,1,,False,,False,False
