Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
2078.862,GAS,10,91.885,1.0,1.0,,,,33.003,29.258,,2049.677,2079.033,249.0,245.0,274.0,294.0,False,SOFT,4.0,False,Red Bull Racing,1986.785,2019-05-12 13:13:06.839,12,6.0,False,,False,False
2163.453,GAS,10,84.591,2.0,1.0,,,23.904,31.725,28.962,2102.788,2134.513,2163.475,265.0,262.0,272.0,302.0,True,SOFT,5.0,False,Red Bull Racing,2078.862,2019-05-12 13:14:38.916,1,6.0,False,,False,True
2247.248,GAS,10,83.795,3.0,1.0,,,23.677,31.441,28.677,2187.152,2218.593,2247.27,272.0,261.0,272.0,303.0,True,SOFT,6.0,False,Red Bull Racing,2163.453,2019-05-12 13:16:03.507,1,6.0,False,,False,True
2330.883,GAS,10,83.635,4.0,1.0,,,23.647,31.313,28.675,2270.917,2302.23,2330.905,,263.0,272.0,302.0,True,SOFT,7.0,False,Red Bull Racing,2247.248,2019-05-12 13:17:27.302,1,6.0,False,,False,True
2414.285,GAS,10,83.402,5.0,1.0,,,23.572,31.311,28.519,2354.477,2385.788,2414.307,273.0,266.0,272.0,301.0,True,SOFT,8.0,False,Red Bull Racing,2330.883,2019-05-12 13:18:50.937,1,6.0,False,,False,True
2497.693,GAS,10,83.408,6.0,1.0,,,23.544,31.129,28.735,2437.851,2468.98,2497.715,275.0,261.0,270.0,,False,SOFT,9.0,False,Red Bull Racing,2414.285,2019-05-12 13:20:14.339,1,6.0,False,,False,True
2580.807,GAS,10,83.114,7.0,1.0,,,23.519,31.121,28.474,2521.234,2552.355,2580.829,274.0,271.0,273.0,,True,SOFT,10.0,False,Red Bull Racing,2497.693,2019-05-12 13:21:37.747,1,6.0,False,,False,True
2663.681,GAS,10,82.874,8.0,1.0,,,23.471,31.07,28.333,2604.3,2635.37,2663.703,275.0,264.0,272.0,302.0,True,SOFT,11.0,False,Red Bull Racing,2580.807,2019-05-12 13:23:00.861,1,6.0,False,,False,True
2747.521,GAS,10,83.84,9.0,1.0,,,23.821,31.4,28.619,2687.524,2718.924,2747.543,,260.0,271.0,301.0,False,SOFT,12.0,False,Red Bull Racing,2663.681,2019-05-12 13:24:23.735,1,6.0,False,,False,True
2830.957,GAS,10,83.436,10.0,1.0,,,23.7,31.293,28.443,2771.243,2802.536,2830.979,270.0,264.0,272.0,299.0,False,SOFT,13.0,False,Red Bull Racing,2747.521,2019-05-12 13:25:47.575,1,6.0,False,,False,True
2914.163,GAS,10,83.206,11.0,1.0,,,23.642,31.212,28.352,2854.621,2885.833,2914.185,278.0,265.0,272.0,300.0,False,SOFT,14.0,False,Red Bull Racing,2830.957,2019-05-12 13:27:11.011,1,6.0,False,,False,True
2997.42,GAS,10,83.257,12.0,1.0,,,23.547,31.298,28.412,2937.732,2969.03,2997.442,275.0,264.0,274.0,302.0,False,SOFT,15.0,False,Red Bull Racing,2914.163,2019-05-12 13:28:34.217,1,6.0,False,,False,True
3080.558,GAS,10,83.138,13.0,1.0,,,23.535,31.231,28.372,3020.977,3052.208,3080.58,272.0,268.0,272.0,301.0,False,SOFT,16.0,False,Red Bull Racing,2997.42,2019-05-12 13:29:57.474,1,6.0,False,,False,True
3164.123,GAS,10,83.565,14.0,1.0,,,23.68,31.414,28.471,3104.26,3135.674,3164.145,268.0,266.0,272.0,302.0,False,SOFT,17.0,False,Red Bull Racing,3080.558,2019-05-12 13:31:20.612,1,6.0,False,,False,True
3247.759,GAS,10,83.636,15.0,1.0,,,23.644,31.357,28.635,3187.789,3219.146,3247.781,275.0,264.0,271.0,299.0,False,SOFT,18.0,False,Red Bull Racing,3164.123,2019-05-12 13:32:44.177,1,6.0,False,,False,True
3331.182,GAS,10,83.423,16.0,1.0,,,23.702,31.282,28.439,3271.483,3302.765,3331.204,267.0,264.0,272.0,300.0,False,SOFT,19.0,False,Red Bull Racing,3247.759,2019-05-12 13:34:07.813,1,6.0,False,,False,True
3414.865,GAS,10,83.683,17.0,1.0,,,23.725,31.412,28.546,3354.929,3386.341,3414.887,266.0,260.0,272.0,,False,SOFT,20.0,False,Red Bull Racing,3331.182,2019-05-12 13:35:31.236,1,6.0,False,,False,True
3498.793,GAS,10,83.928,18.0,1.0,,,23.78,31.431,28.717,3438.667,3470.098,3498.815,,262.0,272.0,,False,SOFT,21.0,False,Red Bull Racing,3414.865,2019-05-12 13:36:54.919,1,6.0,False,,False,True
3582.522,GAS,10,83.729,19.0,1.0,,,23.764,31.348,28.617,3522.579,3553.927,3582.544,272.0,263.0,271.0,,False,SOFT,22.0,False,Red Bull Racing,3498.793,2019-05-12 13:38:18.847,1,5.0,False,,False,True
3666.308,GAS,10,83.786,20.0,1.0,,,23.855,31.244,28.687,3606.399,3637.643,3666.33,265.0,265.0,273.0,297.0,False,SOFT,23.0,False,Red Bull Racing,3582.522,2019-05-12 13:39:42.576,1,5.0,False,,False,True
3750.446,GAS,10,84.138,21.0,1.0,,,24.01,31.483,28.645,3690.34,3721.823,3750.468,270.0,258.0,273.0,,False,SOFT,24.0,False,Red Bull Racing,3666.308,2019-05-12 13:41:06.362,1,4.0,False,,False,True
3838.367,GAS,10,87.921,22.0,1.0,,3835.709,23.942,31.534,32.445,3774.41,3805.944,3838.389,264.0,262.0,,,False,SOFT,25.0,False,Red Bull Racing,3750.446,2019-05-12 13:42:30.500,1,4.0,False,,False,False
