Time,Category,Message,Status,Flag,Scope,Sector,RacingNumber,Lap
2019-05-25 10:00:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,
2019-05-25 10:16:37,Flag,YELLOW IN TRACK SECTOR 1,,YELLOW,Sector,1.0,,
2019-05-25 10:16:38,Flag,DOUBLE YELLOW IN TRACK SECTOR 1,,DOUBLE YELLOW,Sector,1.0,,
2019-05-25 10:16:55,SafetyCar,VIRTUAL SAFETY CAR DEPLOYED,DEPLOYED,,,,,
2019-05-25 10:17:28,CarEvent,CAR 5 (VET) STOPPED AT TURN 1,,,,,5,
2019-05-25 10:18:09,Flag,CLEAR IN TRACK SECTOR 1,,CLEAR,Sector,1.0,,
2019-05-25 10:18:12,SafetyCar,VIRTUAL SAFETY CAR ENDING,ENDING,,,,,
2019-05-25 10:18:27,Flag,TRACK CLEAR,,CLEAR,Track,,,
2019-05-25 10:18:28,Drs,DRS ENABLED,ENABLED,,,,,
2019-05-25 10:18:29,Flag,DOUBLE YELLOW IN TRACK SECTOR 1,,DOUBLE YELLOW,Sector,1.0,,
2019-05-25 10:18:37,Flag,CLEAR IN TRACK SECTOR 1,,CLEAR,Sector,1.0,,
2019-05-25 10:26:24,Other,VSC PROCEDURE INFRINGEMENT INVOLVING CAR 16 (LEC) WILL BE INVESTIGATED AFTER THE SESSION,,,,,,
2019-05-25 10:48:27,Flag,YELLOW IN TRACK SECTOR 1,,YELLOW,Sector,1.0,,
2019-05-25 10:48:57,Flag,DOUBLE YELLOW IN TRACK SECTOR 1,,DOUBLE YELLOW,Sector,1.0,,
2019-05-25 10:49:01,Flag,CLEAR IN TRACK SECTOR 1,,CLEAR,Sector,1.0,,
2019-05-25 10:49:04,CarEvent,CAR 18 (STR) OFF TRACK AND CONTINUED AT TURN 1,,,,,18,
2019-05-25 10:49:20,Other,TRACK SURFACE SLIPPERY IN TRACK SECTOR 15,,,,,,
2019-05-25 10:49:25,Flag,CLEAR IN TRACK SECTOR 15,,CLEAR,Sector,15.0,,
2019-05-25 10:52:13,Flag,DOUBLE YELLOW IN TRACK SECTOR 15,,DOUBLE YELLOW,Sector,15.0,,
2019-05-25 10:52:17,Flag,CLEAR IN TRACK SECTOR 15,,CLEAR,Sector,15.0,,
2019-05-25 11:00:00,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,,
