Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
1032.953,HAM,44,101.543,1.0,1.0,933.763,,32.451,41.381,27.711,963.996,1005.398,1033.135,149.0,183.0,265.0,274.0,False,SOFT,1.0,True,Mercedes,933.763,2019-05-25 13:00:34.398,1,,False,,False,False
1106.135,HAM,44,73.182,2.0,1.0,,,19.492,34.326,19.364,1052.445,1086.771,1106.135,218.0,199.0,268.0,279.0,True,SOFT,2.0,True,Mercedes,1032.953,2019-05-25 13:02:13.588,1,,False,,False,True
1197.574,HAM,44,91.439,3.0,1.0,,,22.931,42.231,26.277,1129.066,1171.297,1197.574,156.0,157.0,268.0,252.0,False,SOFT,3.0,True,Mercedes,1106.135,2019-05-25 13:03:26.770,1,,False,,False,True
1269.673,HAM,44,72.099,4.0,1.0,,,19.031,33.859,19.209,1216.605,1250.464,1269.673,223.0,202.0,269.0,282.0,True,SOFT,4.0,True,Mercedes,1197.574,2019-05-25 13:04:58.209,1,,False,,False,True
1362.564,HAM,44,92.891,5.0,1.0,,,21.596,41.361,29.934,1291.269,1332.63,1362.564,178.0,176.0,269.0,233.0,False,SOFT,5.0,True,Mercedes,1269.673,2019-05-25 13:06:10.308,1,,False,,False,True
1442.119,HAM,44,79.555,6.0,1.0,,,18.809,35.449,25.297,1381.373,1416.822,1442.119,222.0,163.0,216.0,283.0,False,SOFT,6.0,True,Mercedes,1362.564,2019-05-25 13:07:43.199,1,,False,,False,True
1534.901,HAM,44,92.782,7.0,1.0,,,24.905,43.868,24.009,1467.024,1510.892,1534.901,150.0,156.0,268.0,167.0,False,SOFT,7.0,True,Mercedes,1442.119,2019-05-25 13:09:02.754,1,,False,,False,True
1606.55,HAM,44,71.649,8.0,1.0,,,18.875,33.796,18.978,1553.776,1587.572,1606.55,224.0,205.0,267.0,278.0,True,SOFT,8.0,True,Mercedes,1534.901,2019-05-25 13:10:35.536,1,,False,,False,True
1700.637,HAM,44,94.087,9.0,1.0,,,23.65,46.81,23.627,1630.2,1677.01,1700.637,153.0,150.0,251.0,177.0,False,SOFT,9.0,True,Mercedes,1606.55,2019-05-25 13:11:47.185,1,,False,,False,True
1788.451,HAM,44,87.814,10.0,1.0,,,23.132,40.457,24.225,1723.769,1764.226,1788.451,147.0,184.0,272.0,247.0,False,SOFT,10.0,True,Mercedes,1700.637,2019-05-25 13:13:21.272,1,,False,,False,True
