Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
2047.644,HAM,44,81.953,1.0,1.0,,,,36.714,20.669,,2027.062,2047.807,169.0,190.0,256.0,272.0,False,SOFT,6.0,False,Mercedes,1965.521,2019-05-26 13:12:45.981,12,1.0,False,,False,False
2124.773,HAM,44,77.129,2.0,1.0,,,20.352,36.147,20.63,2068.02,2104.167,2124.797,190.0,190.0,257.0,274.0,True,SOFT,7.0,False,Mercedes,2047.644,2019-05-26 13:14:08.104,1,1.0,False,,False,True
2201.493,HAM,44,76.72,3.0,1.0,,,20.135,36.193,20.392,2144.932,2181.125,2201.517,197.0,190.0,256.0,274.0,True,SOFT,8.0,False,Mercedes,2124.773,2019-05-26 13:15:25.233,1,1.0,False,,False,True
2277.848,HAM,44,76.355,4.0,1.0,,,20.1,35.917,20.338,2221.617,2257.534,2277.872,192.0,189.0,256.0,275.0,True,SOFT,9.0,False,Mercedes,2201.493,2019-05-26 13:16:41.953,1,1.0,False,,False,True
2354.559,HAM,44,76.711,5.0,1.0,,,20.097,36.078,20.536,2297.969,2334.047,2354.583,207.0,187.0,256.0,275.0,False,SOFT,10.0,False,Mercedes,2277.848,2019-05-26 13:17:58.308,1,1.0,False,,False,True
2431.228,HAM,44,76.669,6.0,1.0,,,20.129,35.993,20.547,2374.712,2410.705,2431.252,198.0,193.0,256.0,275.0,False,SOFT,11.0,False,Mercedes,2354.559,2019-05-26 13:19:15.019,12,1.0,False,,False,True
2507.687,HAM,44,76.459,7.0,1.0,,,20.097,35.946,20.416,2451.349,2487.295,2507.711,200.0,190.0,256.0,273.0,False,SOFT,12.0,False,Mercedes,2431.228,2019-05-26 13:20:31.688,1,1.0,False,,False,True
2583.985,HAM,44,76.298,8.0,1.0,,,20.128,35.823,20.347,2527.839,2563.662,2584.009,,195.0,256.0,273.0,True,SOFT,13.0,False,Mercedes,2507.687,2019-05-26 13:21:48.147,1,1.0,False,,False,True
2660.152,HAM,44,76.167,9.0,1.0,,,19.995,35.895,20.277,2604.004,2639.899,2660.176,193.0,196.0,256.0,274.0,True,SOFT,14.0,False,Mercedes,2583.985,2019-05-26 13:23:04.445,12,1.0,False,,False,True
2737.386,HAM,44,77.234,10.0,1.0,,,19.763,36.385,21.086,2679.939,2716.324,2737.41,202.0,186.0,256.0,276.0,False,SOFT,15.0,False,Mercedes,2660.152,2019-05-26 13:24:20.612,12,1.0,False,,False,True
2847.224,HAM,44,109.838,11.0,1.0,,2823.699,20.281,50.232,39.325,2757.691,2807.923,2847.248,194.0,177.0,,186.0,False,SOFT,16.0,False,Mercedes,2737.386,2019-05-26 13:25:37.846,24,1.0,False,,False,False
2966.567,HAM,44,119.343,12.0,2.0,2847.966,,29.589,55.374,34.38,2876.837,2932.211,2966.591,108.0,144.0,142.0,126.0,False,MEDIUM,1.0,True,Mercedes,2847.224,2019-05-26 13:27:27.684,4,1.0,False,,False,False
3078.614,HAM,44,112.047,13.0,2.0,,,30.999,51.227,29.821,2997.59,3048.817,3078.638,116.0,148.0,235.0,239.0,False,MEDIUM,2.0,True,Mercedes,2966.567,2019-05-26 13:29:27.027,4,1.0,False,,False,False
3196.651,HAM,44,118.037,14.0,2.0,,,30.26,60.292,27.485,3108.898,3169.19,3196.675,133.0,83.0,254.0,235.0,False,MEDIUM,3.0,True,Mercedes,3078.614,2019-05-26 13:31:19.074,41,1.0,False,,False,False
3277.808,HAM,44,81.157,15.0,2.0,,,21.51,37.918,21.729,3218.185,3256.103,3277.832,164.0,185.0,255.0,271.0,False,MEDIUM,4.0,True,Mercedes,3196.651,2019-05-26 13:33:17.111,12,1.0,False,,False,True
3357.461,HAM,44,79.653,16.0,2.0,,,21.311,36.937,21.405,3299.143,3336.08,3357.485,178.0,185.0,255.0,274.0,False,MEDIUM,5.0,True,Mercedes,3277.808,2019-05-26 13:34:38.268,12,1.0,False,,False,True
3436.758,HAM,44,79.297,17.0,2.0,,,21.161,36.825,21.311,3378.646,3415.471,3436.782,180.0,186.0,255.0,275.0,False,MEDIUM,6.0,True,Mercedes,3357.461,2019-05-26 13:35:57.921,1,1.0,False,,False,True
3515.645,HAM,44,78.887,18.0,2.0,,,20.972,36.746,21.169,3457.754,3494.5,3515.669,190.0,188.0,256.0,275.0,False,MEDIUM,7.0,True,Mercedes,3436.758,2019-05-26 13:37:17.218,1,1.0,False,,False,True
3594.343,HAM,44,78.698,19.0,2.0,,,20.814,36.61,21.274,3536.483,3573.093,3594.367,185.0,189.0,256.0,276.0,False,MEDIUM,8.0,True,Mercedes,3515.645,2019-05-26 13:38:36.105,1,1.0,False,,False,True
3672.807,HAM,44,78.464,20.0,2.0,,,20.635,36.543,21.286,3615.002,3651.545,3672.831,191.0,190.0,256.0,276.0,False,MEDIUM,9.0,True,Mercedes,3594.343,2019-05-26 13:39:54.803,1,1.0,False,,False,True
3751.743,HAM,44,78.936,21.0,2.0,,,20.87,36.811,21.255,3693.701,3730.512,3751.767,182.0,187.0,255.0,272.0,False,MEDIUM,10.0,True,Mercedes,3672.807,2019-05-26 13:41:13.267,1,1.0,False,,False,True
3830.59,HAM,44,78.847,22.0,2.0,,,20.903,36.691,21.253,3772.67,3809.361,3830.614,188.0,188.0,256.0,275.0,False,MEDIUM,11.0,True,Mercedes,3751.743,2019-05-26 13:42:32.203,1,1.0,False,,False,True
3909.108,HAM,44,78.518,23.0,2.0,,,20.687,36.708,21.123,3851.301,3888.009,3909.132,190.0,188.0,256.0,277.0,False,MEDIUM,12.0,True,Mercedes,3830.59,2019-05-26 13:43:51.050,1,1.0,False,,False,True
3987.364,HAM,44,78.256,24.0,2.0,,,20.738,36.421,21.097,3929.87,3966.291,3987.388,192.0,188.0,255.0,275.0,False,MEDIUM,13.0,True,Mercedes,3909.108,2019-05-26 13:45:09.568,1,1.0,False,,False,True
4065.384,HAM,44,78.02,25.0,2.0,,,20.776,36.393,20.851,4008.164,4044.557,4065.408,191.0,189.0,256.0,276.0,False,MEDIUM,14.0,True,Mercedes,3987.364,2019-05-26 13:46:27.824,1,1.0,False,,False,True
4143.187,HAM,44,77.803,26.0,2.0,,,20.412,36.357,21.034,4085.82,4122.177,4143.211,189.0,190.0,255.0,276.0,False,MEDIUM,15.0,True,Mercedes,4065.384,2019-05-26 13:47:45.844,1,1.0,False,,False,True
4220.32,HAM,44,77.133,27.0,2.0,,,20.182,36.281,20.67,4163.393,4199.674,4220.344,192.0,190.0,258.0,278.0,False,MEDIUM,16.0,True,Mercedes,4143.187,2019-05-26 13:49:03.647,1,1.0,False,,False,True
4297.685,HAM,44,77.365,28.0,2.0,,,20.462,36.212,20.691,4240.806,4277.018,4297.709,186.0,192.0,258.0,278.0,False,MEDIUM,17.0,True,Mercedes,4220.32,2019-05-26 13:50:20.780,1,1.0,False,,False,True
4375.218,HAM,44,77.533,29.0,2.0,,,20.549,36.254,20.73,4318.258,4354.512,4375.242,185.0,193.0,258.0,278.0,False,MEDIUM,18.0,True,Mercedes,4297.685,2019-05-26 13:51:38.145,1,1.0,False,,False,True
4452.463,HAM,44,77.245,30.0,2.0,,,20.525,36.085,20.635,4395.767,4431.852,4452.487,191.0,194.0,258.0,279.0,False,MEDIUM,19.0,True,Mercedes,4375.218,2019-05-26 13:52:55.678,1,1.0,False,,False,True
4529.904,HAM,44,77.441,31.0,2.0,,,20.571,36.234,20.636,4473.058,4509.292,4529.928,190.0,190.0,259.0,279.0,False,MEDIUM,20.0,True,Mercedes,4452.463,2019-05-26 13:54:12.923,1,1.0,False,,False,True
