Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
60.401,22.6,50.3,1011.2,False,35.2,0,0.6
120.406,22.7,48.9,1011.2,False,35.2,350,0.7
180.42,22.7,49.5,1011.2,False,35.2,173,0.7
240.433,22.9,49.5,1011.3,False,35.3,114,0.5
300.448,22.7,49.3,1011.2,False,35.3,238,0.5
360.46,22.6,50.0,1011.3,False,35.3,289,0.0
420.476,22.5,52.1,1011.2,False,35.0,12,0.8
480.489,22.4,52.6,1011.1,False,35.0,169,0.6
540.503,22.6,52.2,1011.1,False,35.3,107,0.6
600.515,22.8,52.0,1011.1,False,35.3,2,0.5
660.53,22.7,53.0,1011.2,False,35.3,155,1.1
720.544,22.7,52.7,1011.2,False,35.0,334,1.9
780.558,22.7,53.1,1011.2,False,35.2,169,0.8
840.571,22.7,53.1,1011.1,False,35.0,166,0.7
900.584,22.6,53.3,1011.1,False,34.6,55,0.0
960.599,22.5,53.9,1011.2,False,34.5,0,0.5
1020.611,22.4,54.3,1011.1,False,34.5,59,0.8
1080.625,22.4,54.5,1011.2,False,34.5,318,0.8
1140.636,22.4,54.3,1011.1,False,34.3,320,1.3
1200.65,22.5,54.0,1011.1,False,34.4,308,1.2
1260.663,22.4,53.6,1011.2,False,34.3,346,1.0
1320.677,22.3,54.2,1011.1,False,34.3,302,1.4
1380.695,22.2,53.4,1011.2,False,34.1,179,0.5
1440.704,22.1,54.2,1011.1,False,33.7,135,0.8
1500.719,22.0,54.5,1011.1,False,33.7,204,0.5
1560.733,21.9,54.0,1011.1,False,33.6,7,1.1
1620.747,21.9,54.5,1011.1,False,33.7,0,0.7
1680.757,21.9,54.3,1011.1,False,33.8,326,0.3
1740.772,22.0,53.9,1011.0,False,33.9,336,1.3
1800.787,22.1,53.4,1011.0,False,33.9,63,1.2
1860.798,22.2,53.0,1011.1,False,34.2,0,0.6
1920.813,22.4,52.7,1011.1,False,34.3,10,0.6
1980.825,22.5,52.4,1011.1,False,34.4,331,0.5
2040.84,22.5,51.8,1011.0,False,34.6,3,2.1
2100.855,22.4,52.0,1011.1,False,34.4,59,0.9
2160.866,22.2,52.9,1011.1,False,34.0,186,0.4
2220.881,22.3,53.1,1011.1,False,34.3,268,1.2
2280.899,22.3,52.8,1011.0,True,34.0,358,0.5
2341.015,22.5,53.1,1011.0,True,34.6,357,1.2
2400.926,22.7,52.6,1011.0,True,34.6,148,0.6
2460.941,22.9,52.2,1011.0,True,34.6,0,0.4
2520.953,22.9,51.7,1011.1,True,34.3,195,0.7
2580.969,22.8,52.0,1011.0,True,34.3,7,0.4
2640.983,22.9,51.5,1011.1,True,34.3,0,0.4
2700.999,22.7,52.2,1011.0,True,33.8,0,0.7
2761.014,22.6,52.4,1010.9,True,34.0,72,0.4
2821.027,22.7,51.7,1010.9,True,34.0,0,0.5
2881.04,22.9,51.8,1011.0,True,34.3,342,0.7
2941.057,23.0,51.4,1011.0,True,34.3,149,0.6
3001.07,22.9,51.7,1011.0,True,34.1,333,0.4
3061.093,22.9,51.9,1010.9,True,34.1,173,0.6
3121.098,23.0,51.4,1010.9,True,34.4,155,0.8
3181.114,22.9,52.3,1011.0,True,34.3,142,2.0
3241.208,22.9,52.1,1011.0,True,34.2,140,1.4
3301.144,22.8,51.7,1010.9,True,34.2,0,1.2
3361.17,22.7,52.0,1011.0,True,34.0,95,0.4
3421.17,22.7,51.9,1011.0,True,33.6,58,0.7
3481.187,22.5,52.6,1010.9,True,33.5,127,0.6
3541.205,22.7,52.0,1010.9,True,33.5,328,1.2
3601.215,22.9,51.6,1010.9,True,33.5,165,0.7
3661.23,23.1,51.2,1010.9,True,33.8,0,0.9
3721.244,23.3,50.1,1010.9,True,34.0,329,0.9
3781.263,23.4,50.2,1010.8,True,33.8,30,1.0
3841.274,23.6,50.0,1010.9,True,33.8,129,0.7
3901.288,23.7,50.3,1010.9,True,34.0,135,1.0
3961.301,23.5,49.6,1010.9,True,33.9,153,1.8
4021.383,23.4,50.5,1010.9,True,33.7,133,1.0
4081.334,23.2,50.8,1010.9,True,33.4,46,0.6
4141.354,23.2,51.8,1010.8,True,33.2,141,1.5
4201.358,23.2,52.0,1010.9,True,33.1,149,1.2
4261.4,23.0,51.9,1010.8,True,32.8,141,1.2
4321.389,23.0,52.2,1010.9,True,32.8,135,0.7
4381.409,22.7,52.5,1010.8,True,32.7,153,1.5
4441.417,22.8,52.8,1010.8,True,32.8,85,1.0
4501.431,22.6,52.0,1010.9,True,33.0,25,0.8
4561.444,22.6,53.2,1010.8,True,32.4,1,0.9
4621.46,22.9,52.1,1010.9,True,32.4,151,1.3
4681.472,22.9,51.7,1010.9,True,32.6,0,0.7
4741.486,22.8,52.0,1010.9,True,32.2,121,0.7
4801.5,22.6,53.0,1010.8,True,32.1,0,0.8
4861.514,22.6,52.7,1010.8,True,32.1,48,0.7
4921.527,22.6,52.6,1010.8,True,32.0,154,0.6
4981.541,22.5,52.7,1010.8,True,31.9,132,1.6
5041.556,22.3,53.1,1010.8,False,31.6,57,1.5
5101.568,22.2,53.6,1010.8,True,31.4,102,0.8
5161.59,22.4,53.8,1010.9,True,31.5,158,1.0
5221.598,22.5,52.4,1010.9,True,31.6,0,0.6
5281.635,22.5,53.1,1010.9,True,31.9,176,0.0
5341.625,22.8,52.6,1010.8,True,31.7,146,0.7
5401.642,22.9,52.1,1010.8,True,31.8,0,0.4
5461.657,22.9,52.3,1010.9,True,31.7,102,0.8
5521.668,22.8,52.7,1010.8,True,31.0,142,1.4
5581.682,22.7,53.0,1010.8,True,31.0,0,0.7
5641.726,22.7,53.9,1010.7,True,30.7,43,0.3
5701.726,22.8,53.5,1010.8,True,30.8,198,0.6
5761.763,22.8,53.5,1010.8,True,31.2,112,1.1
5821.738,22.9,53.0,1010.8,True,30.9,122,1.3
5881.751,22.8,52.8,1010.8,False,30.9,0,1.2
5941.766,22.6,53.9,1010.7,True,30.9,155,0.5
6001.78,22.5,54.5,1010.8,True,30.6,59,0.9
6061.8,22.6,54.1,1010.8,True,30.6,132,1.2
6121.808,22.6,53.8,1010.7,True,31.0,8,0.3
6181.822,22.7,54.1,1010.8,True,31.0,150,0.9
6241.864,22.8,53.9,1010.8,True,30.9,113,1.5
6301.851,22.8,53.9,1010.9,True,30.9,123,0.6
6361.874,22.8,54.0,1010.8,True,30.9,141,0.6
6421.886,22.7,54.7,1010.8,True,30.7,153,0.0
6481.892,22.9,54.1,1010.7,True,31.0,88,0.8
6541.905,22.8,54.1,1010.9,True,30.9,134,0.6
6601.953,22.6,54.8,1010.8,True,30.4,128,1.0
6661.936,22.6,54.8,1010.8,True,30.7,0,0.6
6721.947,22.8,54.3,1010.8,True,30.7,54,1.1
6781.961,22.7,54.4,1010.8,True,30.5,157,0.8
6841.974,22.7,54.1,1010.7,True,30.4,155,1.3
6901.99,22.7,54.2,1010.7,True,30.5,0,0.7
6962.017,22.6,54.6,1010.8,True,30.5,145,0.4
7022.018,22.7,54.1,1010.8,True,30.5,170,1.0
7082.032,22.8,54.1,1010.7,True,30.6,215,0.9
7142.043,22.9,53.6,1010.7,True,30.6,121,0.7
7202.058,22.9,53.3,1010.7,True,30.6,0,0.5
7262.072,23.0,53.4,1010.8,True,30.7,150,1.6
7322.086,23.2,52.2,1010.8,True,30.7,72,0.8
7382.103,23.0,53.3,1010.7,True,30.8,23,0.5
7442.161,23.0,53.2,1010.7,True,30.4,129,0.5
7502.127,23.0,53.2,1010.7,True,30.4,148,1.0
7562.144,23.0,53.4,1010.8,True,30.5,171,1.5
7622.158,22.9,54.2,1010.7,False,30.5,161,2.2
7682.17,23.0,54.1,1010.7,False,30.6,159,1.1
7742.182,23.0,53.5,1010.7,False,30.6,115,1.6
7802.196,23.0,53.7,1010.7,False,30.6,151,2.4
7862.209,23.0,53.6,1010.7,False,30.5,0,1.4
7922.224,23.0,54.1,1010.7,False,30.4,158,0.9
7982.239,23.2,53.0,1010.7,False,30.5,147,1.7
8042.252,23.2,52.8,1010.6,False,30.8,167,1.4
8102.266,23.4,52.5,1010.7,False,30.8,193,1.2
8162.279,23.5,51.5,1010.6,False,30.8,195,1.4
8222.295,23.6,50.6,1010.7,False,30.8,151,2.2
8282.307,23.7,50.4,1010.6,False,31.1,157,1.5
8342.323,24.0,50.5,1010.6,False,31.2,153,1.5
