Time,Category,Message,Status,Flag,Scope,Sector,RacingNumber,Lap
2019-06-08 14:45:12,Other,AIR TEMPERATURE 15 MIN BEFORE P3 = 19 DEGREES,,,,,,
2019-06-08 14:45:23,Other,RISK OF RAIN FOR THIS SESSION IS 0%,,,,,,
2019-06-08 15:00:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,
2019-06-08 15:28:35,CarEvent,CAR 99 (GIO) OFF TRACK AND CONTINUED AT TURN 13,,,,,99,
2019-06-08 15:30:01,CarEvent,CAR 63 (RUS) OFF TRACK AND CONTINUED AT TURN 1,,,,,63,
2019-06-08 15:30:26,CarEvent,CAR 4 (NOR) OFF TRACK AND CONTINUED AT TURN 13,,,,,4,
2019-06-08 15:31:54,Flag,YELLOW IN TRACK SECTOR 6,,YELLOW,Sector,6.0,,
2019-06-08 15:31:59,Flag,CLEAR IN TRACK SECTOR 6,,CLEAR,Sector,6.0,,
2019-06-08 15:32:31,Other,TURN 13 INCIDENT INVOLVING CAR 4 (NOR) WILL BE INVESTIGATED AFTER THE SESSION,,,,,,
2019-06-08 15:33:01,CarEvent,CAR 3 (RIC) OFF TRACK AND CONTINUED AT TURN 1,,,,,3,
2019-06-08 15:51:33,CarEvent,CAR 16 (LEC) OFF TRACK AND CONTINUED AT TURN 1,,,,,16,
2019-06-08 15:52:23,CarEvent,CAR 99 (GIO) OFF TRACK AND CONTINUED AT TURN 1,,,,,99,
2019-06-08 16:00:00,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,,
2019-06-08 16:02:26,Flag,YELLOW IN TRACK SECTOR 6,,YELLOW,Sector,6.0,,
2019-06-08 16:02:30,Flag,CLEAR IN TRACK SECTOR 6,,CLEAR,Sector,6.0,,
2019-06-08 16:03:58,Flag,YELLOW IN TRACK SECTOR 6,,YELLOW,Sector,6.0,,
