Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
2069.363,GAS,10,85.163,1.0,1.0,,,,25.362,31.246,,2038.824,2069.545,242.0,278.0,270.0,307.0,False,SOFT,4.0,False,Red Bull Racing,1984.006,2019-06-09 18:13:04.084,12,5.0,False,,False,False
2147.997,GAS,10,78.634,2.0,1.0,,,22.248,25.09,31.296,2091.636,2116.726,2148.022,243.0,281.0,280.0,312.0,True,SOFT,5.0,False,Red Bull Racing,2069.363,2019-06-09 18:14:29.441,21,5.0,False,,False,True
2225.951,GAS,10,77.954,3.0,1.0,,,21.941,24.957,31.056,2169.963,2194.92,2225.976,,281.0,287.0,322.0,True,SOFT,6.0,False,Red Bull Racing,2147.997,2019-06-09 18:15:48.075,1,5.0,False,,False,True
2303.718,GAS,10,77.767,4.0,1.0,,,21.71,24.903,31.154,2247.686,2272.589,2303.743,247.0,280.0,279.0,308.0,True,SOFT,7.0,False,Red Bull Racing,2225.951,2019-06-09 18:17:06.029,1,5.0,False,,False,True
2381.763,GAS,10,78.045,5.0,1.0,,,21.774,25.084,31.187,2325.517,2350.601,2381.788,249.0,280.0,286.0,320.0,False,SOFT,8.0,False,Red Bull Racing,2303.718,2019-06-09 18:18:23.796,1,5.0,False,,False,True
2460.11,GAS,10,78.347,6.0,1.0,,,21.908,25.144,31.295,2403.696,2428.84,2460.135,241.0,280.0,280.0,306.0,False,SOFT,9.0,False,Red Bull Racing,2381.763,2019-06-09 18:19:41.841,1,5.0,False,,False,True
2553.904,GAS,10,93.794,7.0,1.0,,2532.698,21.837,25.243,46.714,2481.972,2507.215,2553.929,236.0,279.0,,306.0,False,SOFT,10.0,False,Red Bull Racing,2460.11,2019-06-09 18:21:00.188,1,13.0,False,,False,False
2634.032,GAS,10,80.128,8.0,2.0,2555.338,,23.84,24.842,31.446,2577.769,2602.611,2634.057,248.0,279.0,278.0,304.0,False,HARD,1.0,True,Red Bull Racing,2553.904,2019-06-09 18:22:33.982,1,13.0,False,,False,False
2711.25,GAS,10,77.218,9.0,2.0,,,21.589,24.746,30.883,2655.646,2680.392,2711.275,,282.0,285.0,332.0,True,HARD,2.0,True,Red Bull Racing,2634.032,2019-06-09 18:23:54.110,12,12.0,False,,False,True
2789.944,GAS,10,78.694,10.0,2.0,,,22.387,25.357,30.95,2733.662,2759.019,2789.969,246.0,281.0,291.0,325.0,False,HARD,3.0,True,Red Bull Racing,2711.25,2019-06-09 18:25:11.328,2,12.0,False,,False,True
2869.366,GAS,10,79.422,11.0,2.0,,,22.903,25.256,31.263,2812.872,2838.128,2869.391,243.0,284.0,287.0,326.0,False,HARD,4.0,True,Red Bull Racing,2789.944,2019-06-09 18:26:30.022,21,10.0,False,,False,True
2947.514,GAS,10,78.148,12.0,2.0,,,21.901,25.056,31.191,2891.292,2916.348,2947.539,239.0,280.0,280.0,307.0,False,HARD,5.0,True,Red Bull Racing,2869.366,2019-06-09 18:27:49.444,12,9.0,False,,False,True
3025.612,GAS,10,78.098,13.0,2.0,,,22.052,24.841,31.205,2969.591,2994.432,3025.637,246.0,281.0,280.0,307.0,False,HARD,6.0,True,Red Bull Racing,2947.514,2019-06-09 18:29:07.592,21,9.0,False,,False,True
3103.051,GAS,10,77.439,14.0,2.0,,,21.742,24.902,30.795,3047.379,3072.281,3103.076,248.0,281.0,290.0,325.0,False,HARD,7.0,True,Red Bull Racing,3025.612,2019-06-09 18:30:25.690,1,9.0,False,,False,True
3181.215,GAS,10,78.164,15.0,2.0,,,22.258,25.047,30.859,3125.334,3150.381,3181.24,247.0,279.0,289.0,324.0,False,HARD,8.0,True,Red Bull Racing,3103.051,2019-06-09 18:31:43.129,1,9.0,False,,False,True
3259.062,GAS,10,77.847,16.0,2.0,,,22.073,24.798,30.976,3203.313,3228.111,3259.087,250.0,281.0,288.0,322.0,False,HARD,9.0,True,Red Bull Racing,3181.215,2019-06-09 18:33:01.293,1,9.0,False,,False,True
3337.081,GAS,10,78.019,17.0,2.0,,,22.043,24.809,31.167,3281.13,3305.939,3337.106,251.0,279.0,287.0,327.0,False,HARD,10.0,True,Red Bull Racing,3259.062,2019-06-09 18:34:19.140,1,9.0,False,,False,True
3415.138,GAS,10,78.057,18.0,2.0,,,22.099,24.943,31.015,3359.205,3384.148,3415.163,,280.0,287.0,322.0,False,HARD,11.0,True,Red Bull Racing,3337.081,2019-06-09 18:35:37.159,1,9.0,False,,False,True
3492.621,GAS,10,77.483,19.0,2.0,,,21.825,24.774,30.884,3436.988,3461.762,3492.646,249.0,280.0,289.0,320.0,False,HARD,12.0,True,Red Bull Racing,3415.138,2019-06-09 18:36:55.216,1,9.0,False,,False,True
3570.5,GAS,10,77.879,20.0,2.0,,,21.773,24.756,31.35,3514.419,3539.175,3570.525,253.0,277.0,288.0,316.0,False,HARD,13.0,True,Red Bull Racing,3492.621,2019-06-09 18:38:12.699,1,9.0,False,,False,True
3648.447,GAS,10,77.947,21.0,2.0,,,21.757,24.865,31.325,3592.282,3617.147,3648.472,249.0,276.0,279.0,298.0,False,HARD,14.0,True,Red Bull Racing,3570.5,2019-06-09 18:39:30.578,1,9.0,False,,False,True
3726.181,GAS,10,77.734,22.0,2.0,,,21.661,24.728,31.345,3670.133,3694.861,3726.206,250.0,277.0,279.0,300.0,False,HARD,15.0,True,Red Bull Racing,3648.447,2019-06-09 18:40:48.525,1,9.0,False,,False,True
3803.759,GAS,10,77.578,23.0,2.0,,,21.473,24.918,31.187,3747.679,3772.597,3803.784,253.0,281.0,280.0,305.0,False,HARD,16.0,True,Red Bull Racing,3726.181,2019-06-09 18:42:06.259,1,9.0,False,,False,True
3881.233,GAS,10,77.474,24.0,2.0,,,21.502,24.894,31.078,3825.286,3850.18,3881.258,248.0,280.0,280.0,301.0,False,HARD,17.0,True,Red Bull Racing,3803.759,2019-06-09 18:43:23.837,1,9.0,False,,False,True
3958.492,GAS,10,77.259,25.0,2.0,,,21.445,24.678,31.136,3902.703,3927.381,3958.517,253.0,281.0,281.0,305.0,False,HARD,18.0,True,Red Bull Racing,3881.233,2019-06-09 18:44:41.311,1,9.0,False,,False,True
4036.038,GAS,10,77.546,26.0,2.0,,,21.416,25.103,31.027,3979.933,4005.036,4036.063,251.0,281.0,280.0,305.0,False,HARD,19.0,True,Red Bull Racing,3958.492,2019-06-09 18:45:58.570,1,9.0,False,,False,True
4113.282,GAS,10,77.244,27.0,2.0,,,21.428,24.735,31.081,4057.491,4082.226,4113.307,252.0,283.0,283.0,309.0,False,HARD,20.0,True,Red Bull Racing,4036.038,2019-06-09 18:47:16.116,1,9.0,False,,False,True
4190.759,GAS,10,77.477,28.0,2.0,,,21.636,24.871,30.97,4134.943,4159.814,4190.784,251.0,281.0,280.0,306.0,False,HARD,21.0,True,Red Bull Racing,4113.282,2019-06-09 18:48:33.360,1,9.0,False,,False,True
