Time,Category,Message,Status,Flag,Scope,Sector,RacingNumber,Lap
2019-06-21 09:00:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,
2019-06-21 09:04:20,Flag,CLEAR IN TRACK SECTOR 1,,CLEAR,Sector,1.0,,
2019-06-21 09:06:34,Flag,CLEAR IN TRACK SECTOR 1,,CLEAR,Sector,1.0,,
2019-06-21 09:20:56,Flag,YELLOW IN TRACK SECTOR 5,,YELLOW,Sector,5.0,,
2019-06-21 09:21:12,Flag,CLEAR IN TRACK SECTOR 5,,CLEAR,Sector,5.0,,
2019-06-21 09:21:22,CarEvent,CAR 26 (KVY) SPUN AND CONTINUED AT TURN 5,,,,,26,
2019-06-21 09:28:31,CarEvent,CAR 5 (VET) OFF TRACK AND CONTINUED AT TURN 1,,,,,5,
2019-06-21 09:35:00,CarEvent,CAR 7 (RAI) OFF TRACK AND CONTINUED AT TURN 4,,,,,7,
2019-06-21 09:36:56,CarEvent,CAR 10 (GAS) OFF TRACK AND CONTINUED AT TURN 2,,,,,10,
2019-06-21 10:09:19,Flag,YELLOW IN TRACK SECTOR 9,,YELLOW,Sector,9.0,,
2019-06-21 10:09:32,Flag,CLEAR IN TRACK SECTOR 9,,CLEAR,Sector,9.0,,
2019-06-21 10:09:40,CarEvent,CAR 33 (VER) SPUN AND CONTINUED AT TURN 8,,,,,33,
2019-06-21 10:25:03,Flag,YELLOW IN TRACK SECTOR 4,,YELLOW,Sector,4.0,,
2019-06-21 10:25:12,Flag,CLEAR IN TRACK SECTOR 4,,CLEAR,Sector,4.0,,
2019-06-21 10:25:31,CarEvent,CAR 10 (GAS) SPUN AND CONTINUED AT TURN 4,,,,,10,
2019-06-21 10:30:00,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,,
