Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
18.35,25.8,41.7,967.0,False,51.9,56,2.8
78.375,25.3,43.0,967.0,False,51.7,122,0.9
138.383,25.5,42.2,967.0,False,52.5,105,2.1
198.401,25.4,42.7,966.9,False,52.5,61,0.9
258.419,25.7,42.6,967.0,False,54.6,69,1.3
318.519,26.1,41.2,966.9,False,54.3,134,1.0
378.453,26.3,39.7,966.9,False,53.8,97,1.3
438.47,26.1,41.0,967.0,False,53.5,329,2.0
498.487,26.4,40.0,966.9,False,53.5,130,0.7
558.505,26.7,39.2,966.9,False,53.5,185,1.6
618.523,26.6,39.9,967.0,False,53.1,94,1.1
678.54,26.7,40.0,966.9,False,52.8,110,1.1
738.556,26.9,39.1,967.0,False,52.8,15,1.8
798.574,26.5,39.8,966.9,False,52.4,64,1.5
858.594,26.6,39.6,967.0,False,50.6,97,0.9
918.608,26.2,40.2,967.0,False,50.6,77,1.8
978.627,25.9,41.5,966.9,False,51.0,89,1.6
1038.644,26.0,41.4,966.9,False,51.0,76,2.0
1098.661,25.9,42.1,967.0,False,52.9,107,1.2
1158.676,26.4,41.4,966.9,False,57.0,107,2.9
1218.685,26.3,42.0,966.9,False,56.7,118,1.3
1278.697,26.4,41.3,967.0,False,55.4,96,1.1
1338.708,26.7,40.6,966.9,False,55.4,140,1.0
1398.719,27.0,39.9,966.9,False,55.4,54,1.6
1458.773,26.9,40.4,966.9,False,55.9,0,1.1
1518.742,26.9,40.4,966.9,False,55.6,15,0.8
1578.758,27.1,39.3,966.9,False,55.6,113,1.1
1638.764,27.0,39.7,966.8,False,55.0,39,1.5
1698.775,26.8,40.3,966.9,False,55.6,95,1.3
1758.788,26.6,40.8,966.8,False,54.5,60,1.7
1818.798,26.3,41.8,966.9,False,54.5,34,1.5
1878.81,26.0,42.4,966.7,False,54.5,81,2.3
1938.821,26.0,42.6,966.8,False,54.3,80,1.7
1998.893,26.2,42.4,966.7,False,54.4,60,1.7
2058.846,26.4,41.4,966.7,False,55.9,120,1.8
2118.854,26.4,41.4,966.7,False,56.1,93,1.8
2178.866,26.3,41.8,966.8,False,56.1,57,1.2
2238.879,26.3,41.8,966.7,False,57.0,77,2.1
2298.892,26.5,41.4,966.8,False,56.3,197,1.4
2358.904,26.7,40.4,966.8,False,56.6,83,1.1
2418.915,26.8,40.2,966.7,False,56.6,151,1.5
2478.926,26.9,40.6,966.6,False,56.3,26,1.4
2538.979,26.7,41.4,966.7,False,56.4,48,2.1
2598.95,26.9,41.3,966.8,False,56.3,12,1.6
2658.962,27.0,41.1,966.7,False,56.6,176,1.4
2718.972,27.3,40.3,966.7,False,56.8,184,1.1
2778.984,27.5,39.9,966.7,False,56.2,18,0.6
2838.996,27.8,39.0,966.7,False,57.2,164,0.9
2899.009,27.7,38.5,966.7,False,56.9,352,1.3
2959.02,27.7,37.9,966.7,False,55.4,132,1.8
3019.031,27.6,38.4,966.6,False,55.4,103,1.6
3079.046,27.4,38.5,966.6,False,55.4,104,1.5
3139.126,27.3,38.8,966.6,False,55.6,87,2.1
3199.069,27.3,38.7,966.6,False,55.6,31,1.7
3259.082,27.1,38.7,966.6,False,54.4,161,1.5
3319.098,27.4,38.3,966.6,False,55.1,116,0.9
3379.104,27.8,37.1,966.6,False,55.7,132,2.4
3439.118,27.6,37.8,966.5,False,55.1,119,2.3
3499.127,27.2,38.6,966.6,False,54.8,106,2.6
3559.139,27.1,38.9,966.5,False,54.7,151,1.4
3619.152,27.4,38.4,966.6,False,55.4,107,1.1
3679.202,27.7,37.3,966.5,False,55.9,201,2.2
3739.174,27.7,37.1,966.6,False,56.0,59,1.5
