Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
2049.207,VER,33,76.629,1.0,1.0,,,,32.619,22.277,,2026.977,2049.394,312.0,225.0,274.0,314.0,False,MEDIUM,4.0,False,Red Bull Racing,1972.408,2019-06-30 13:12:52.435,1,7.0,False,,False,False
2120.702,VER,33,71.495,2.0,1.0,,,17.95,31.755,21.79,2067.174,2098.929,2120.719,297.0,226.0,272.0,292.0,True,MEDIUM,5.0,False,Red Bull Racing,2049.207,2019-06-30 13:14:09.234,1,7.0,False,,False,True
2191.701,VER,33,70.999,3.0,1.0,,,17.477,31.601,21.921,2138.196,2169.797,2191.718,316.0,229.0,278.0,310.0,True,MEDIUM,6.0,False,Red Bull Racing,2120.702,2019-06-30 13:15:20.729,1,7.0,False,,False,True
2262.801,VER,33,71.1,4.0,1.0,,,17.384,31.655,22.061,2209.102,2240.757,2262.818,309.0,220.0,277.0,303.0,False,MEDIUM,7.0,False,Red Bull Racing,2191.701,2019-06-30 13:16:31.728,1,7.0,False,,False,True
2333.64,VER,33,70.839,5.0,1.0,,,17.175,31.891,21.773,2279.993,2311.884,2333.657,325.0,228.0,280.0,309.0,True,MEDIUM,8.0,False,Red Bull Racing,2262.801,2019-06-30 13:17:42.828,1,7.0,False,,False,True
2404.076,VER,33,70.436,6.0,1.0,,,17.405,31.538,21.493,2351.062,2382.6,2404.093,307.0,227.0,280.0,306.0,True,MEDIUM,9.0,False,Red Bull Racing,2333.64,2019-06-30 13:18:53.667,1,7.0,False,,False,True
2473.819,VER,33,69.743,7.0,1.0,,,17.303,31.206,21.234,2421.396,2452.602,2473.836,316.0,230.0,273.0,304.0,True,MEDIUM,10.0,False,Red Bull Racing,2404.076,2019-06-30 13:20:04.103,1,6.0,False,,False,True
2544.393,VER,33,70.574,8.0,1.0,,,17.397,31.332,21.845,2491.233,2522.565,2544.41,306.0,228.0,279.0,301.0,False,MEDIUM,11.0,False,Red Bull Racing,2473.819,2019-06-30 13:21:13.846,1,6.0,False,,False,True
2614.337,VER,33,69.944,9.0,1.0,,,17.56,31.177,21.207,2561.97,2593.147,2614.354,,227.0,273.0,294.0,False,MEDIUM,12.0,False,Red Bull Racing,2544.393,2019-06-30 13:22:24.420,1,5.0,False,,False,True
2684.208,VER,33,69.871,10.0,1.0,,,17.706,31.055,21.11,2632.06,2663.115,2684.225,281.0,234.0,271.0,281.0,False,MEDIUM,13.0,False,Red Bull Racing,2614.337,2019-06-30 13:23:34.364,1,5.0,False,,False,True
2753.82,VER,33,69.612,11.0,1.0,,,17.571,30.976,21.065,2701.796,2732.772,2753.837,286.0,232.0,270.0,286.0,True,MEDIUM,14.0,False,Red Bull Racing,2684.208,2019-06-30 13:24:44.235,1,5.0,False,,False,True
2823.384,VER,33,69.564,12.0,1.0,,,17.622,30.895,21.047,2771.459,2802.354,2823.401,285.0,233.0,271.0,285.0,True,MEDIUM,15.0,False,Red Bull Racing,2753.82,2019-06-30 13:25:53.847,1,5.0,False,,False,True
2893.128,VER,33,69.744,13.0,1.0,,,17.579,31.071,21.094,2840.98,2872.051,2893.145,,234.0,272.0,286.0,False,MEDIUM,16.0,False,Red Bull Racing,2823.384,2019-06-30 13:27:03.411,1,5.0,False,,False,True
2962.828,VER,33,69.7,14.0,1.0,,,17.649,30.85,21.201,2910.794,2941.644,2962.845,288.0,234.0,272.0,289.0,False,MEDIUM,17.0,False,Red Bull Racing,2893.128,2019-06-30 13:28:13.155,1,5.0,False,,False,True
3032.442,VER,33,69.614,15.0,1.0,,,17.564,30.927,21.123,2980.409,3011.336,3032.459,286.0,233.0,273.0,290.0,False,MEDIUM,18.0,False,Red Bull Racing,2962.828,2019-06-30 13:29:22.855,1,5.0,False,,False,True
3101.694,VER,33,69.252,16.0,1.0,,,17.531,30.697,21.024,3049.99,3080.687,3101.711,290.0,232.0,273.0,290.0,True,MEDIUM,19.0,False,Red Bull Racing,3032.442,2019-06-30 13:30:32.469,1,5.0,False,,False,True
3170.998,VER,33,69.304,17.0,1.0,,,17.502,30.672,21.13,3119.213,3149.885,3171.015,294.0,233.0,271.0,300.0,False,MEDIUM,20.0,False,Red Bull Racing,3101.694,2019-06-30 13:31:41.721,1,5.0,False,,False,True
3240.215,VER,33,69.217,18.0,1.0,,,17.551,30.686,20.98,3188.566,3219.252,3240.232,290.0,233.0,271.0,287.0,True,MEDIUM,21.0,False,Red Bull Racing,3170.998,2019-06-30 13:32:51.025,1,5.0,False,,False,True
3309.449,VER,33,69.234,19.0,1.0,,,17.556,30.717,20.961,3257.788,3288.505,3309.466,,235.0,272.0,287.0,False,MEDIUM,22.0,False,Red Bull Racing,3240.215,2019-06-30 13:34:00.242,1,5.0,False,,False,True
3378.722,VER,33,69.273,20.0,1.0,,,17.532,30.762,20.979,3326.998,3357.76,3378.739,,233.0,272.0,287.0,False,MEDIUM,23.0,False,Red Bull Racing,3309.449,2019-06-30 13:35:09.476,1,5.0,False,,False,True
3448.068,VER,33,69.346,21.0,1.0,,,17.522,30.899,20.925,3396.261,3427.16,3448.085,289.0,234.0,272.0,287.0,False,MEDIUM,24.0,False,Red Bull Racing,3378.722,2019-06-30 13:36:18.749,1,5.0,False,,False,True
3517.255,VER,33,69.187,22.0,1.0,,,17.494,30.673,21.02,3465.579,3496.252,3517.272,,236.0,272.0,287.0,True,MEDIUM,25.0,False,Red Bull Racing,3448.068,2019-06-30 13:37:28.095,1,3.0,False,,False,True
3586.665,VER,33,69.41,23.0,1.0,,,17.521,30.801,21.088,3534.793,3565.594,3586.682,287.0,231.0,272.0,287.0,False,MEDIUM,26.0,False,Red Bull Racing,3517.255,2019-06-30 13:38:37.282,1,2.0,False,,False,True
3655.825,VER,33,69.16,24.0,1.0,,,17.469,30.617,21.074,3604.151,3634.768,3655.842,289.0,233.0,271.0,288.0,True,MEDIUM,27.0,False,Red Bull Racing,3586.665,2019-06-30 13:39:46.692,1,2.0,False,,False,True
3725.091,VER,33,69.266,25.0,1.0,,,17.47,30.713,21.083,3673.312,3704.025,3725.108,,235.0,273.0,288.0,False,MEDIUM,28.0,False,Red Bull Racing,3655.825,2019-06-30 13:40:55.852,1,2.0,False,,False,True
3794.32,VER,33,69.229,26.0,1.0,,,17.458,30.725,21.046,3742.566,3773.291,3794.337,288.0,234.0,273.0,289.0,False,MEDIUM,29.0,False,Red Bull Racing,3725.091,2019-06-30 13:42:05.118,1,2.0,False,,False,True
3863.464,VER,33,69.144,27.0,1.0,,,17.423,30.781,20.94,3811.76,3842.541,3863.481,291.0,229.0,274.0,289.0,True,MEDIUM,30.0,False,Red Bull Racing,3794.32,2019-06-30 13:43:14.347,1,2.0,False,,False,True
3932.612,VER,33,69.148,28.0,1.0,,,17.452,30.732,20.964,3880.933,3911.665,3932.629,292.0,233.0,275.0,287.0,False,MEDIUM,31.0,False,Red Bull Racing,3863.464,2019-06-30 13:44:23.491,1,2.0,False,,False,True
4001.962,VER,33,69.35,29.0,1.0,,,17.517,30.819,21.014,3950.146,3980.965,4001.979,290.0,234.0,274.0,287.0,False,MEDIUM,32.0,False,Red Bull Racing,3932.612,2019-06-30 13:45:32.639,1,2.0,False,,False,True
4071.43,VER,33,69.468,30.0,1.0,,,17.478,30.926,21.064,4019.457,4050.383,4071.447,289.0,229.0,274.0,286.0,False,MEDIUM,33.0,False,Red Bull Racing,4001.962,2019-06-30 13:46:41.989,1,2.0,False,,False,True
4144.131,VER,33,72.701,31.0,1.0,,4140.88,17.487,30.845,24.369,4088.934,4119.779,4144.148,,232.0,,286.0,False,MEDIUM,34.0,False,Red Bull Racing,4071.43,2019-06-30 13:47:51.457,1,1.0,False,,False,False
4229.652,VER,33,85.521,32.0,2.0,4162.002,,34.315,30.516,20.69,4178.463,4208.979,4229.669,282.0,237.0,277.0,288.0,False,HARD,1.0,True,Red Bull Racing,4144.131,2019-06-30 13:49:04.158,1,4.0,False,,False,False
4298.435,VER,33,68.783,33.0,2.0,,,17.4,30.553,20.83,4247.069,4277.622,4298.452,290.0,238.0,272.0,292.0,True,HARD,2.0,True,Red Bull Racing,4229.652,2019-06-30 13:50:29.679,1,4.0,False,,False,True
4367.152,VER,33,68.717,34.0,2.0,,,17.317,30.683,20.717,4315.769,4346.452,4367.169,291.0,238.0,272.0,289.0,True,HARD,3.0,True,Red Bull Racing,4298.435,2019-06-30 13:51:38.462,1,4.0,False,,False,True
4435.861,VER,33,68.709,35.0,2.0,,,17.299,30.502,20.908,4384.468,4414.97,4435.878,293.0,235.0,273.0,290.0,True,HARD,4.0,True,Red Bull Racing,4367.152,2019-06-30 13:52:47.179,1,4.0,False,,False,True
4504.516,VER,33,68.655,36.0,2.0,,,17.273,30.606,20.776,4453.151,4483.757,4504.533,292.0,236.0,274.0,290.0,True,HARD,5.0,True,Red Bull Racing,4435.861,2019-06-30 13:53:55.888,1,4.0,False,,False,True
4573.133,VER,33,68.617,37.0,2.0,,,17.327,30.47,20.82,4521.86,4552.33,4573.15,291.0,239.0,274.0,289.0,True,HARD,6.0,True,Red Bull Racing,4504.516,2019-06-30 13:55:04.543,1,4.0,False,,False,True
4641.635,VER,33,68.502,38.0,2.0,,,17.355,30.464,20.683,4590.505,4620.969,4641.652,292.0,238.0,275.0,290.0,True,HARD,7.0,True,Red Bull Racing,4573.133,2019-06-30 13:56:13.160,1,4.0,False,,False,True
4710.008,VER,33,68.373,39.0,2.0,,,17.36,30.339,20.674,4659.012,4689.351,4710.025,293.0,238.0,275.0,295.0,True,HARD,8.0,True,Red Bull Racing,4641.635,2019-06-30 13:57:21.662,1,4.0,False,,False,True
4778.52,VER,33,68.512,40.0,2.0,,,17.294,30.501,20.717,4727.319,4757.82,4778.537,292.0,236.0,275.0,294.0,False,HARD,9.0,True,Red Bull Racing,4710.008,2019-06-30 13:58:30.035,1,4.0,False,,False,True
4847.166,VER,33,68.646,41.0,2.0,,,17.333,30.466,20.847,4795.87,4826.336,4847.183,293.0,238.0,276.0,294.0,False,HARD,10.0,True,Red Bull Racing,4778.52,2019-06-30 13:59:38.547,1,4.0,False,,False,True
4915.825,VER,33,68.659,42.0,2.0,,,17.377,30.59,20.692,4864.56,4895.15,4915.842,292.0,236.0,274.0,292.0,False,HARD,11.0,True,Red Bull Racing,4847.166,2019-06-30 14:00:47.193,1,4.0,False,,False,True
4984.142,VER,33,68.317,43.0,2.0,,,17.293,30.338,20.686,4933.135,4963.473,4984.159,293.0,239.0,275.0,294.0,True,HARD,12.0,True,Red Bull Racing,4915.825,2019-06-30 14:01:55.852,1,4.0,False,,False,True
5052.307,VER,33,68.165,44.0,2.0,,,17.182,30.289,20.694,5001.341,5031.63,5052.324,295.0,238.0,276.0,295.0,True,HARD,13.0,True,Red Bull Racing,4984.142,2019-06-30 14:03:04.169,1,4.0,False,,False,True
5120.572,VER,33,68.265,45.0,2.0,,,17.225,30.411,20.629,5069.549,5099.96,5120.589,,239.0,277.0,293.0,False,HARD,14.0,True,Red Bull Racing,5052.307,2019-06-30 14:04:12.334,1,4.0,False,,False,True
5189.004,VER,33,68.432,46.0,2.0,,,17.282,30.454,20.696,5137.871,5168.325,5189.021,,236.0,276.0,297.0,False,HARD,15.0,True,Red Bull Racing,5120.572,2019-06-30 14:05:20.599,1,4.0,False,,False,True
5257.755,VER,33,68.751,47.0,2.0,,,17.302,30.465,20.984,5206.323,5236.788,5257.772,,236.0,282.0,294.0,False,HARD,16.0,True,Red Bull Racing,5189.004,2019-06-30 14:06:29.031,1,4.0,False,,False,True
5326.777,VER,33,69.022,48.0,2.0,,,16.971,31.166,20.885,5274.743,5305.909,5326.794,325.0,234.0,285.0,317.0,False,HARD,17.0,True,Red Bull Racing,5257.755,2019-06-30 14:07:37.782,1,4.0,False,,False,True
5395.704,VER,33,68.927,49.0,2.0,,,16.975,31.117,20.835,5343.769,5374.886,5395.721,314.0,226.0,285.0,317.0,False,HARD,18.0,True,Red Bull Racing,5326.777,2019-06-30 14:08:46.804,1,4.0,False,,False,True
5463.548,VER,33,67.844,50.0,2.0,,,17.14,30.14,20.564,5412.861,5443.001,5463.565,322.0,240.0,275.0,319.0,True,HARD,19.0,True,Red Bull Racing,5395.704,2019-06-30 14:09:55.731,1,3.0,False,,False,True
5531.784,VER,33,68.236,51.0,2.0,,,17.246,30.379,20.611,5480.811,5511.19,5531.801,293.0,236.0,276.0,292.0,False,HARD,20.0,True,Red Bull Racing,5463.548,2019-06-30 14:11:03.575,1,3.0,False,,False,True
5600.197,VER,33,68.413,52.0,2.0,,,17.294,30.468,20.651,5549.095,5579.563,5600.214,294.0,239.0,277.0,294.0,False,HARD,21.0,True,Red Bull Racing,5531.784,2019-06-30 14:12:11.811,1,3.0,False,,False,True
