Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
1151.793,RIC,3,,1.0,1.0,1031.067,1149.205,,45.122,36.612,,1115.181,1151.841,155.0,221.0,,284.0,False,SOFT,1.0,True,Renault,1031.067,2019-07-26 09:02:12.766,1,,False,,False,False
1466.363,RIC,3,,2.0,2.0,1362.191,1463.762,,43.751,31.975,,1434.388,1466.414,171.0,225.0,,304.0,False,SOFT,2.0,False,Renault,1151.793,2019-07-26 09:04:13.492,1,,False,,False,False
2607.221,RIC,3,,3.0,3.0,2520.878,,,41.084,26.422,,2580.86,2607.38,170.0,241.0,262.0,297.0,False,SOFT,3.0,False,Renault,2520.878,2019-07-26 09:27:02.577,1,,False,,False,False
2684.305,RIC,3,77.084,4.0,3.0,,,16.689,36.754,23.641,2623.91,2660.664,2684.305,208.0,256.0,263.0,318.0,True,SOFT,4.0,False,Renault,2607.221,2019-07-26 09:28:28.920,1,,False,,False,True
2801.58,RIC,3,117.275,5.0,3.0,,,23.116,57.283,36.876,2707.421,2764.704,2801.58,130.0,189.0,260.0,237.0,False,SOFT,5.0,False,Renault,2684.305,2019-07-26 09:29:46.004,1,,False,,False,True
2877.942,RIC,3,76.362,6.0,3.0,,,16.54,36.543,23.279,2818.12,2854.663,2877.942,210.0,255.0,264.0,318.0,True,SOFT,6.0,False,Renault,2801.58,2019-07-26 09:31:43.279,1,,False,,False,True
2983.583,RIC,3,105.641,7.0,3.0,,2981.045,21.25,47.623,36.768,2899.192,2946.815,2983.583,111.0,225.0,,281.0,False,SOFT,7.0,False,Renault,2877.942,2019-07-26 09:32:59.641,1,,False,,False,False
3101.913,RIC,3,118.33,8.0,4.0,3003.416,,38.497,52.365,27.468,3022.08,3074.445,3101.913,152.0,223.0,262.0,151.0,False,SOFT,8.0,False,Renault,2983.583,2019-07-26 09:34:45.282,1,,False,,False,False
3178.282,RIC,3,76.369,9.0,4.0,,,16.43,36.572,23.367,3118.343,3154.915,3178.282,210.0,258.0,264.0,317.0,False,SOFT,9.0,False,Renault,3101.913,2019-07-26 09:36:43.612,1,,False,,False,True
3274.617,RIC,3,96.335,10.0,4.0,,,19.739,43.458,33.138,3198.021,3241.479,3274.617,162.0,214.0,260.0,279.0,False,SOFT,10.0,False,Renault,3178.282,2019-07-26 09:37:59.981,1,,False,,False,True
3358.436,RIC,3,83.819,11.0,4.0,,3356.661,16.556,36.58,30.683,3291.173,3327.753,3358.436,208.0,258.0,,327.0,False,SOFT,11.0,False,Renault,3274.617,2019-07-26 09:39:36.316,1,,False,,False,False
4324.804,RIC,3,,12.0,5.0,4224.642,,,50.312,30.401,,4294.436,4324.934,147.0,198.0,263.0,208.0,False,SOFT,1.0,True,Renault,3358.436,2019-07-26 09:41:00.135,1,,False,,False,False
4400.371,RIC,3,75.567,13.0,5.0,,,16.33,36.041,23.196,4341.134,4377.175,4400.371,212.0,259.0,265.0,318.0,True,SOFT,2.0,True,Renault,4324.804,2019-07-26 09:57:06.503,1,,False,,False,True
4512.84,RIC,3,112.469,14.0,5.0,,,23.607,56.418,32.444,4423.978,4480.396,4512.84,124.0,194.0,263.0,139.0,False,SOFT,3.0,True,Renault,4400.371,2019-07-26 09:58:22.070,1,,False,,False,True
