Time,Category,Message,Status,Flag,Scope,Sector,RacingNumber,Lap
2019-07-27 09:45:19,Other,RISK OF RAIN FOR THIS SESSION IS 60%,,,,,,
2019-07-27 10:00:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,
2019-07-27 10:23:23,Other,CAR 5 (VET) TIME 1:13.369 DELETED - TRACK LIMITS AT TURN 1,,,,,,
2019-07-27 10:34:33,Other,CAR 7 (RAI) TIME 1:13.890 DELETED - TRACK LIMITS AT TURN 17,,,,,,
2019-07-27 10:37:25,Other,CAR 26 (KVY) TIME 1:14.279 DELETED - TRACK LIMITS AT TURN 1,,,,,,
2019-07-27 10:39:38,Other,CAR 23 (ALB) TIME 1:14.194 DELETED - TRACK LIMITS AT TURN 17,,,,,,
2019-07-27 10:43:45,Other,CAR 26 (KVY) TIME 1:14.162 DELETED - TRACK LIMITS AT TURN 1,,,,,,
2019-07-27 10:48:16,Other,CAR 5 (VET) TIME 1:12.703 DELETED - TRACK LIMITS AT TURN 17,,,,,,
2019-07-27 10:50:31,Other,CAR 44 (HAM) TIME 1:12.793 DELETED - TRACK LIMITS AT TURN 17,,,,,,
2019-07-27 10:56:42,Other,CAR 7 (RAI) TIME 1:13.680 DELETED - TRACK LIMITS AT TURN 17,,,,,,
2019-07-27 10:58:25,Other,CAR 55 (SAI) TIME 1:13.833 DELETED - TRACK LIMITS AT TURN 17,,,,,,
2019-07-27 10:59:59,Other,CAR 7 (RAI) TIME 1:13.668 DELETED - TRACK LIMITS AT TURN 17,,,,,,
2019-07-27 11:00:00,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,,
