Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
54.538,28.2,52.1,990.5,False,45.2,293,1.3
114.552,28.2,52.4,990.6,False,45.1,4,1.7
174.564,28.1,52.7,990.5,False,44.9,315,1.3
234.601,27.8,53.7,990.5,False,44.4,314,1.3
294.592,27.8,53.9,990.5,False,44.6,338,1.3
354.608,27.7,53.7,990.5,False,44.4,342,2.3
414.626,27.5,54.6,990.5,False,44.0,336,1.8
474.637,27.7,54.6,990.5,False,43.7,99,1.0
534.651,27.9,53.8,990.5,False,44.4,205,2.4
594.663,28.0,54.4,990.5,False,45.1,291,1.1
654.676,28.3,53.3,990.4,False,45.6,80,0.8
714.692,28.6,52.0,990.4,False,45.7,209,1.0
774.699,28.5,51.5,990.4,False,45.6,121,1.8
834.719,28.1,52.9,990.4,False,45.3,97,1.1
894.729,28.3,53.0,990.3,False,44.8,165,1.8
954.743,28.2,51.9,990.5,False,44.8,0,2.1
1014.759,27.8,53.2,990.5,False,43.3,111,0.5
1074.767,27.8,52.9,990.4,False,43.3,93,1.2
1134.786,27.7,53.2,990.4,False,44.3,89,1.1
1194.799,27.9,52.9,990.3,False,45.6,165,0.4
1254.813,28.2,52.0,990.3,False,45.6,178,1.7
1314.825,28.0,53.1,990.3,False,44.7,227,0.7
1374.838,28.1,53.0,990.3,False,43.2,12,1.1
1434.85,28.3,52.5,990.4,False,43.2,25,0.8
1494.864,28.2,52.0,990.3,False,43.2,73,1.9
1554.879,27.9,53.1,990.3,False,43.7,0,1.0
1614.891,28.0,53.2,990.3,False,43.8,319,1.0
1674.907,28.1,52.3,990.2,False,43.8,336,1.4
1734.925,28.0,53.2,990.3,False,42.8,5,1.6
1794.932,28.1,52.6,990.2,False,42.9,322,1.3
1854.947,28.0,53.0,990.2,False,43.2,11,0.9
1914.985,28.1,53.0,990.1,False,43.4,178,1.3
1974.999,28.4,51.6,990.2,False,43.6,286,0.9
2034.987,28.5,50.9,990.1,False,43.7,118,2.2
2095.004,28.4,51.3,990.1,False,43.8,238,1.6
2155.029,28.4,51.5,990.0,False,43.8,19,1.0
2215.037,28.2,52.3,990.1,False,43.2,52,1.3
2275.066,28.4,51.7,990.0,False,42.7,73,0.6
2335.073,28.4,51.7,990.1,False,42.7,143,1.3
2395.089,28.3,52.0,990.1,False,42.9,88,1.2
2455.084,28.1,52.4,990.1,False,43.2,171,1.2
2515.112,28.3,52.1,990.1,False,43.8,171,2.5
2575.111,28.3,51.7,990.0,False,43.8,128,1.2
2635.135,28.4,51.0,989.9,False,44.0,155,2.6
2695.141,28.5,50.8,989.9,False,44.2,70,2.5
2755.152,28.7,50.2,990.1,False,44.2,191,1.1
2815.187,28.8,50.3,990.0,False,44.2,109,2.1
2875.18,28.8,49.7,990.0,False,43.2,153,2.2
2935.196,28.5,50.6,990.0,False,42.3,341,0.7
2995.208,28.4,51.0,990.0,False,42.9,11,1.0
3055.221,28.4,51.0,989.9,False,43.2,98,0.9
3115.262,28.7,50.4,989.9,False,43.8,152,1.4
3175.255,28.8,49.9,989.9,False,43.9,339,1.8
3235.282,28.7,50.2,989.9,False,43.4,4,0.5
3295.277,28.6,50.8,990.0,False,43.4,116,0.9
3355.289,28.8,50.4,989.9,False,43.5,169,1.1
3415.304,28.8,50.5,989.8,False,43.5,111,2.3
3475.317,28.7,51.1,989.9,False,43.8,76,0.9
3535.332,28.7,50.5,989.8,False,44.3,184,2.7
3595.393,28.5,51.6,989.8,False,43.4,359,0.8
3655.355,28.5,50.6,989.8,False,43.4,6,2.3
3715.371,28.4,51.5,989.9,False,43.9,85,1.7
3775.384,28.4,51.1,989.7,False,44.4,81,2.0
3835.397,28.5,50.9,989.8,False,44.6,153,1.4
3895.414,28.8,49.9,989.8,False,44.5,156,2.3
3955.425,28.8,50.0,989.7,False,44.1,132,1.3
4015.439,28.6,49.7,989.7,False,43.9,128,2.3
4075.448,28.4,50.4,989.7,False,43.8,249,0.9
4135.464,28.5,49.9,989.6,False,43.9,17,2.1
4195.479,28.3,50.8,989.5,False,44.2,343,2.4
4255.49,28.2,51.1,989.6,False,44.3,51,1.8
4315.55,28.3,50.6,989.5,False,44.3,314,1.2
4375.519,28.4,51.0,989.6,False,44.2,4,1.1
4435.533,28.7,50.1,989.5,False,44.6,68,1.4
4495.545,28.7,49.7,989.5,False,44.5,14,2.0
4555.56,28.7,49.8,989.6,False,45.0,138,1.6
4615.575,28.7,50.0,989.6,False,45.2,111,2.0
4675.589,28.7,49.5,989.5,False,45.2,59,0.7
