Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
38.119,21.0,87.9,991.1,True,26.4,288,0.8
98.132,20.9,89.2,991.1,True,26.2,282,0.6
158.145,21.0,88.6,991.1,True,25.9,174,0.5
218.158,21.0,88.6,991.2,True,26.0,168,0.0
278.172,21.0,88.2,991.0,True,26.0,0,1.3
338.183,21.0,88.4,991.1,True,25.9,109,0.5
398.194,21.1,88.3,991.1,True,26.2,79,0.7
458.214,21.3,88.8,991.1,True,26.4,89,0.7
518.221,21.3,88.1,991.2,True,26.4,151,0.7
578.233,21.2,87.6,991.0,True,26.4,0,0.3
638.245,21.3,88.2,991.1,True,25.9,154,0.6
698.258,21.2,87.4,991.1,True,25.9,111,0.6
758.28,21.1,88.7,991.2,True,25.9,147,0.8
818.285,21.1,87.7,991.2,True,25.9,81,0.6
878.298,21.2,88.3,991.1,True,25.9,120,0.8
938.311,21.2,88.5,991.0,True,26.1,0,0.5
998.336,21.0,87.4,991.1,True,26.1,0,0.4
1058.357,21.0,88.6,991.1,True,25.8,109,0.5
1118.349,21.2,88.0,991.1,True,25.8,112,0.6
1178.361,21.2,88.1,991.1,True,26.0,0,0.6
1238.393,21.0,88.2,991.1,True,25.8,98,0.4
1298.389,21.0,88.2,991.1,True,26.0,90,1.0
1358.401,21.0,88.2,991.1,True,26.0,90,1.0
1418.415,21.0,88.2,991.1,True,26.0,90,1.0
1478.437,21.0,88.2,991.1,True,26.0,90,1.0
1538.438,21.0,88.2,991.1,True,26.0,90,1.0
1598.453,21.1,89.0,991.1,True,25.9,0,0.7
1658.465,21.1,89.5,991.3,True,26.0,114,0.6
1718.478,21.3,90.3,991.2,True,26.3,172,0.6
1778.491,21.5,89.7,991.2,True,26.5,160,0.8
1838.503,21.5,89.6,991.2,True,26.5,149,0.7
1898.516,21.4,89.7,991.3,True,26.4,94,0.9
1958.53,21.3,89.4,991.2,True,26.4,144,0.8
2018.543,21.4,90.3,991.3,True,26.4,160,0.5
2078.556,21.4,90.0,991.2,True,26.6,148,0.9
2138.569,21.2,89.1,991.2,True,26.4,162,1.1
2198.582,21.2,89.3,991.3,True,26.4,0,0.4
2258.597,21.1,88.9,991.3,True,26.3,148,0.6
2318.612,21.2,88.3,991.3,True,26.3,121,0.7
2378.625,21.1,88.1,991.3,True,26.2,168,0.4
2438.644,21.1,88.2,991.4,True,26.2,201,1.1
2498.654,21.0,87.6,991.3,True,26.1,209,0.4
2558.676,21.1,88.7,991.3,True,26.1,119,0.4
2618.684,21.2,88.0,991.4,True,26.4,164,1.0
2678.697,21.3,88.5,991.4,True,26.4,137,1.4
2738.713,21.3,88.5,991.4,True,26.4,137,1.4
2798.725,21.2,88.3,991.4,True,26.1,117,1.0
2858.737,21.4,88.2,991.4,True,26.2,126,1.3
2918.753,21.5,88.5,991.3,True,26.4,158,2.2
2978.765,21.6,86.9,991.5,True,26.6,323,0.7
3038.785,21.4,87.1,991.4,True,26.2,185,1.0
3098.799,21.5,88.4,991.5,True,26.1,185,0.7
3158.809,21.7,88.3,991.4,True,26.2,266,0.6
3218.825,21.7,87.0,991.4,True,26.2,3,0.6
3278.838,21.5,88.1,991.5,True,26.1,112,0.9
3338.852,21.6,88.3,991.5,True,26.3,0,0.4
3398.867,21.6,87.5,991.5,True,26.4,2,0.4
3458.88,21.6,88.0,991.4,True,26.4,67,0.8
3518.903,21.3,86.8,991.5,True,26.0,194,0.7
3578.909,21.4,87.7,991.6,True,26.0,89,1.3
3638.923,21.4,87.8,991.5,True,26.2,170,0.4
3698.936,21.4,87.1,991.6,True,26.2,176,1.1
3758.952,21.6,88.0,991.6,True,26.2,358,1.3
3818.971,21.4,86.9,991.5,True,26.3,246,1.2
3878.981,21.4,87.5,991.6,True,26.1,65,0.6
3938.994,21.6,87.5,991.6,True,25.9,0,1.1
3999.008,21.5,87.3,991.6,True,26.1,9,0.6
4059.023,21.4,86.9,991.7,True,26.2,188,0.9
4119.036,21.3,86.6,991.6,True,26.2,183,0.7
4179.048,21.3,87.3,991.6,True,25.9,27,0.9
4239.062,21.3,87.5,991.7,True,25.9,299,1.0
4299.075,21.4,87.0,991.6,True,26.1,72,0.7
4359.089,21.4,87.4,991.7,True,26.3,175,0.5
4419.103,21.7,88.1,991.6,True,26.5,205,1.0
4479.225,21.7,87.4,991.6,True,26.5,45,1.2
4539.13,21.7,87.5,991.7,True,26.4,0,0.9
4599.146,21.9,88.3,991.7,True,26.5,285,0.6
