Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
1793.306,RIC,3,,1.0,1.0,1645.285,,,63.996,37.996,,1755.31,1793.421,286.0,165.0,228.0,228.0,False,MEDIUM,1.0,True,Renault,1645.285,2019-08-30 13:12:26.812,1,,False,,False,False
1899.846,RIC,3,106.54,2.0,1.0,,,30.691,46.867,28.982,1823.997,1870.864,1899.846,334.0,197.0,224.0,312.0,True,MEDIUM,2.0,True,Renault,1793.306,2019-08-30 13:14:54.833,1,,False,,False,True
2057.285,RIC,3,,3.0,1.0,,,44.547,68.862,44.062,1944.396,2013.238,2057.651,253.0,153.0,226.0,199.0,False,MEDIUM,3.0,True,Renault,1899.846,2019-08-30 13:16:41.373,1,,False,,False,False
2164.708,RIC,3,107.423,4.0,1.0,,,30.945,47.363,29.115,2088.23,2135.593,2164.708,334.0,192.0,224.0,313.0,False,MEDIUM,4.0,True,Renault,2057.285,2019-08-30 13:19:18.812,1,,False,,False,True
2300.419,RIC,3,135.711,5.0,1.0,,,35.738,58.537,41.436,2200.446,2258.983,2300.419,286.0,156.0,227.0,236.0,False,MEDIUM,5.0,True,Renault,2164.708,2019-08-30 13:21:06.235,1,,False,,False,True
2407.312,RIC,3,106.893,6.0,1.0,,,30.775,47.169,28.949,2331.194,2378.363,2407.312,331.0,203.0,222.0,310.0,False,MEDIUM,6.0,True,Renault,2300.419,2019-08-30 13:23:21.946,1,,False,,False,True
2541.064,RIC,3,133.752,7.0,1.0,,2537.331,40.532,56.991,36.229,2447.844,2504.835,2541.064,185.0,182.0,,212.0,False,MEDIUM,7.0,True,Renault,2407.312,2019-08-30 13:25:08.839,1,,False,,False,False
3641.086,RIC,3,,8.0,2.0,3504.787,,,66.561,37.291,,3605.671,3643.11,286.0,149.0,230.0,204.0,False,SOFT,1.0,True,Renault,2541.064,2019-08-30 13:27:22.591,1,,False,,False,False
3746.821,RIC,3,105.735,9.0,2.0,,,30.727,46.129,28.879,3671.813,3717.942,3746.821,328.0,205.0,225.0,312.0,True,SOFT,2.0,True,Renault,3641.086,2019-08-30 13:45:42.613,1,,False,,False,True
3888.072,RIC,3,141.251,10.0,2.0,,3884.315,39.634,61.544,40.073,3786.455,3847.999,3888.072,279.0,167.0,,175.0,False,SOFT,3.0,True,Renault,3746.821,2019-08-30 13:47:28.348,1,,False,,False,False
4446.94,RIC,3,,11.0,3.0,4323.575,,,50.031,29.882,,4417.081,4447.064,316.0,192.0,220.0,302.0,False,SOFT,4.0,False,Renault,3888.072,2019-08-30 13:49:49.599,1,,False,,False,False
4557.527,RIC,3,110.587,12.0,3.0,,,31.563,49.368,29.656,4478.503,4527.871,4557.527,308.0,196.0,219.0,309.0,False,SOFT,5.0,False,Renault,4446.94,2019-08-30 13:59:08.467,1,,False,,False,True
4668.31,RIC,3,110.783,13.0,3.0,,,31.548,49.549,29.686,4589.075,4638.624,4668.31,309.0,198.0,218.0,310.0,False,SOFT,6.0,False,Renault,4557.527,2019-08-30 14:00:59.054,1,,False,,False,True
4779.233,RIC,3,110.923,14.0,3.0,,,31.526,49.663,29.734,4699.836,4749.499,4779.233,,193.0,216.0,,False,SOFT,7.0,False,Renault,4668.31,2019-08-30 14:02:49.837,1,,False,,False,True
4890.373,RIC,3,111.14,15.0,3.0,,,31.675,49.644,29.821,4810.908,4860.552,4890.373,,193.0,218.0,,False,SOFT,8.0,False,Renault,4779.233,2019-08-30 14:04:40.760,1,,False,,False,True
5002.067,RIC,3,111.694,16.0,3.0,,,31.567,49.651,30.476,4921.94,4971.591,5002.067,310.0,195.0,216.0,,False,SOFT,9.0,False,Renault,4890.373,2019-08-30 14:06:31.900,1,,False,,False,True
5113.668,RIC,3,111.601,17.0,3.0,,,31.749,49.8,30.052,5033.816,5083.616,5113.668,308.0,192.0,212.0,309.0,False,SOFT,10.0,False,Renault,5002.067,2019-08-30 14:08:23.594,1,,False,,False,True
5225.48,RIC,3,111.812,18.0,3.0,,,31.834,49.914,30.064,5145.502,5195.416,5225.48,309.0,187.0,214.0,308.0,False,SOFT,11.0,False,Renault,5113.668,2019-08-30 14:10:15.195,1,,False,,False,True
