Time,Category,Message,Status,Flag,Scope,Sector,RacingNumber,Lap
2019-08-31 10:00:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,
2019-08-31 10:31:19,Flag,YELLOW IN TRACK SECTOR 13,,YELLOW,Sector,13.0,,
2019-08-31 10:31:25,Flag,DOUBLE YELLOW IN TRACK SECTOR 13,,DOUBLE YELLOW,Sector,13.0,,
2019-08-31 10:31:39,Flag,RED FLAG,,RED,Track,,,
2019-08-31 10:31:39,Flag,CLEAR IN TRACK SECTOR 13,,CLEAR,Sector,13.0,,
2019-08-31 10:32:10,Other,MEDICAL CAR DEPLOYED,,,,,,
2019-08-31 10:39:22,Other,BARRIER INSPECTION IN PROGRESS,,,,,,
2019-08-31 10:44:17,Other,SESSION WILL RE-START AT 12:47,,,,,,
2019-08-31 10:46:00,Flag,TRACK CLEAR,,CLEAR,Track,,,
2019-08-31 10:46:03,Drs,DRS ENABLED,ENABLED,,,,,
2019-08-31 10:47:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,
2019-08-31 11:00:00,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,,
2019-08-31 11:04:38,Flag,YELLOW IN TRACK SECTOR 6,,YELLOW,Sector,6.0,,
2019-08-31 11:04:40,Flag,CLEAR IN TRACK SECTOR 6,,CLEAR,Sector,6.0,,
2019-08-31 11:11:34,Flag,YELLOW IN TRACK SECTOR 6,,YELLOW,Sector,6.0,,
2019-08-31 11:11:39,Flag,CLEAR IN TRACK SECTOR 6,,CLEAR,Sector,6.0,,
