Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
1828.474,GAS,10,,1.0,1.0,1141.643,1294.787,,,,,,,290.0,,,249.0,False,SOFT,1.0,True,Toro Rosso,1141.643,2019-08-31 13:04:01.857,15,,False,,False,False
1991.386,GAS,10,,2.0,2.0,1828.474,,,65.83,62.289,,1929.186,1991.694,297.0,142.0,219.0,228.0,False,SOFT,1.0,True,Toro Rosso,1828.474,2019-08-31 13:15:28.688,1,,False,,False,False
2097.821,GAS,10,106.435,3.0,2.0,,,31.305,45.661,29.469,2022.691,2068.352,2097.821,330.0,203.0,223.0,306.0,True,SOFT,2.0,True,Toro Rosso,1991.386,2019-08-31 13:18:11.600,1,,False,,False,True
2224.742,GAS,10,126.921,4.0,2.0,,2221.028,35.286,54.776,36.859,2133.107,2187.883,2224.742,271.0,187.0,,244.0,False,SOFT,3.0,True,Toro Rosso,2097.821,2019-08-31 13:19:58.035,1,,False,,False,False
2555.364,GAS,10,,5.0,3.0,2403.624,2555.364,,63.299,,,2499.766,,303.0,156.0,,223.0,False,SOFT,1.0,True,Toro Rosso,2224.742,2019-08-31 13:22:04.956,125,,False,,False,False
1813.872,PER,11,,1.0,1.0,1184.184,1346.298,,,,,,,,,,,False,SOFT,1.0,True,Racing Point,1184.184,2019-08-31 13:04:44.398,15,,False,,False,False
1958.173,PER,11,,2.0,2.0,1813.872,,,61.632,52.017,,1906.239,1958.42,274.0,136.0,230.0,257.0,False,SOFT,2.0,False,Racing Point,1813.872,2019-08-31 13:15:14.086,1,,False,,False,False
2063.905,PER,11,105.732,3.0,2.0,,,30.775,46.266,28.691,1988.948,2035.214,2063.905,337.0,208.0,225.0,311.0,True,SOFT,3.0,False,Racing Point,1958.173,2019-08-31 13:17:38.387,1,,False,,False,True
2192.134,PER,11,128.229,4.0,2.0,,2188.393,35.912,52.401,39.916,2099.817,2152.218,2192.134,290.0,182.0,,258.0,False,SOFT,4.0,False,Racing Point,2063.905,2019-08-31 13:19:24.119,1,,False,,False,False
2536.258,PER,11,,5.0,3.0,2389.288,,,63.592,50.298,,2485.96,2536.394,285.0,138.0,229.0,207.0,False,SOFT,1.0,True,Racing Point,2192.134,2019-08-31 13:21:32.348,12,,False,,False,False
3192.945,PER,11,,6.0,3.0,,2693.781,,,,,,,,,,,False,SOFT,2.0,True,Racing Point,2536.258,2019-08-31 13:27:16.472,251,,False,,False,False
3337.172,PER,11,,7.0,4.0,3192.945,,,69.334,40.239,,3296.933,3337.212,244.0,134.0,231.0,197.0,False,SOFT,1.0,True,Racing Point,3192.945,2019-08-31 13:38:13.159,1,,False,,False,False
3441.879,PER,11,104.707,8.0,4.0,,,30.48,45.541,28.686,3367.652,3413.193,3441.879,334.0,204.0,226.0,313.0,True,SOFT,2.0,True,Racing Point,3337.172,2019-08-31 13:40:37.386,1,,False,,False,True
3575.226,PER,11,133.347,9.0,4.0,,3571.272,35.994,57.296,40.057,3477.873,3535.169,3575.226,273.0,178.0,,239.0,False,SOFT,3.0,True,Racing Point,3441.879,2019-08-31 13:42:22.093,1,,False,,False,False
3963.544,PER,11,,10.0,5.0,3827.062,,,64.011,38.929,,3924.639,3963.592,270.0,148.0,230.0,194.0,False,SOFT,1.0,True,Racing Point,3575.226,2019-08-31 13:44:35.440,1,,False,,False,False
4068.334,PER,11,104.79,11.0,5.0,,,30.521,45.591,28.678,3994.065,4039.656,4068.334,337.0,202.0,225.0,314.0,False,SOFT,2.0,True,Racing Point,3963.544,2019-08-31 13:51:03.758,1,,False,,False,True
