Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
10.093,28.8,38.9,964.8,False,41.5,151,1.9
70.106,29.0,38.8,964.7,False,41.4,151,2.5
130.119,29.1,36.4,964.8,False,41.7,146,3.2
190.131,28.9,37.1,964.7,False,41.4,154,2.9
250.144,29.0,37.2,964.7,False,41.5,163,2.9
310.157,29.0,36.2,964.8,False,41.5,172,3.9
370.169,28.9,36.3,964.7,False,41.5,164,3.5
430.181,29.0,36.8,964.7,False,41.2,146,2.4
490.21,28.9,36.8,964.7,False,41.2,157,2.4
550.207,28.8,36.8,964.8,False,41.5,216,4.3
610.219,28.9,37.6,964.6,False,41.5,207,2.4
670.248,29.0,37.4,964.7,False,41.5,151,1.5
730.26,29.0,37.2,964.7,False,41.4,142,3.8
790.273,28.9,37.4,964.7,False,41.3,167,2.8
850.285,29.0,37.0,964.6,False,41.4,149,2.4
910.298,28.9,37.4,964.6,False,41.4,168,2.1
970.31,28.9,38.3,964.5,False,41.7,164,2.6
1030.324,29.1,37.4,964.6,False,41.8,166,2.8
1090.336,29.1,37.2,964.5,False,42.0,142,2.8
1150.348,28.9,37.8,964.5,False,41.4,157,2.5
1210.361,29.0,38.8,964.4,False,41.4,169,2.3
1270.373,29.1,38.4,964.4,False,41.4,169,2.8
1330.386,29.2,36.4,964.4,False,41.6,145,2.9
1390.399,29.0,38.0,964.3,False,41.6,134,2.6
1450.411,29.2,37.8,964.4,False,41.6,162,3.1
1510.424,29.3,36.9,964.2,False,41.7,148,3.4
1570.437,29.3,37.2,964.3,False,41.7,150,4.3
1630.449,29.4,37.1,964.3,False,41.8,151,3.3
1690.478,29.4,36.8,964.3,False,41.9,161,4.0
1750.49,29.2,37.2,964.3,False,41.7,171,3.3
1810.503,29.2,36.0,964.2,False,41.5,149,4.1
1870.515,29.2,36.1,964.2,False,41.4,166,3.3
1930.528,29.2,36.4,964.3,False,41.4,168,3.4
1990.54,29.0,36.9,964.3,False,41.3,182,2.9
2050.553,29.0,36.6,964.3,False,41.4,170,2.8
2110.566,29.1,35.5,964.1,False,41.4,171,3.0
2170.578,29.4,35.6,964.2,False,41.5,174,3.6
2230.591,29.5,35.8,964.2,False,42.0,149,3.5
2290.603,29.4,34.5,964.1,False,42.0,155,3.8
2350.616,29.2,35.2,964.1,False,41.6,189,3.7
2410.628,29.1,35.9,964.2,False,41.4,159,2.3
2470.641,29.3,35.6,964.1,False,41.5,163,3.0
2530.653,29.1,35.5,964.1,False,41.7,143,1.9
2590.666,29.2,36.7,964.1,False,41.5,175,1.2
2650.694,29.4,35.8,964.2,False,41.7,172,1.8
2710.707,29.5,35.7,964.2,False,41.7,155,2.7
2770.719,29.6,35.4,964.2,False,41.7,170,2.1
2830.732,29.4,36.0,964.1,False,41.7,180,2.6
2890.744,29.3,36.3,964.1,False,41.3,165,2.1
2950.757,29.4,36.3,964.0,False,41.7,164,2.8
3010.77,29.5,36.2,964.0,False,41.7,168,2.7
3070.782,29.4,35.9,963.9,False,41.6,169,3.2
3130.795,29.4,36.6,964.0,False,41.6,162,3.4
3190.807,29.5,35.2,964.0,False,41.6,161,3.4
3250.82,29.4,36.3,964.0,False,41.6,165,3.1
3310.833,29.3,36.0,963.9,False,41.4,148,2.6
3370.845,29.4,35.2,964.0,False,41.4,144,2.6
3430.858,29.3,35.4,963.9,False,41.3,163,2.5
3490.87,29.2,35.5,964.0,False,41.1,176,1.9
3550.883,29.4,36.1,964.1,False,41.3,166,3.6
3610.911,29.4,35.1,963.9,False,41.3,171,4.1
3670.971,29.5,35.7,964.0,False,41.1,182,3.2
3730.936,29.5,35.5,964.0,False,41.1,175,2.3
3790.948,29.6,35.6,963.9,False,41.4,167,1.4
3850.961,29.6,36.0,963.9,False,41.4,156,2.2
3910.974,29.6,35.4,963.9,False,41.3,169,2.0
3970.986,29.7,35.4,964.0,False,41.0,166,3.3
4030.999,29.5,35.5,964.0,False,40.9,122,2.0
4091.012,29.4,35.4,963.8,False,40.6,175,3.0
4151.024,29.2,35.8,963.8,False,40.5,169,2.9
4211.037,29.2,35.7,963.8,False,40.7,162,2.3
4271.049,29.2,35.9,963.9,False,40.9,135,2.0
4331.062,29.4,36.7,963.8,False,40.9,169,1.4
4391.074,29.4,35.7,963.8,False,40.9,187,2.4
4451.103,29.4,35.7,963.8,False,40.7,170,2.0
4511.115,29.3,36.0,963.9,False,40.5,187,2.9
4571.112,29.1,36.5,963.8,False,40.2,234,2.1
4631.14,29.1,36.8,963.8,False,40.2,132,2.5
4691.152,29.2,37.2,963.7,False,40.8,165,2.1
4751.165,29.2,36.3,963.7,False,40.8,189,3.1
4811.178,29.2,36.6,963.7,False,40.8,151,3.0
4871.19,29.2,36.7,963.7,False,40.3,161,3.1
4931.203,29.1,37.3,963.6,False,40.4,152,3.8
4991.216,29.2,36.6,963.7,False,40.8,247,2.2
5051.228,29.4,36.8,963.6,False,40.8,164,1.6
5111.241,29.5,36.3,963.5,False,40.9,120,2.9
5171.253,29.4,37.2,963.6,False,41.0,161,2.2
5231.265,29.4,37.6,963.6,False,40.0,164,3.0
5291.278,29.4,37.6,963.5,False,40.0,148,3.5
5351.291,29.4,37.4,963.5,False,40.2,165,3.3
5411.303,29.4,37.2,963.5,False,40.3,158,3.3
5471.316,29.3,37.3,963.4,False,40.5,144,3.4
