Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
2159.391,GAS,10,152.56,1.0,1.0,,,,73.37,41.947,,2117.621,2159.993,303.0,167.0,180.0,279.0,False,SOFT,1.0,True,Toro Rosso,2006.693,2019-09-01 13:13:26.907,124,9.0,False,,False,False
2337.094,GAS,10,,2.0,1.0,,,62.961,73.159,41.609,2222.503,2295.679,2337.376,242.0,122.0,203.0,89.0,False,SOFT,2.0,True,Toro Rosso,2159.391,2019-09-01 13:15:59.605,4,9.0,False,,False,False
2516.109,GAS,10,,3.0,1.0,,,54.315,69.692,54.984,2391.699,2461.302,2516.339,237.0,157.0,159.0,177.0,False,SOFT,3.0,True,Toro Rosso,2337.094,2019-09-01 13:18:57.308,4,9.0,False,,False,False
2683.758,GAS,10,,4.0,1.0,,,44.212,72.377,51.156,2560.421,2632.788,2685.886,280.0,131.0,218.0,275.0,False,SOFT,4.0,True,Toro Rosso,2516.109,2019-09-01 13:21:56.323,41,9.0,False,,False,False
2797.579,GAS,10,113.821,5.0,1.0,,,31.625,51.972,30.224,2715.56,2767.532,2797.756,325.0,196.0,218.0,312.0,True,SOFT,5.0,True,Toro Rosso,2683.758,2019-09-01 13:24:43.972,1,9.0,False,,False,True
2910.054,GAS,10,112.475,6.0,1.0,,,31.545,51.077,29.853,2829.301,2880.378,2910.231,314.0,194.0,216.0,313.0,True,SOFT,6.0,True,Toro Rosso,2797.579,2019-09-01 13:26:37.793,1,9.0,False,,False,True
3022.562,GAS,10,112.508,7.0,1.0,,,31.583,50.96,29.965,2941.814,2992.774,3022.739,327.0,196.0,217.0,309.0,False,SOFT,7.0,True,Toro Rosso,2910.054,2019-09-01 13:28:30.268,1,9.0,False,,False,True
3134.717,GAS,10,112.155,8.0,1.0,,,31.262,51.038,29.855,3054.001,3105.039,3134.894,331.0,196.0,218.0,311.0,True,SOFT,8.0,True,Toro Rosso,3022.562,2019-09-01 13:30:22.776,1,9.0,False,,False,True
3246.435,GAS,10,111.718,9.0,1.0,,,31.374,50.493,29.851,3166.268,3216.761,3246.612,327.0,196.0,218.0,309.0,True,SOFT,9.0,True,Toro Rosso,3134.717,2019-09-01 13:32:14.931,1,9.0,False,,False,True
3358.838,GAS,10,112.403,10.0,1.0,,,31.356,51.011,30.036,3277.968,3328.979,3359.015,330.0,193.0,218.0,311.0,False,SOFT,10.0,True,Toro Rosso,3246.435,2019-09-01 13:34:06.649,1,9.0,False,,False,True
3469.454,GAS,10,110.616,11.0,1.0,,,31.122,49.555,29.939,3390.137,3439.692,3469.631,340.0,198.0,216.0,313.0,True,SOFT,11.0,True,Toro Rosso,3358.838,2019-09-01 13:35:59.052,1,8.0,False,,False,True
3580.246,GAS,10,110.792,12.0,1.0,,,31.977,48.877,29.938,3501.608,3550.485,3580.423,302.0,200.0,216.0,305.0,False,SOFT,12.0,True,Toro Rosso,3469.454,2019-09-01 13:37:49.668,1,8.0,False,,False,True
3695.134,GAS,10,114.888,13.0,1.0,,3691.631,31.956,48.808,34.124,3612.379,3661.187,3695.311,305.0,195.0,,,False,SOFT,13.0,True,Toro Rosso,3580.246,2019-09-01 13:39:40.460,1,9.0,False,,False,False
3818.138,GAS,10,123.004,14.0,2.0,3714.707,,45.339,48.273,29.392,3740.65,3788.923,3818.315,339.0,203.0,219.0,307.0,False,MEDIUM,1.0,True,Toro Rosso,3695.134,2019-09-01 13:41:35.348,1,16.0,False,,False,False
3928.145,GAS,10,110.007,15.0,2.0,,,31.525,49.146,29.336,3849.84,3898.986,3928.322,310.0,193.0,220.0,308.0,True,MEDIUM,2.0,True,Toro Rosso,3818.138,2019-09-01 13:43:38.352,1,14.0,False,,False,True
4039.609,GAS,10,111.464,16.0,2.0,,,30.907,50.914,29.643,3959.229,4010.143,4039.786,337.0,195.0,222.0,317.0,False,MEDIUM,3.0,True,Toro Rosso,3928.145,2019-09-01 13:45:28.359,1,14.0,False,,False,True
4151.11,GAS,10,111.501,17.0,2.0,,,31.227,50.552,29.722,4071.013,4121.565,4151.287,,201.0,219.0,301.0,False,MEDIUM,4.0,True,Toro Rosso,4039.609,2019-09-01 13:47:19.823,1,13.0,False,,False,True
4262.64,GAS,10,111.53,18.0,2.0,,,31.577,50.305,29.648,4182.864,4233.169,4262.817,317.0,193.0,223.0,309.0,False,MEDIUM,5.0,True,Toro Rosso,4151.11,2019-09-01 13:49:11.324,1,12.0,False,,False,True
4373.691,GAS,10,111.051,19.0,2.0,,,31.747,49.58,29.724,4294.564,4344.144,4373.868,306.0,202.0,218.0,306.0,False,MEDIUM,6.0,True,Toro Rosso,4262.64,2019-09-01 13:51:02.854,1,12.0,False,,False,True
4483.46,GAS,10,109.769,20.0,2.0,,,31.81,48.298,29.661,4405.678,4453.976,4483.637,304.0,201.0,219.0,307.0,True,MEDIUM,7.0,True,Toro Rosso,4373.691,2019-09-01 13:52:53.905,1,12.0,False,,False,True
4593.16,GAS,10,109.7,21.0,2.0,,,31.774,48.222,29.704,4515.411,4563.633,4593.337,,200.0,218.0,308.0,True,MEDIUM,8.0,True,Toro Rosso,4483.46,2019-09-01 13:54:43.674,1,12.0,False,,False,True
4702.996,GAS,10,109.836,22.0,2.0,,,31.766,48.214,29.856,4625.103,4673.317,4703.173,305.0,198.0,218.0,305.0,False,MEDIUM,9.0,True,Toro Rosso,4593.16,2019-09-01 13:56:33.374,1,12.0,False,,False,True
4812.883,GAS,10,109.887,23.0,2.0,,,31.75,48.459,29.678,4734.923,4783.382,4813.06,310.0,196.0,219.0,,False,MEDIUM,10.0,True,Toro Rosso,4702.996,2019-09-01 13:58:23.210,1,12.0,False,,False,True
4924.284,GAS,10,111.401,24.0,2.0,,,31.653,49.97,29.778,4844.713,4894.683,4924.461,312.0,198.0,217.0,308.0,False,MEDIUM,11.0,True,Toro Rosso,4812.883,2019-09-01 14:00:13.097,1,11.0,False,,False,True
5034.523,GAS,10,110.239,25.0,2.0,,,31.735,48.994,29.51,4956.196,5005.19,5034.7,308.0,198.0,220.0,,False,MEDIUM,12.0,True,Toro Rosso,4924.284,2019-09-01 14:02:04.498,1,10.0,False,,False,True
5144.639,GAS,10,110.116,26.0,2.0,,,31.491,49.01,29.615,5066.191,5115.201,5144.816,311.0,199.0,222.0,312.0,False,MEDIUM,13.0,True,Toro Rosso,5034.523,2019-09-01 14:03:54.737,1,10.0,False,,False,True
5255.208,GAS,10,110.569,27.0,2.0,,,31.156,49.746,29.667,5175.972,5225.718,5255.385,333.0,198.0,223.0,309.0,False,MEDIUM,14.0,True,Toro Rosso,5144.639,2019-09-01 14:05:44.853,1,10.0,False,,False,True
5365.905,GAS,10,110.697,28.0,2.0,,,31.09,49.979,29.628,5286.475,5336.454,5366.082,340.0,200.0,223.0,312.0,False,MEDIUM,15.0,True,Toro Rosso,5255.208,2019-09-01 14:07:35.422,1,10.0,False,,False,True
5476.515,GAS,10,110.61,29.0,2.0,,,31.068,49.816,29.726,5397.15,5446.966,5476.692,335.0,194.0,223.0,314.0,False,MEDIUM,16.0,True,Toro Rosso,5365.905,2019-09-01 14:09:26.119,1,10.0,False,,False,True
5587.425,GAS,10,110.91,30.0,2.0,,,31.15,50.056,29.704,5507.842,5557.898,5587.602,334.0,195.0,222.0,312.0,False,MEDIUM,17.0,True,Toro Rosso,5476.515,2019-09-01 14:11:16.729,1,9.0,False,,False,True
5699.364,GAS,10,111.939,31.0,2.0,,,31.522,50.47,29.947,5619.124,5669.594,5699.541,319.0,200.0,222.0,314.0,False,MEDIUM,18.0,True,Toro Rosso,5587.425,2019-09-01 14:13:07.639,1,10.0,False,,False,True
5810.781,GAS,10,111.417,32.0,2.0,,,31.42,50.304,29.693,5730.961,5781.265,5810.958,318.0,200.0,221.0,311.0,False,MEDIUM,19.0,True,Toro Rosso,5699.364,2019-09-01 14:14:59.578,1,11.0,False,,False,True
5921.901,GAS,10,111.12,33.0,2.0,,,31.397,49.749,29.974,5842.355,5892.104,5922.078,,194.0,221.0,310.0,False,MEDIUM,20.0,True,Toro Rosso,5810.781,2019-09-01 14:16:50.995,1,11.0,False,,False,True
6032.421,GAS,10,110.52,34.0,2.0,,,30.847,49.909,29.764,5952.925,6002.834,6032.598,340.0,191.0,220.0,320.0,False,MEDIUM,21.0,True,Toro Rosso,5921.901,2019-09-01 14:18:42.115,1,10.0,False,,False,True
6143.476,GAS,10,111.055,35.0,2.0,,,31.0,50.379,29.676,6063.598,6113.977,6143.653,344.0,196.0,222.0,315.0,False,MEDIUM,22.0,True,Toro Rosso,6032.421,2019-09-01 14:20:32.635,1,10.0,False,,False,True
6254.688,GAS,10,111.212,36.0,2.0,,,31.13,50.239,29.843,6174.783,6225.022,6254.865,338.0,196.0,221.0,,False,MEDIUM,23.0,True,Toro Rosso,6143.476,2019-09-01 14:22:23.690,1,10.0,False,,False,True
