Time,Category,Message,Status,Flag,Scope,Sector,RacingNumber,Lap
2019-09-21 09:45:09,Other,RISK OF RAIN FOR F1 THIRD PRACTICE SESSION IS 0%,,,,,,
2019-09-21 09:46:13,Other,BLUE HEAD PADDING MATERIAL MUST BE USED,,,,,,
2019-09-21 10:00:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,
2019-09-21 10:28:06,Flag,YELLOW IN TRACK SECTOR 17,,YELLOW,Sector,17.0,,
2019-09-21 10:28:52,SafetyCar,VIRTUAL SAFETY CAR DEPLOYED,DEPLOYED,,,,,
2019-09-21 10:29:28,Other,DEBRIS AT EXIT OF TURN 21,,,,,,
2019-09-21 10:31:24,Flag,RED FLAG,,RED,Track,,,
2019-09-21 10:31:24,Flag,CLEAR IN TRACK SECTOR 17,,CLEAR,Sector,17.0,,
2019-09-21 10:36:02,Other,SESSION WILL RE-START AT 18:38,,,,,,
2019-09-21 10:37:00,Flag,TRACK CLEAR,,CLEAR,Track,,,
2019-09-21 10:37:02,Drs,DRS ENABLED,ENABLED,,,,,
2019-09-21 10:38:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,
2019-09-21 10:47:42,CarEvent,CAR 44 (HAM) SPUN AND CONTINUED AT TURN 3,,,,,44,
2019-09-21 10:58:33,Flag,DOUBLE YELLOW IN TRACK SECTOR 8,,DOUBLE YELLOW,Sector,8.0,,
2019-09-21 10:58:40,Flag,CLEAR IN TRACK SECTOR 8,,CLEAR,Sector,8.0,,
2019-09-21 10:58:50,CarEvent,CAR 23 (ALB) OFF TRACK AND CONTINUED AT TURN 9,,,,,23,
2019-09-21 11:00:00,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,,
