Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
1167.939,LEC,16,,1.0,1.0,1026.891,,,50.436,52.841,,1115.186,1168.319,267.0,253.0,259.0,,False,SOFT,1.0,True,Ferrari,1026.891,2019-09-21 13:02:07.995,1,,False,,False,False
1265.953,LEC,16,98.014,2.0,1.0,,,26.697,37.825,33.492,1194.636,1232.461,1265.953,317.0,287.0,263.0,306.0,True,SOFT,2.0,True,Ferrari,1167.939,2019-09-21 13:04:29.043,1,,False,,False,True
1414.328,LEC,16,148.375,3.0,1.0,,,40.921,58.894,48.56,1306.874,1365.768,1414.328,209.0,231.0,257.0,238.0,False,SOFT,3.0,True,Ferrari,1265.953,2019-09-21 13:06:07.057,1,,False,,False,True
1512.838,LEC,16,98.51,4.0,1.0,,,26.816,37.978,33.716,1441.144,1479.122,1512.838,316.0,286.0,260.0,304.0,False,SOFT,4.0,True,Ferrari,1414.328,2019-09-21 13:08:35.432,1,,False,,False,True
1637.466,LEC,16,124.628,5.0,1.0,,1629.622,32.189,45.896,46.543,1545.027,1590.923,1637.466,266.0,246.0,,256.0,False,SOFT,5.0,True,Ferrari,1512.838,2019-09-21 13:10:13.942,1,,False,,False,False
2608.937,LEC,16,,6.0,2.0,2485.133,,,47.113,42.505,,2566.47,2609.136,286.0,259.0,262.0,,False,SOFT,1.0,True,Ferrari,1637.466,2019-09-21 13:12:18.570,1,,False,,False,False
2705.867,LEC,16,96.93,7.0,2.0,,,26.426,37.397,33.107,2635.363,2672.76,2705.867,318.0,288.0,267.0,306.0,True,SOFT,2.0,True,Ferrari,2608.937,2019-09-21 13:28:30.041,1,,False,,False,True
2833.679,LEC,16,127.812,8.0,2.0,,2825.786,34.764,45.625,47.423,2740.631,2786.256,2833.679,264.0,242.0,,242.0,False,SOFT,3.0,True,Ferrari,2705.867,2019-09-21 13:30:06.971,1,,False,,False,False
3226.782,LEC,16,,9.0,3.0,3091.046,,,48.338,54.109,,3172.805,3227.154,288.0,209.0,263.0,,False,SOFT,1.0,True,Ferrari,2833.679,2019-09-21 13:32:14.783,1,,False,,False,False
3323.432,LEC,16,96.65,10.0,3.0,,,26.497,37.244,32.909,3253.279,3290.523,3323.432,318.0,288.0,265.0,308.0,True,SOFT,2.0,True,Ferrari,3226.782,2019-09-21 13:38:47.886,1,,False,,False,True
3451.121,LEC,16,127.689,11.0,3.0,,3443.228,32.401,46.947,48.341,3355.833,3402.78,3451.121,264.0,244.0,,255.0,False,SOFT,3.0,True,Ferrari,3323.432,2019-09-21 13:40:24.536,1,,False,,False,False
3934.647,LEC,16,,12.0,4.0,3788.936,,,50.563,63.651,,3871.022,3935.403,287.0,251.0,261.0,,False,SOFT,1.0,True,Ferrari,3451.121,2019-09-21 13:42:32.225,12,,False,,False,False
4031.438,LEC,16,96.791,13.0,4.0,,,26.438,37.338,33.015,3961.085,3998.423,4031.438,318.0,289.0,267.0,308.0,True,SOFT,2.0,True,Ferrari,3934.647,2019-09-21 13:50:35.751,1,,False,,False,True
4151.991,LEC,16,120.553,14.0,4.0,,4144.113,31.907,44.405,44.241,4063.345,4107.75,4151.991,265.0,256.0,,288.0,False,SOFT,3.0,True,Ferrari,4031.438,2019-09-21 13:52:12.542,1,,False,,False,False
4424.606,LEC,16,,15.0,5.0,4281.812,,,52.71,52.33,,4372.276,4424.723,287.0,253.0,263.0,,False,SOFT,1.0,True,Ferrari,4151.991,2019-09-21 13:54:13.095,1,,False,,False,False
4520.823,LEC,16,96.217,16.0,5.0,,,26.211,37.127,32.879,4450.817,4487.944,4520.823,318.0,287.0,265.0,307.0,True,SOFT,2.0,True,Ferrari,4424.606,2019-09-21 13:58:45.710,1,,False,,False,True
4650.864,LEC,16,130.041,17.0,5.0,,,35.342,48.677,46.022,4556.165,4604.842,4650.864,267.0,214.0,91.0,248.0,False,SOFT,3.0,True,Ferrari,4520.823,2019-09-21 14:00:21.927,1,,False,,False,True
1161.941,HAM,44,,1.0,1.0,1022.445,,,46.529,56.919,,1105.109,1162.266,291.0,257.0,254.0,,False,MEDIUM,1.0,True,Mercedes,1022.445,2019-09-21 13:02:03.549,1,,False,,False,False
1260.704,HAM,44,98.763,2.0,1.0,,,27.135,37.961,33.667,1189.076,1227.037,1260.704,312.0,283.0,260.0,300.0,True,MEDIUM,2.0,True,Mercedes,1161.941,2019-09-21 13:04:23.045,1,,False,,False,True
1397.706,HAM,44,137.002,3.0,1.0,,1389.868,38.363,45.856,52.783,1299.067,1344.923,1397.706,207.0,224.0,,232.0,False,MEDIUM,3.0,True,Mercedes,1260.704,2019-09-21 13:06:01.808,1,,False,,False,False
1809.437,HAM,44,,4.0,2.0,1693.893,,,44.497,38.637,,1770.8,1809.675,283.0,262.0,258.0,,False,SOFT,1.0,True,Mercedes,1397.706,2019-09-21 13:08:18.810,1,,False,,False,False
1907.002,HAM,44,97.565,5.0,2.0,,,26.882,37.457,33.226,1836.319,1873.776,1907.002,314.0,281.0,260.0,301.0,True,SOFT,2.0,True,Mercedes,1809.437,2019-09-21 13:15:10.541,1,,False,,False,True
2041.139,HAM,44,134.137,6.0,2.0,,2033.252,34.752,48.706,50.679,1941.754,1990.46,2041.139,240.0,219.0,,251.0,False,SOFT,3.0,True,Mercedes,1907.002,2019-09-21 13:16:48.106,1,,False,,False,False
2598.904,HAM,44,,7.0,3.0,2479.096,,,45.716,42.131,,2556.923,2599.136,277.0,252.0,257.0,,False,SOFT,1.0,True,Mercedes,2041.139,2019-09-21 13:19:02.243,1,,False,,False,False
2695.965,HAM,44,97.061,8.0,3.0,,,26.73,37.288,33.043,2625.634,2662.922,2695.965,312.0,282.0,264.0,301.0,True,SOFT,2.0,True,Mercedes,2598.904,2019-09-21 13:28:20.008,1,,False,,False,True
2863.497,HAM,44,,9.0,3.0,,2814.523,35.976,44.596,86.975,2732.328,2776.522,2863.522,199.0,233.0,,238.0,False,SOFT,3.0,True,Mercedes,2695.965,2019-09-21 13:29:57.069,1,,False,,False,False
3220.626,HAM,44,,10.0,4.0,3092.793,,,46.62,49.04,,3171.791,3221.133,272.0,259.0,259.0,,False,SOFT,1.0,True,Mercedes,2863.497,2019-09-21 13:32:44.601,1,,False,,False,False
3317.559,HAM,44,96.933,11.0,4.0,,,26.809,37.263,32.861,3247.435,3284.698,3317.559,312.0,283.0,264.0,303.0,True,SOFT,2.0,True,Mercedes,3220.626,2019-09-21 13:38:41.730,1,,False,,False,True
