Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
11.591,30.0,70.7,1009.7,False,37.3,176,2.9
71.65,30.0,71.5,1009.7,False,37.1,155,2.0
131.694,30.0,71.6,1009.6,False,37.4,164,2.3
191.597,30.1,70.8,1009.7,False,37.5,136,2.2
251.594,30.0,70.8,1009.7,False,37.5,181,1.6
311.794,30.0,70.7,1009.8,False,37.1,186,2.2
371.588,30.0,71.1,1009.8,False,37.3,175,1.6
431.601,30.1,70.9,1009.9,False,37.4,156,1.9
491.598,30.1,70.8,1009.9,False,37.5,184,2.3
551.595,30.0,69.8,1009.9,False,36.9,159,1.8
611.592,30.0,70.4,1010.0,False,36.9,193,2.0
671.604,30.0,69.7,1010.0,False,36.9,161,1.8
731.601,30.0,69.4,1010.0,False,37.3,126,1.8
791.599,30.0,69.1,1010.0,False,37.2,186,1.9
851.595,30.1,68.7,1010.1,False,37.4,171,2.2
911.592,30.1,67.8,1010.1,False,37.4,172,1.9
971.605,30.1,67.6,1010.1,False,37.1,134,2.0
1031.618,30.1,67.0,1010.1,False,37.1,170,1.8
1091.599,30.1,66.8,1010.1,False,37.1,0,1.4
1151.612,30.1,66.2,1010.2,False,37.0,174,0.6
1211.609,30.2,66.8,1010.2,False,37.1,170,2.2
1271.606,30.2,66.4,1010.2,False,37.1,164,2.3
1331.603,30.1,66.1,1010.1,False,37.0,163,2.8
1391.615,30.1,66.8,1010.2,False,36.7,164,2.1
1451.612,30.1,66.9,1010.3,False,37.0,182,2.0
1511.609,30.2,66.7,1010.3,False,37.2,176,2.3
1571.606,30.1,66.1,1010.3,False,37.3,165,1.4
1631.619,30.2,65.6,1010.4,False,37.3,207,1.0
1691.834,30.2,64.8,1010.3,False,37.1,181,1.5
1751.613,30.2,65.2,1010.3,False,37.1,165,1.5
1811.641,30.1,64.5,1010.4,False,36.8,145,1.7
1871.638,30.2,64.9,1010.5,False,36.8,166,1.3
1931.619,30.2,65.3,1010.4,False,37.2,142,1.6
1991.617,30.2,64.5,1010.5,False,37.2,212,1.5
2051.676,30.2,64.5,1010.6,False,36.7,164,1.4
2111.626,30.2,64.4,1010.5,False,36.7,179,2.4
2171.732,30.2,64.8,1010.6,False,36.6,148,1.8
2231.666,30.2,64.8,1010.5,False,36.6,171,1.9
2291.617,30.2,64.6,1010.7,False,36.6,178,2.4
2351.614,30.2,64.2,1010.7,False,36.9,160,1.9
2411.626,30.2,63.4,1010.7,False,36.9,138,2.7
2471.624,30.3,64.6,1010.6,False,36.5,170,2.0
2531.621,30.3,64.2,1010.7,False,36.5,157,2.0
2591.633,30.3,64.5,1010.8,False,36.5,163,2.9
2651.63,30.2,65.4,1010.8,False,36.4,161,2.0
2711.643,30.2,65.2,1010.7,False,36.4,175,2.0
2771.625,30.2,65.4,1010.7,False,36.4,160,2.2
2831.621,30.2,65.7,1010.9,False,36.3,180,2.1
2891.634,30.1,65.8,1010.8,False,36.3,142,2.4
2951.631,30.1,65.8,1010.8,False,36.2,169,2.1
3011.628,30.1,66.3,1010.8,False,35.7,169,1.9
3071.641,30.1,66.1,1010.8,False,35.8,183,1.7
3131.903,30.0,67.0,1010.8,False,35.8,162,1.7
3191.822,30.0,67.0,1010.8,False,35.8,200,1.7
3251.928,29.9,66.9,1010.8,False,35.8,203,0.9
3311.941,29.9,66.8,1010.8,False,36.0,163,2.3
3372.109,29.9,67.1,1010.8,False,36.0,130,2.0
3431.716,29.9,67.0,1010.7,False,36.2,155,1.4
3491.916,29.9,67.3,1010.9,False,35.9,183,1.5
3551.632,29.9,67.5,1010.9,False,35.9,213,1.8
3611.645,30.0,66.6,1010.9,False,36.1,163,1.8
3671.657,29.9,66.5,1010.9,False,36.1,195,1.8
3731.67,30.0,66.8,1010.9,False,35.9,160,2.3
3791.698,30.0,66.1,1010.9,False,35.6,150,2.0
3851.649,30.0,66.0,1010.9,False,36.0,156,1.4
3911.77,29.9,66.4,1010.9,False,35.8,221,2.0
3971.643,29.9,65.6,1010.9,False,36.4,163,1.8
4031.749,29.8,65.6,1010.9,False,36.4,133,2.2
4091.699,29.8,65.8,1010.9,False,36.3,197,1.9
4151.821,29.8,65.6,1011.0,False,36.0,169,1.9
4211.958,29.9,65.4,1011.0,False,36.0,160,2.0
4271.69,29.9,63.9,1011.0,False,35.8,150,1.4
4331.656,30.0,64.1,1011.0,False,35.8,161,1.9
4391.809,30.1,63.7,1011.1,False,35.9,156,1.7
4451.666,30.1,63.6,1011.1,False,35.9,162,1.7
4511.662,30.1,63.7,1011.0,False,35.8,167,1.6
4571.691,30.1,64.0,1011.1,False,35.8,168,2.0
4631.766,30.1,63.5,1011.1,False,35.4,175,2.5
4691.856,30.0,64.1,1011.1,False,35.4,163,2.3
4751.697,30.0,63.8,1011.1,False,35.2,159,2.4
4811.71,30.0,64.2,1011.1,False,35.9,173,2.0
4871.894,30.1,63.5,1011.1,False,35.6,169,1.9
4931.704,30.0,64.2,1011.0,False,35.7,177,1.4
4991.997,30.0,64.8,1011.2,False,35.7,169,2.3
5051.792,30.0,64.4,1011.2,False,35.7,171,2.1
5111.711,30.1,64.9,1011.1,False,35.8,167,2.0
5171.708,30.0,64.9,1011.2,False,35.5,149,2.5
5231.705,30.0,64.7,1011.2,False,35.4,185,2.0
5291.702,30.0,65.2,1011.1,False,35.6,162,2.2
5351.714,30.0,65.0,1011.1,False,35.5,156,1.5
5411.712,30.0,65.3,1011.3,False,35.6,175,2.0
5471.74,30.1,65.0,1011.2,False,35.5,158,1.4
5531.705,30.1,65.7,1011.3,False,35.5,170,2.2
5591.718,30.1,65.6,1011.2,False,35.4,149,1.9
5651.933,30.1,65.9,1011.3,False,35.4,179,2.3
5711.728,30.1,65.2,1011.2,False,35.3,154,2.0
5771.912,30.1,65.5,1011.2,False,35.5,169,2.3
5831.768,30.1,65.6,1011.3,False,35.5,189,1.2
5891.765,30.1,64.7,1011.3,False,35.5,166,2.6
5951.778,30.0,64.5,1011.3,False,35.1,161,2.3
6011.791,30.0,64.2,1011.2,False,35.1,156,2.3
6071.819,29.9,64.0,1011.2,False,35.0,140,2.2
6131.8,29.9,64.4,1011.2,False,35.0,146,1.4
6191.797,30.0,64.5,1011.3,False,34.9,161,1.6
6251.794,29.8,65.0,1011.3,False,34.7,164,1.8
6311.807,29.9,65.2,1011.3,False,34.9,166,1.5
6371.804,29.9,65.3,1011.3,False,34.9,162,1.9
6431.91,29.9,64.8,1011.3,False,34.9,186,2.0
6491.923,29.8,64.7,1011.3,False,34.9,167,1.7
6552.092,29.8,65.2,1011.3,False,34.9,151,2.2
6611.839,29.8,65.2,1011.3,False,34.8,239,1.9
6672.101,29.8,65.3,1011.3,False,34.9,124,1.4
6731.864,29.8,65.3,1011.4,False,34.9,170,1.6
6791.861,29.8,65.8,1011.4,False,35.1,176,2.2
6852.03,29.9,66.2,1011.4,False,35.0,193,2.6
6911.855,29.9,65.8,1011.4,False,34.9,170,1.8
6971.852,29.8,66.6,1011.4,False,34.9,174,2.1
7031.865,29.9,67.0,1011.4,False,34.9,162,2.6
7091.862,29.9,67.0,1011.3,False,34.9,172,2.3
7151.859,29.9,67.3,1011.4,False,35.1,151,2.2
7211.856,30.0,67.2,1011.4,False,34.9,170,1.9
7271.962,29.9,67.2,1011.5,False,34.9,130,1.5
7331.897,29.9,67.6,1011.4,False,34.9,168,1.4
7391.863,29.9,67.7,1011.4,False,35.0,174,1.9
7451.86,29.9,68.0,1011.4,False,34.7,155,1.4
7511.872,29.8,67.0,1011.5,False,34.7,184,1.9
7571.869,29.7,67.0,1011.5,False,34.1,195,0.9
7631.945,29.6,67.5,1011.5,False,34.1,174,1.6
7692.675,29.7,67.8,1011.5,False,34.4,151,1.1
7751.876,29.7,67.4,1011.5,False,34.5,149,1.5
7811.873,29.7,68.2,1011.5,False,34.3,170,2.2
7871.87,29.7,67.8,1011.5,False,34.6,152,1.7
7932.086,29.7,67.8,1011.5,False,34.6,176,1.6
7991.88,29.7,68.0,1011.5,False,34.5,152,1.4
8052.049,29.7,68.0,1011.4,False,34.5,165,1.8
8112.217,29.7,67.9,1011.6,False,34.5,166,1.5
8171.887,29.7,67.7,1011.6,False,34.5,183,1.5
8232.008,29.6,67.7,1011.5,False,34.5,176,1.7
8292.083,29.6,68.1,1011.6,False,34.4,163,2.2
8352.158,29.6,68.5,1011.6,False,34.4,159,1.7
8412.327,29.6,68.5,1011.6,False,34.6,199,1.7
8472.153,29.7,68.1,1011.6,False,34.6,168,1.3
8531.931,29.7,67.6,1011.5,False,34.6,185,1.4
8592.053,29.7,67.8,1011.6,False,34.4,148,1.7
8652.003,29.7,68.3,1011.6,False,34.7,222,1.8
8711.953,29.7,68.4,1011.5,False,34.7,145,1.4
8771.997,29.8,68.3,1011.7,False,34.9,149,1.3
8832.104,29.8,67.3,1011.6,False,34.2,181,1.8
8891.976,29.8,67.3,1011.6,False,34.2,181,1.8
8952.02,29.7,67.9,1011.6,False,34.5,198,1.6
9012.219,29.8,67.6,1011.6,False,34.3,193,1.6
9072.294,29.7,68.2,1011.6,False,34.3,142,1.4
9132.167,29.7,68.2,1011.6,False,34.3,142,1.4
9192.195,29.7,68.1,1011.7,False,34.3,182,1.0
9252.192,29.8,68.2,1011.7,False,34.5,177,1.8
