Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
1078.606,RIC,3,,1.0,1.0,932.825,1070.338,,46.6,41.134,,1037.89,1078.606,230.0,198.0,,229.0,False,SOFT,1.0,True,Renault,932.825,2019-09-27 08:00:52.904,1,,False,,False,False
2244.87,RIC,3,,2.0,2.0,2105.731,,,40.899,42.895,,2202.045,2246.145,222.0,287.0,164.0,251.0,False,SOFT,2.0,False,Renault,1078.606,2019-09-27 08:03:18.685,1,,False,,False,False
2342.475,RIC,3,97.605,3.0,2.0,,,35.331,33.668,28.606,2280.201,2313.869,2342.475,261.0,310.0,167.0,316.0,True,SOFT,3.0,False,Renault,2244.87,2019-09-27 08:22:44.949,1,,False,,False,True
2480.946,RIC,3,138.471,4.0,2.0,,,50.295,47.993,40.183,2392.77,2440.763,2480.946,119.0,245.0,167.0,244.0,False,SOFT,4.0,False,Renault,2342.475,2019-09-27 08:24:22.554,1,,False,,False,True
2621.795,RIC,3,140.849,5.0,2.0,,,35.084,54.274,51.491,2516.03,2570.304,2621.795,263.0,125.0,125.0,318.0,False,SOFT,5.0,False,Renault,2480.946,2019-09-27 08:26:41.025,126,,False,,False,False
2745.954,RIC,3,124.159,6.0,2.0,,,46.873,39.647,37.639,2668.668,2708.315,2745.954,220.0,294.0,171.0,241.0,False,SOFT,6.0,False,Renault,2621.795,2019-09-27 08:29:01.874,671,,False,,False,False
2844.57,RIC,3,98.616,7.0,2.0,,,34.874,33.553,30.189,2780.828,2814.381,2844.57,265.0,312.0,138.0,319.0,False,SOFT,7.0,False,Renault,2745.954,2019-09-27 08:31:06.033,1,,False,,False,True
2988.01,RIC,3,143.44,8.0,2.0,,2980.29,54.651,48.293,40.496,2899.221,2947.514,2988.01,153.0,214.0,,177.0,False,SOFT,8.0,False,Renault,2844.57,2019-09-27 08:32:44.649,1,,False,,False,False
3996.287,RIC,3,,9.0,3.0,3868.515,,,38.289,34.709,,3961.677,3996.979,217.0,300.0,173.0,178.0,False,SOFT,1.0,True,Renault,2988.01,2019-09-27 08:35:08.089,12,,False,,False,False
4092.574,RIC,3,96.287,10.0,3.0,,,34.863,33.131,28.293,4031.15,4064.281,4092.574,264.0,311.0,166.0,317.0,True,SOFT,2.0,True,Renault,3996.287,2019-09-27 08:51:56.366,1,,False,,False,True
4227.588,RIC,3,135.014,11.0,3.0,,,49.994,48.499,36.521,4142.568,4191.067,4227.588,209.0,292.0,168.0,267.0,False,SOFT,3.0,True,Renault,4092.574,2019-09-27 08:53:32.653,1,,False,,False,True
4325.044,RIC,3,97.456,12.0,3.0,,,34.877,33.224,29.355,4262.465,4295.689,4325.044,265.0,317.0,163.0,320.0,False,SOFT,4.0,True,Renault,4227.588,2019-09-27 08:55:47.667,1,,False,,False,True
4455.697,RIC,3,130.653,13.0,3.0,,4447.659,45.891,45.634,39.128,4370.935,4416.569,4455.697,199.0,198.0,,297.0,False,SOFT,5.0,True,Renault,4325.044,2019-09-27 08:57:25.123,1,,False,,False,False
5777.598,RIC,3,,14.0,4.0,5646.04,,,39.866,34.03,,5744.147,5777.937,216.0,281.0,169.0,266.0,False,SOFT,6.0,False,Renault,4455.697,2019-09-27 08:59:35.776,1,,False,,False,False
5874.024,RIC,3,96.426,15.0,4.0,,,34.8,33.248,28.378,5812.398,5845.646,5874.024,265.0,314.0,167.0,320.0,False,SOFT,7.0,False,Renault,5777.598,2019-09-27 09:21:37.677,1,,False,,False,True
