Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
2136.908,HAM,44,129.204,1.0,1.0,,,,51.079,39.919,,2097.002,2137.114,220.0,180.0,151.0,281.0,False,MEDIUM,4.0,False,Mercedes,2007.5,2019-09-29 11:13:27.792,124,3.0,False,,False,False
2296.809,HAM,44,,2.0,1.0,,,65.578,50.762,43.561,2202.693,2253.261,2297.442,98.0,192.0,129.0,236.0,False,MEDIUM,5.0,False,Mercedes,2136.908,2019-09-29 11:15:37.200,4,3.0,False,,False,False
2458.885,HAM,44,,3.0,1.0,,,58.765,55.847,47.48,2355.651,2411.497,2459.75,173.0,113.0,160.0,109.0,False,MEDIUM,6.0,False,Mercedes,2296.809,2019-09-29 11:18:17.101,41,3.0,False,,False,False
2559.936,HAM,44,101.051,4.0,1.0,,,36.238,35.112,29.701,2495.136,2530.248,2559.949,235.0,295.0,164.0,300.0,True,MEDIUM,7.0,False,Mercedes,2458.885,2019-09-29 11:20:59.177,1,3.0,False,,False,True
2660.061,HAM,44,100.125,5.0,1.0,,,35.94,34.842,29.343,2595.889,2630.731,2660.074,245.0,293.0,165.0,289.0,True,MEDIUM,8.0,False,Mercedes,2559.936,2019-09-29 11:22:40.228,1,3.0,False,,False,True
2760.029,HAM,44,99.968,6.0,1.0,,,36.039,34.705,29.224,2696.113,2730.818,2760.042,253.0,290.0,161.0,294.0,True,MEDIUM,9.0,False,Mercedes,2660.061,2019-09-29 11:24:20.353,1,3.0,False,,False,True
2859.61,HAM,44,99.581,7.0,1.0,,,35.836,34.404,29.341,2795.878,2830.282,2859.623,259.0,296.0,165.0,288.0,True,MEDIUM,10.0,False,Mercedes,2760.029,2019-09-29 11:26:00.321,1,3.0,False,,False,True
2958.992,HAM,44,99.382,8.0,1.0,,,35.67,34.345,29.367,2895.293,2929.638,2959.005,,294.0,158.0,295.0,True,MEDIUM,11.0,False,Mercedes,2859.61,2019-09-29 11:27:39.902,1,3.0,False,,False,True
3058.183,HAM,44,99.191,9.0,1.0,,,35.686,34.414,29.091,2994.691,3029.105,3058.196,258.0,294.0,164.0,293.0,True,MEDIUM,12.0,False,Mercedes,2958.992,2019-09-29 11:29:19.284,1,3.0,False,,False,True
3158.508,HAM,44,100.325,10.0,1.0,,,35.603,35.443,29.279,3093.799,3129.242,3158.521,259.0,296.0,165.0,295.0,False,MEDIUM,13.0,False,Mercedes,3058.183,2019-09-29 11:30:58.475,1,3.0,False,,False,True
3257.843,HAM,44,99.335,11.0,1.0,,,35.696,34.5,29.139,3194.217,3228.717,3257.856,258.0,292.0,160.0,,False,MEDIUM,14.0,False,Mercedes,3158.508,2019-09-29 11:32:38.800,1,3.0,False,,False,True
3357.089,HAM,44,99.246,12.0,1.0,,,35.748,34.426,29.072,3293.604,3328.03,3357.102,,296.0,164.0,292.0,False,MEDIUM,15.0,False,Mercedes,3257.843,2019-09-29 11:34:18.135,1,3.0,False,,False,True
3455.719,HAM,44,98.63,13.0,1.0,,,35.491,34.227,28.912,3392.593,3426.82,3455.732,259.0,295.0,162.0,295.0,True,MEDIUM,16.0,False,Mercedes,3357.089,2019-09-29 11:35:57.381,1,3.0,False,,False,True
3554.252,HAM,44,98.533,14.0,1.0,,,35.514,34.153,28.866,3491.246,3525.399,3554.265,257.0,295.0,164.0,,True,MEDIUM,17.0,False,Mercedes,3455.719,2019-09-29 11:37:36.011,1,3.0,False,,False,True
3652.571,HAM,44,98.319,15.0,1.0,,,35.383,34.073,28.863,3589.648,3623.721,3652.584,261.0,295.0,165.0,296.0,True,MEDIUM,18.0,False,Mercedes,3554.252,2019-09-29 11:39:14.544,1,3.0,False,,False,True
3751.072,HAM,44,98.501,16.0,1.0,,,35.369,34.199,28.933,3687.953,3722.152,3751.085,260.0,296.0,163.0,,False,MEDIUM,19.0,False,Mercedes,3652.571,2019-09-29 11:40:52.863,1,3.0,False,,False,True
3850.064,HAM,44,98.992,17.0,1.0,,,35.719,34.289,28.984,3786.804,3821.093,3850.077,257.0,296.0,162.0,297.0,False,MEDIUM,20.0,False,Mercedes,3751.072,2019-09-29 11:42:31.364,1,3.0,False,,False,True
3948.448,HAM,44,98.384,18.0,1.0,,,35.472,34.071,28.841,3885.549,3919.62,3948.461,259.0,295.0,164.0,,False,MEDIUM,21.0,False,Mercedes,3850.064,2019-09-29 11:44:10.356,1,3.0,False,,False,True
4046.939,HAM,44,98.491,19.0,1.0,,,35.451,34.169,28.871,3983.912,4018.081,4046.952,261.0,296.0,163.0,295.0,False,MEDIUM,22.0,False,Mercedes,3948.448,2019-09-29 11:45:48.740,1,3.0,False,,False,True
4145.439,HAM,44,98.5,20.0,1.0,,,35.341,34.145,29.014,4082.293,4116.438,4145.452,260.0,296.0,161.0,297.0,False,MEDIUM,23.0,False,Mercedes,4046.939,2019-09-29 11:47:27.231,1,3.0,False,,False,True
4243.98,HAM,44,98.541,21.0,1.0,,,35.474,34.125,28.942,4180.926,4215.051,4243.993,258.0,295.0,163.0,295.0,False,MEDIUM,24.0,False,Mercedes,4145.439,2019-09-29 11:49:05.731,1,3.0,False,,False,True
4342.723,HAM,44,98.743,22.0,1.0,,,35.498,34.207,29.038,4279.491,4313.698,4342.736,260.0,298.0,161.0,294.0,False,MEDIUM,25.0,False,Mercedes,4243.98,2019-09-29 11:50:44.272,1,2.0,False,,False,True
4441.559,HAM,44,98.836,23.0,1.0,,,35.344,34.564,28.928,4378.08,4412.644,4441.572,262.0,292.0,161.0,297.0,False,MEDIUM,26.0,False,Mercedes,4342.723,2019-09-29 11:52:23.015,1,2.0,False,,False,True
4539.92,HAM,44,98.361,24.0,1.0,,,35.439,34.056,28.866,4477.011,4511.067,4539.933,259.0,293.0,164.0,291.0,False,MEDIUM,27.0,False,Mercedes,4441.559,2019-09-29 11:54:01.851,1,2.0,False,,False,True
4638.183,HAM,44,98.263,25.0,1.0,,,35.433,34.088,28.742,4575.366,4609.454,4638.196,260.0,295.0,162.0,294.0,True,MEDIUM,28.0,False,Mercedes,4539.92,2019-09-29 11:55:40.212,1,2.0,False,,False,True
4736.56,HAM,44,98.377,26.0,1.0,,,35.497,34.161,28.719,4673.693,4707.854,4736.573,,295.0,164.0,296.0,False,MEDIUM,29.0,False,Mercedes,4638.183,2019-09-29 11:57:18.475,1,1.0,False,,False,True
4834.97,HAM,44,98.41,27.0,1.0,,,35.373,34.139,28.898,4771.946,4806.085,4834.983,261.0,294.0,162.0,294.0,False,MEDIUM,30.0,False,Mercedes,4736.56,2019-09-29 11:58:56.852,1,1.0,False,,False,True
4956.578,HAM,44,121.608,28.0,1.0,,4948.685,35.407,44.646,41.555,4870.39,4915.036,4956.591,262.0,198.0,,,False,MEDIUM,31.0,False,Mercedes,4834.97,2019-09-29 12:00:35.262,126,1.0,False,,False,False
5096.755,HAM,44,140.177,29.0,2.0,4978.144,,65.738,35.132,39.307,5022.329,5057.461,5096.768,224.0,298.0,148.0,108.0,False,SOFT,4.0,False,Mercedes,4956.578,2019-09-29 12:02:36.870,67124,1.0,False,,False,False
5254.07,HAM,44,,30.0,2.0,,,55.75,59.266,42.288,5152.529,5211.896,5256.312,148.0,206.0,129.0,240.0,False,SOFT,5.0,False,Mercedes,5096.755,2019-09-29 12:04:57.047,4,1.0,False,,False,False
5420.424,HAM,44,,31.0,2.0,,,59.827,60.079,46.461,5313.972,5373.976,5420.755,165.0,123.0,70.0,187.0,False,SOFT,6.0,False,Mercedes,5254.07,2019-09-29 12:07:34.362,4,1.0,False,,False,False
5590.879,HAM,44,,32.0,2.0,,,62.861,62.118,45.47,5483.305,5545.491,5591.488,134.0,56.0,170.0,196.0,False,SOFT,7.0,False,Mercedes,5420.424,2019-09-29 12:10:20.716,41,1.0,False,,False,False
5688.517,HAM,44,97.638,33.0,2.0,,,35.659,33.855,28.124,5626.551,5660.406,5688.53,258.0,290.0,170.0,299.0,True,SOFT,8.0,False,Mercedes,5590.879,2019-09-29 12:13:11.171,1,1.0,False,,False,True
5786.191,HAM,44,97.674,34.0,2.0,,,35.556,33.865,28.253,5724.086,5757.951,5786.204,248.0,285.0,167.0,286.0,False,SOFT,9.0,False,Mercedes,5688.517,2019-09-29 12:14:48.809,1,1.0,False,,False,True
5883.341,HAM,44,97.15,35.0,2.0,,,35.42,33.566,28.164,5821.624,5855.19,5883.354,259.0,287.0,166.0,287.0,True,SOFT,10.0,False,Mercedes,5786.191,2019-09-29 12:16:26.483,1,1.0,False,,False,True
5980.459,HAM,44,97.118,36.0,2.0,,,35.405,33.637,28.076,5918.759,5952.396,5980.472,260.0,289.0,167.0,285.0,True,SOFT,11.0,False,Mercedes,5883.341,2019-09-29 12:18:03.633,1,1.0,False,,False,True
6077.098,HAM,44,96.639,37.0,2.0,,,35.173,33.521,27.945,6015.645,6049.166,6077.111,,292.0,166.0,288.0,True,SOFT,12.0,False,Mercedes,5980.459,2019-09-29 12:19:40.751,1,1.0,False,,False,True
6174.44,HAM,44,97.342,38.0,2.0,,,35.328,33.729,28.285,6112.439,6146.168,6174.453,257.0,289.0,168.0,289.0,False,SOFT,13.0,False,Mercedes,6077.098,2019-09-29 12:21:17.390,1,1.0,False,,False,True
6271.49,HAM,44,97.05,39.0,2.0,,,35.311,33.643,28.096,6209.764,6243.407,6271.503,259.0,290.0,165.0,286.0,False,SOFT,14.0,False,Mercedes,6174.44,2019-09-29 12:22:54.732,1,1.0,False,,False,True
6368.537,HAM,44,97.047,40.0,2.0,,,35.342,33.638,28.067,6306.845,6340.483,6368.55,258.0,293.0,166.0,290.0,False,SOFT,15.0,False,Mercedes,6271.49,2019-09-29 12:24:31.782,1,1.0,False,,False,True
6465.302,HAM,44,96.765,41.0,2.0,,,35.21,33.472,28.083,6403.76,6437.232,6465.315,262.0,291.0,167.0,295.0,False,SOFT,16.0,False,Mercedes,6368.537,2019-09-29 12:26:08.829,1,1.0,False,,False,True
6561.769,HAM,44,96.467,42.0,2.0,,,35.129,33.421,27.917,6500.444,6533.865,6561.782,261.0,293.0,166.0,291.0,True,SOFT,17.0,False,Mercedes,6465.302,2019-09-29 12:27:45.594,1,1.0,False,,False,True
6658.976,HAM,44,97.207,43.0,2.0,,,35.604,33.623,27.98,6597.386,6631.009,6658.989,262.0,293.0,167.0,276.0,False,SOFT,18.0,False,Mercedes,6561.769,2019-09-29 12:29:22.061,1,1.0,False,,False,True
6755.659,HAM,44,96.683,44.0,2.0,,,35.211,33.439,28.033,6694.2,6727.639,6755.672,260.0,292.0,164.0,292.0,False,SOFT,19.0,False,Mercedes,6658.976,2019-09-29 12:30:59.268,1,1.0,False,,False,True
6852.452,HAM,44,96.793,45.0,2.0,,,35.292,33.505,27.996,6790.964,6824.469,6852.465,263.0,293.0,166.0,,False,SOFT,20.0,False,Mercedes,6755.659,2019-09-29 12:32:35.951,1,1.0,False,,False,True
6948.764,HAM,44,96.312,46.0,2.0,,,35.142,33.355,27.815,6887.607,6920.962,6948.777,262.0,294.0,166.0,,True,SOFT,21.0,False,Mercedes,6852.452,2019-09-29 12:34:12.744,1,1.0,False,,False,True
7045.156,HAM,44,96.392,47.0,2.0,,,35.163,33.282,27.947,6983.94,7017.222,7045.169,260.0,290.0,168.0,293.0,False,SOFT,22.0,False,Mercedes,6948.764,2019-09-29 12:35:49.056,1,1.0,False,,False,True
7141.529,HAM,44,96.373,48.0,2.0,,,35.141,33.065,28.167,7080.31,7113.375,7141.542,265.0,295.0,165.0,279.0,False,SOFT,23.0,False,Mercedes,7045.156,2019-09-29 12:37:25.448,1,1.0,False,,False,True
7238.599,HAM,44,97.07,49.0,2.0,,,35.268,33.634,28.168,7176.81,7210.444,7238.612,252.0,292.0,166.0,281.0,False,SOFT,24.0,False,Mercedes,7141.529,2019-09-29 12:39:01.821,1,1.0,False,,False,True
7335.695,HAM,44,97.096,50.0,2.0,,,35.271,33.745,28.08,7273.883,7307.628,7335.708,260.0,291.0,168.0,295.0,False,SOFT,25.0,False,Mercedes,7238.599,2019-09-29 12:40:38.891,1,1.0,False,,False,True
7431.456,HAM,44,95.761,51.0,2.0,,,34.868,33.064,27.829,7370.576,7403.64,7431.469,264.0,293.0,168.0,297.0,True,SOFT,26.0,False,Mercedes,7335.695,2019-09-29 12:42:15.987,1,1.0,False,,False,True
