Time,Category,Message,Status,Flag,Scope,Sector,RacingNumber,Lap
2019-10-11 05:00:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,
2019-10-11 05:27:36,Flag,DOUBLE YELLOW IN TRACK SECTOR 20,,DOUBLE YELLOW,Sector,20.0,,
2019-10-11 05:27:41,Flag,DOUBLE YELLOW IN TRACK SECTOR 19,,DOUBLE YELLOW,Sector,19.0,,
2019-10-11 05:27:42,Flag,YELLOW IN TRACK SECTOR 19,,YELLOW,Sector,19.0,,
2019-10-11 05:27:47,Flag,DOUBLE YELLOW IN TRACK SECTOR 19,,DOUBLE YELLOW,Sector,19.0,,
2019-10-11 05:28:08,Flag,CLEAR IN TRACK SECTOR 20,,CLEAR,Sector,20.0,,
2019-10-11 05:28:11,Flag,YELLOW IN TRACK SECTOR 19,,YELLOW,Sector,19.0,,
2019-10-11 05:28:15,Flag,CLEAR IN TRACK SECTOR 19,,CLEAR,Sector,19.0,,
2019-10-11 05:28:23,CarEvent,CAR 77 (BOT) SPUN AND CONTINUED AT TURN 18,,,,,77,
2019-10-11 06:30:00,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,,
2019-10-11 06:30:24,Other,FIRST CAR TO TAKE THE FLAG - 4,,,,,,
