Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
1049.342,VET,5,,1.0,1.0,946.352,,,45.394,21.651,,1027.691,1049.417,250.0,273.0,271.0,274.0,False,HARD,1.0,True,Ferrari,946.352,2019-10-13 01:00:04.316,1,,False,,False,False
1623.266,VET,5,,2.0,1.0,,1173.749,,,,,,,,,,,False,HARD,2.0,True,Ferrari,1049.342,2019-10-13 01:01:47.306,125,,False,,False,False
1739.409,VET,5,,3.0,2.0,1623.266,,,46.773,31.16,,1708.249,1739.555,251.0,283.0,275.0,265.0,False,SOFT,1.0,True,Ferrari,1623.266,2019-10-13 01:11:21.230,1,,False,,False,False
2217.833,VET,5,,4.0,2.0,,1849.38,30.734,,,1770.334,,,284.0,,,,False,SOFT,2.0,True,Ferrari,1739.409,2019-10-13 01:13:17.373,125,,False,,False,False
2355.025,VET,5,,5.0,3.0,2217.833,,,49.268,50.188,,2305.107,2355.686,244.0,206.0,272.0,73.0,False,SOFT,3.0,False,Ferrari,2217.833,2019-10-13 01:21:15.797,1,,False,,False,False
2444.013,VET,5,88.988,6.0,3.0,,,30.93,40.275,17.783,2385.955,2426.23,2444.013,280.0,313.0,275.0,309.0,True,SOFT,4.0,False,Ferrari,2355.025,2019-10-13 01:23:32.989,1,,False,,False,True
2550.615,VET,5,106.602,7.0,3.0,,2549.109,35.961,45.102,25.539,2479.974,2525.076,2550.615,250.0,278.0,,250.0,False,SOFT,5.0,False,Ferrari,2444.013,2019-10-13 01:25:01.977,1,,False,,False,False
3552.564,VET,5,,8.0,4.0,3450.11,,,45.628,21.064,,3531.549,3552.761,252.0,284.0,277.0,261.0,False,SOFT,1.0,True,Ferrari,2550.615,2019-10-13 01:26:48.579,1,,False,,False,False
3640.738,VET,5,88.174,9.0,4.0,,,30.729,39.801,17.644,3583.293,3623.094,3640.738,281.0,310.0,273.0,310.0,True,SOFT,2.0,True,Ferrari,3552.564,2019-10-13 01:43:30.528,1,,False,,False,True
3752.409,VET,5,111.671,10.0,4.0,,3751.323,40.18,47.047,24.444,3680.918,3727.965,3752.409,236.0,272.0,,250.0,False,SOFT,3.0,True,Ferrari,3640.738,2019-10-13 01:44:58.702,1,,False,,False,False
4898.537,VET,5,,11.0,5.0,4782.303,,,50.685,28.183,,4870.374,4898.849,253.0,237.0,276.0,211.0,False,SOFT,1.0,True,Ferrari,3752.409,2019-10-13 01:46:50.373,1,,False,,False,False
4985.749,VET,5,87.212,12.0,5.0,,,30.443,39.451,17.318,4928.98,4968.431,4985.749,282.0,314.0,275.0,312.0,True,SOFT,2.0,True,Ferrari,4898.537,2019-10-13 02:05:56.501,1,,False,,False,True
5092.825,VET,5,107.076,13.0,5.0,,5091.976,37.244,45.978,23.854,5022.993,5068.971,5092.825,249.0,276.0,,234.0,False,SOFT,3.0,True,Ferrari,4985.749,2019-10-13 02:07:23.713,1,,False,,False,False
5410.144,VET,5,,14.0,6.0,5295.104,,,53.924,23.637,,5386.507,5410.197,255.0,209.0,276.0,165.0,False,SOFT,1.0,True,Ferrari,5092.825,2019-10-13 02:09:10.789,1,,False,,False,False
5497.208,VET,5,87.064,15.0,6.0,,,30.256,39.372,17.436,5440.4,5479.772,5497.208,284.0,313.0,274.0,311.0,True,SOFT,2.0,True,Ferrari,5410.144,2019-10-13 02:14:28.108,1,,False,,False,True
5619.464,VET,5,122.256,16.0,6.0,,5615.61,43.918,48.077,30.261,5541.126,5589.203,5619.464,226.0,275.0,,225.0,False,SOFT,3.0,True,Ferrari,5497.208,2019-10-13 02:15:55.172,1,,False,,False,False
1044.271,LEC,16,,1.0,1.0,944.594,,,44.076,19.379,,1024.892,1044.544,251.0,271.0,268.0,272.0,False,HARD,1.0,True,Ferrari,944.594,2019-10-13 01:00:02.558,1,,False,,False,False
1619.815,LEC,16,,2.0,1.0,,1165.841,,,,,,,,,,,False,HARD,2.0,True,Ferrari,1044.271,2019-10-13 01:01:42.235,125,,False,,False,False
1729.417,LEC,16,,3.0,2.0,1619.815,,,45.607,27.565,,1701.852,1730.189,255.0,239.0,275.0,212.0,False,SOFT,1.0,True,Ferrari,1619.815,2019-10-13 01:11:17.779,1,,False,,False,False
2215.619,LEC,16,,4.0,2.0,,1834.987,30.777,,,1760.104,,,283.0,,,,False,SOFT,2.0,True,Ferrari,1729.417,2019-10-13 01:13:07.381,125,,False,,False,False
