Time,Category,Message,Status,Flag,Scope,Sector,RacingNumber,Lap
2019-10-13 00:44:21,Other,TRACK TEST COMPLETED,,,,,,
2019-10-13 00:45:02,Other,RISK OF RAIN FOR THIS SESSION IS 0%,,,,,,
2019-10-13 01:00:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,
2019-10-13 01:02:04,Flag,DOUBLE YELLOW IN TRACK SECTOR 20,,DOUBLE YELLOW,Sector,20.0,,
2019-10-13 01:02:06,Flag,DOUBLE YELLOW IN TRACK SECTOR 1,,DOUBLE YELLOW,Sector,1.0,,
2019-10-13 01:02:09,Flag,RED FLAG,,RED,Track,,,
2019-10-13 01:02:09,Flag,CLEAR IN TRACK SECTOR 1,,CLEAR,Sector,1.0,,
2019-10-13 01:02:09,Flag,CLEAR IN TRACK SECTOR 20,,CLEAR,Sector,20.0,,
2019-10-13 01:03:29,Other,CAR 88 (KUB) STOPPED ON PIT STRAIGHT,,,,,,
2019-10-13 01:08:57,Other,SESSION WILL RE-START AT 10:10,,,,,,
2019-10-13 01:09:25,Flag,TRACK CLEAR,,CLEAR,Track,,,
2019-10-13 01:09:26,Drs,DRS ENABLED,ENABLED,,,,,
2019-10-13 01:10:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,
2019-10-13 01:14:02,Flag,DOUBLE YELLOW IN TRACK SECTOR 20,,DOUBLE YELLOW,Sector,20.0,,
2019-10-13 01:14:05,Flag,DOUBLE YELLOW IN TRACK SECTOR 19,,DOUBLE YELLOW,Sector,19.0,,
2019-10-13 01:14:09,Flag,RED FLAG,,RED,Track,,,
2019-10-13 01:14:09,Flag,CLEAR IN TRACK SECTOR 19,,CLEAR,Sector,19.0,,
2019-10-13 01:14:09,Flag,CLEAR IN TRACK SECTOR 20,,CLEAR,Sector,20.0,,
2019-10-13 01:14:28,CarEvent,CAR 20 (MAG) STOPPED AT TURN 18,,,,,20,
2019-10-13 01:19:20,Other,SESSION WILL RE-START AT 10:21,,,,,,
2019-10-13 01:20:01,Flag,TRACK CLEAR,,CLEAR,Track,,,
2019-10-13 01:20:03,Drs,DRS ENABLED,ENABLED,,,,,
2019-10-13 01:21:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,
2019-10-13 01:32:42,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,,
2019-10-13 01:32:53,Other,FIRST CAR TO TAKE THE FLAG - 44,,,,,,
2019-10-13 01:35:16,Other,Q2 WILL START AT 10:40,,,,,,
2019-10-13 01:40:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,
2019-10-13 01:55:00,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,,
2019-10-13 01:55:06,Other,FIRST CAR TO TAKE THE FLAG - 7,,,,,,
2019-10-13 01:57:29,Other,Q3 WILL START AT 11:03,,,,,,
2019-10-13 02:03:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,
2019-10-13 02:15:00,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,,
2019-10-13 02:15:11,Other,FIRST CAR TO TAKE THE FLAG - 4,,,,,,
