Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
35.399,21.9,57.6,1009.0,False,39.5,291,5.3
95.588,21.8,57.3,1008.9,False,39.5,285,6.1
155.39,22.0,57.5,1008.9,False,39.0,289,5.6
215.391,22.0,57.1,1008.9,False,39.0,283,5.3
275.392,21.9,57.5,1009.0,False,38.9,308,5.2
335.393,21.9,57.2,1009.0,False,38.7,289,6.6
395.399,21.8,57.2,1008.9,False,38.6,292,5.0
455.39,22.0,57.6,1008.9,False,38.6,297,4.2
515.39,22.1,56.5,1008.9,False,38.5,301,5.0
575.391,22.1,57.4,1008.9,False,38.5,288,4.4
635.393,22.1,56.8,1008.9,False,38.5,291,5.5
695.39,22.0,57.2,1008.8,False,38.1,291,5.6
755.395,21.8,57.6,1008.9,False,37.9,287,5.7
815.392,21.8,58.0,1008.8,False,37.9,291,5.6
875.504,21.9,57.9,1008.9,False,37.9,282,5.1
935.399,21.8,57.9,1008.7,False,37.8,278,5.4
995.407,21.8,57.9,1008.8,False,37.5,273,5.8
1055.408,21.7,58.2,1008.9,False,37.2,284,6.0
1115.422,21.7,58.2,1008.9,False,37.3,284,4.4
1175.424,21.8,57.7,1008.8,False,37.1,293,5.0
1235.423,21.9,57.9,1009.0,False,37.4,290,4.6
1295.438,21.9,57.5,1009.1,False,37.5,281,5.4
1355.437,21.8,57.3,1009.0,False,37.5,285,6.6
1415.438,21.8,58.0,1008.9,False,37.2,286,4.3
1475.436,21.8,58.0,1009.0,False,37.1,283,6.4
1535.453,21.7,58.2,1009.0,False,36.7,288,6.4
1595.457,21.6,58.6,1008.9,False,36.7,296,5.5
1655.571,21.6,58.4,1008.9,False,36.7,279,4.0
1715.475,21.9,58.3,1009.0,False,36.5,292,3.5
1775.486,22.1,56.8,1008.9,False,36.3,287,5.0
1835.499,22.1,57.2,1009.0,False,35.6,284,4.3
1895.515,22.0,57.1,1009.0,False,35.5,284,5.6
1955.529,21.8,57.5,1008.9,False,35.0,292,5.6
2015.545,21.8,57.8,1009.0,False,34.6,287,6.5
2075.548,21.6,58.0,1008.9,False,34.3,285,5.9
2135.562,21.7,57.8,1008.9,False,34.3,289,5.6
2195.588,21.7,58.1,1008.9,False,33.9,294,5.0
2255.684,21.9,57.6,1008.7,False,33.7,285,5.5
2316.124,21.6,57.2,1008.7,False,33.3,283,6.8
2375.578,21.5,57.9,1008.9,False,33.2,289,5.2
2435.568,21.5,57.4,1008.7,False,33.2,286,7.9
2495.688,21.4,58.0,1008.8,False,32.9,290,6.2
2555.576,21.5,57.9,1008.7,False,32.8,285,5.3
2615.607,21.3,58.0,1008.7,False,32.6,285,7.2
2675.578,21.2,58.8,1008.8,False,32.3,284,5.7
2735.591,21.4,58.4,1008.8,False,32.3,287,4.9
2795.752,21.4,57.5,1008.7,False,32.3,286,6.2
2855.591,21.5,57.8,1008.8,False,32.1,287,6.3
2915.592,21.4,57.6,1008.8,False,31.8,297,7.1
2975.599,21.4,58.3,1008.9,False,31.8,289,4.8
3035.687,21.4,57.6,1008.9,False,31.8,279,5.6
3095.813,21.4,57.7,1008.9,False,31.7,284,7.5
3156.228,21.4,57.7,1008.9,False,31.6,286,5.9
3215.854,21.4,57.6,1008.9,False,31.6,289,6.5
3275.829,21.4,57.8,1009.0,False,31.4,289,5.9
3335.871,21.4,57.5,1009.0,False,31.3,283,5.3
3395.592,21.5,57.1,1009.0,False,31.3,283,6.2
3455.589,21.5,57.2,1008.9,False,31.3,289,6.4
3515.601,21.5,57.2,1008.9,False,31.3,283,4.6
3575.591,21.6,57.1,1008.9,False,31.3,296,5.5
3635.59,21.6,57.0,1009.1,False,31.0,288,6.0
3695.599,21.6,57.2,1008.9,False,31.0,294,5.1
3755.591,21.7,57.4,1009.1,False,31.0,287,6.1
3815.77,21.7,56.7,1009.0,False,30.9,289,6.9
3875.814,21.5,57.1,1009.2,False,30.8,289,7.1
3935.703,21.5,57.3,1009.1,False,30.8,295,5.8
3995.638,21.5,57.4,1009.0,False,30.5,288,6.2
4055.838,21.4,57.5,1009.1,False,30.5,280,6.2
4115.593,21.5,58.0,1009.1,False,30.5,285,4.0
4175.593,21.7,58.0,1009.2,False,30.7,281,4.1
4235.595,21.8,57.3,1009.1,False,30.8,294,4.6
4295.591,21.8,57.2,1009.2,False,30.8,287,4.7
4355.592,21.8,56.6,1009.2,False,30.5,291,5.9
4415.59,21.7,57.4,1009.2,False,30.3,291,5.4
4475.596,21.7,57.6,1009.2,False,30.2,289,3.8
4535.592,21.7,57.0,1009.1,False,30.2,285,5.2
4595.648,21.7,57.0,1009.2,False,30.1,281,6.2
4655.59,21.6,57.4,1009.3,False,29.9,284,5.8
4715.583,21.6,57.8,1009.4,False,29.9,282,4.7
4775.604,21.7,57.4,1009.3,False,29.9,292,4.6
4835.59,21.8,57.1,1009.4,False,29.7,288,4.1
4895.811,21.9,57.1,1009.3,False,29.7,298,3.7
4955.596,21.9,56.3,1009.3,False,29.9,283,5.0
5015.589,21.9,56.4,1009.4,False,29.6,290,5.0
5075.598,21.7,56.7,1009.4,False,29.5,282,5.1
5135.59,21.6,56.9,1009.3,False,29.4,289,5.8
5195.591,21.6,56.7,1009.3,False,29.4,295,5.1
5255.59,21.5,57.3,1009.3,False,29.3,290,5.9
5315.87,21.6,57.4,1009.4,False,29.4,291,5.3
5375.595,21.7,57.1,1009.4,False,29.4,285,5.3
5435.769,21.6,56.7,1009.3,False,29.2,281,6.8
5495.876,21.5,57.1,1009.4,False,29.2,289,6.7
5555.665,21.5,57.5,1009.4,False,29.2,282,6.0
5615.681,21.4,57.4,1009.4,False,28.9,288,7.9
5675.591,21.4,57.6,1009.4,False,28.9,278,5.5
5735.589,21.4,57.7,1009.4,False,28.9,289,5.8
5795.592,21.5,57.3,1009.5,False,29.0,283,5.2
5855.588,21.5,56.9,1009.4,False,28.9,283,6.9
5915.708,21.4,57.5,1009.5,False,28.8,279,5.0
5975.59,21.5,57.6,1009.5,False,28.8,282,6.0
6035.591,21.5,57.6,1009.5,False,28.9,293,5.0
6095.607,21.6,56.9,1009.5,False,28.7,287,5.6
6155.588,21.5,56.9,1009.4,False,28.4,282,7.0
6215.675,21.3,57.7,1009.5,False,28.4,287,6.9
6275.611,21.3,57.8,1009.5,False,28.4,289,5.4
6335.59,21.3,58.1,1009.5,False,28.5,278,6.1
6395.657,21.4,58.0,1009.5,False,28.6,282,4.2
6455.694,21.5,57.2,1009.5,False,28.6,295,4.3
6515.605,21.6,57.2,1009.6,False,28.5,291,4.0
6575.588,21.6,57.4,1009.6,False,28.5,287,4.5
6635.589,21.5,57.3,1009.5,False,28.4,284,5.7
6695.63,21.4,57.6,1009.4,False,28.2,293,5.9
6755.647,21.4,58.2,1009.5,False,28.2,271,4.8
6815.593,21.4,57.7,1009.5,False,28.2,285,4.3
6875.639,21.4,57.2,1009.5,False,27.9,287,6.0
6935.817,21.3,57.6,1009.6,False,27.9,287,4.5
6995.592,21.4,57.6,1009.6,False,28.0,295,4.1
7055.591,21.4,56.9,1009.7,False,28.0,282,5.1
7115.658,21.4,57.3,1009.8,False,28.1,283,4.3
7175.848,21.4,57.0,1009.7,False,28.1,284,4.8
7235.596,21.4,57.2,1009.7,False,28.0,278,4.6
7295.589,21.4,57.1,1009.5,False,27.8,282,5.2
7355.59,21.2,57.7,1009.7,False,27.7,294,5.6
7415.588,21.3,57.8,1009.8,False,27.7,281,4.2
