Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
1177.582,RIC,3,,1.0,1.0,1084.771,,,34.931,26.603,,1151.008,1177.829,265.0,279.0,248.0,285.0,False,HARD,1.0,True,Renault,1084.771,2019-10-25 19:03:06.946,1,,False,,False,False
1258.657,RIC,3,81.075,2.0,1.0,,,28.383,31.264,21.428,1205.965,1237.229,1258.657,311.0,291.0,249.0,343.0,True,HARD,2.0,True,Renault,1177.582,2019-10-25 19:04:39.757,1,,False,,False,True
1356.977,RIC,3,98.32,3.0,1.0,,,31.261,42.465,24.594,1289.918,1332.383,1356.977,269.0,264.0,250.0,314.0,False,HARD,3.0,True,Renault,1258.657,2019-10-25 19:06:00.832,1,,False,,False,True
1436.805,RIC,3,79.828,4.0,1.0,,,28.106,31.141,20.581,1385.083,1416.224,1436.805,312.0,291.0,252.0,343.0,True,HARD,4.0,True,Renault,1356.977,2019-10-25 19:07:39.152,1,,False,,False,True
1538.473,RIC,3,101.668,5.0,1.0,,,32.175,41.695,27.798,1468.98,1510.675,1538.473,237.0,172.0,251.0,316.0,False,HARD,5.0,True,Renault,1436.805,2019-10-25 19:08:58.980,1,,False,,False,True
1639.754,RIC,3,101.281,6.0,1.0,,,40.011,36.993,24.277,1578.484,1615.477,1639.754,80.0,268.0,251.0,348.0,False,HARD,6.0,True,Renault,1538.473,2019-10-25 19:10:40.648,1,,False,,False,True
1731.009,RIC,3,91.255,7.0,1.0,,1728.459,29.372,34.891,26.992,1669.126,1704.017,1731.009,262.0,270.0,,344.0,False,HARD,7.0,True,Renault,1639.754,2019-10-25 19:12:21.929,12,,False,,False,False
3311.746,RIC,3,,8.0,2.0,3220.91,,,36.019,23.679,,3288.283,3311.872,276.0,274.0,255.0,294.0,False,SOFT,1.0,True,Renault,3220.91,2019-10-25 19:38:43.085,1,,False,,False,False
3390.126,RIC,3,78.38,9.0,2.0,,,27.642,30.307,20.431,3339.388,3369.695,3390.126,314.0,294.0,249.0,344.0,True,SOFT,2.0,True,Renault,3311.746,2019-10-25 19:40:13.921,1,,False,,False,True
3495.104,RIC,3,104.978,10.0,2.0,,,38.534,41.584,24.86,3428.66,3470.244,3495.104,197.0,259.0,252.0,315.0,False,SOFT,3.0,True,Renault,3390.126,2019-10-25 19:41:32.301,1,,False,,False,True
3574.252,RIC,3,79.148,11.0,2.0,,,27.794,30.979,20.375,3522.898,3553.877,3574.252,316.0,291.0,252.0,346.0,False,SOFT,4.0,True,Renault,3495.104,2019-10-25 19:43:17.279,1,,False,,False,True
3671.574,RIC,3,97.322,12.0,2.0,,3668.948,32.698,37.076,27.548,3606.95,3644.026,3671.574,261.0,271.0,,317.0,False,SOFT,5.0,True,Renault,3574.252,2019-10-25 19:44:36.427,1,,False,,False,False
4603.138,RIC,3,,13.0,3.0,4500.214,,,36.677,22.331,,4580.882,4603.219,284.0,276.0,243.0,262.0,False,SOFT,6.0,False,Renault,3671.574,2019-10-25 19:46:13.749,1,,False,,False,False
4685.853,RIC,3,82.715,14.0,3.0,,,29.05,32.358,21.307,4632.188,4664.546,4685.853,297.0,279.0,245.0,325.0,False,SOFT,7.0,False,Renault,4603.138,2019-10-25 20:01:45.313,1,,False,,False,True
4769.379,RIC,3,83.526,15.0,3.0,,,29.368,32.829,21.329,4715.221,4748.05,4769.379,,280.0,244.0,,False,SOFT,8.0,False,Renault,4685.853,2019-10-25 20:03:08.028,1,,False,,False,True
4852.578,RIC,3,83.199,16.0,3.0,,,29.288,32.474,21.437,4798.667,4831.141,4852.578,295.0,280.0,243.0,326.0,False,SOFT,9.0,False,Renault,4769.379,2019-10-25 20:04:31.554,1,,False,,False,True
4936.458,RIC,3,83.88,17.0,3.0,,,29.264,32.894,21.722,4881.842,4914.736,4936.458,296.0,280.0,244.0,327.0,False,SOFT,10.0,False,Renault,4852.578,2019-10-25 20:05:54.753,1,,False,,False,True
5025.266,RIC,3,88.808,18.0,3.0,,,29.439,33.188,26.181,4965.897,4999.085,5025.266,293.0,285.0,236.0,336.0,False,SOFT,11.0,False,Renault,4936.458,2019-10-25 20:07:18.633,1,,False,,False,True
5109.154,RIC,3,83.888,19.0,3.0,,,29.445,32.739,21.704,5054.711,5087.45,5109.154,295.0,280.0,241.0,327.0,False,SOFT,12.0,False,Renault,5025.266,2019-10-25 20:08:47.441,1,,False,,False,True
5193.307,RIC,3,84.153,20.0,3.0,,,29.411,32.796,21.946,5138.565,5171.361,5193.307,296.0,279.0,241.0,,False,SOFT,13.0,False,Renault,5109.154,2019-10-25 20:10:11.329,1,,False,,False,True
5281.948,RIC,3,88.641,21.0,3.0,,5280.419,29.513,33.212,25.916,5222.82,5256.032,5281.948,297.0,278.0,,,False,SOFT,14.0,False,Renault,5193.307,2019-10-25 20:11:35.482,1,,False,,False,False
5394.15,RIC,3,112.202,22.0,4.0,5303.86,,54.917,34.817,22.468,5336.865,5371.682,5394.15,264.0,277.0,242.0,173.0,False,HARD,8.0,False,Renault,5281.948,2019-10-25 20:13:04.123,1,,False,,False,False
5478.296,RIC,3,84.146,23.0,4.0,,,29.546,32.837,21.763,5423.696,5456.533,5478.296,296.0,278.0,244.0,326.0,False,HARD,9.0,False,Renault,5394.15,2019-10-25 20:14:56.325,1,,False,,False,True
5560.959,RIC,3,82.663,24.0,4.0,,,29.05,32.356,21.257,5507.346,5539.702,5560.959,298.0,279.0,246.0,327.0,False,HARD,10.0,False,Renault,5478.296,2019-10-25 20:16:20.471,1,,False,,False,True
5643.773,RIC,3,82.814,25.0,4.0,,,29.065,32.346,21.403,5590.024,5622.37,5643.773,,281.0,246.0,328.0,False,HARD,11.0,False,Renault,5560.959,2019-10-25 20:17:43.134,1,,False,,False,True
5727.563,RIC,3,83.79,26.0,4.0,,,29.136,32.874,21.78,5672.909,5705.783,5727.563,295.0,280.0,245.0,329.0,False,HARD,12.0,False,Renault,5643.773,2019-10-25 20:19:05.948,1,,False,,False,True
5810.367,RIC,3,82.804,27.0,4.0,,,29.021,32.459,21.324,5756.584,5789.043,5810.367,293.0,279.0,246.0,327.0,False,HARD,13.0,False,Renault,5727.563,2019-10-25 20:20:29.738,1,,False,,False,True
