Time,Category,Message,Status,Flag,Scope,Sector,RacingNumber,Lap
2019-11-02 17:45:05,Other,RISK OF RAIN FOR F1 THIRD PRACTICE SESSION IS 0%,,,,,,
2019-11-02 18:00:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,
2019-11-02 18:15:48,Flag,YELLOW IN TRACK SECTOR 19,,YELLOW,Sector,19.0,,
2019-11-02 18:16:06,SafetyCar,VIRTUAL SAFETY CAR DEPLOYED,DEPLOYED,,,,,
2019-11-02 18:16:32,CarEvent,CAR 16 (LEC) STOPPED AT TURN 19,,,,,16,
2019-11-02 18:18:05,SafetyCar,VIRTUAL SAFETY CAR ENDING,ENDING,,,,,
2019-11-02 18:18:17,Flag,TRACK CLEAR,,CLEAR,Track,,,
2019-11-02 18:18:18,Flag,CLEAR IN TRACK SECTOR 19,,CLEAR,Sector,19.0,,
2019-11-02 18:18:19,Drs,DRS ENABLED,ENABLED,,,,,
2019-11-02 18:30:33,Other,CAR 5 (VET) TIME 1:34.339 DELETED - TRACK LIMITS AT TURN 19,,,,,,
2019-11-02 19:00:00,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,,
2019-11-02 19:00:09,Other,FIRST CAR TO TAKE THE FLAG - 23,,,,,,
