Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
1966.281,RIC,3,,1.0,1.0,1837.506,,,51.257,53.698,,1912.6,1966.409,233.0,162.0,220.0,253.0,False,MEDIUM,1.0,True,Renault,1837.506,2019-11-29 13:15:37.655,1,,False,,False,False
2065.48,RIC,3,99.199,2.0,1.0,,,17.644,42.118,39.437,1983.925,2026.043,2065.48,281.0,310.0,220.0,317.0,True,MEDIUM,2.0,True,Renault,1966.281,2019-11-29 13:17:46.430,1,,False,,False,True
2212.535,RIC,3,147.055,3.0,1.0,,,25.715,63.86,57.48,2091.195,2155.055,2212.535,238.0,240.0,221.0,181.0,False,MEDIUM,3.0,True,Renault,2065.48,2019-11-29 13:19:25.629,1,,False,,False,True
2311.657,RIC,3,99.122,4.0,1.0,,,17.609,42.196,39.317,2230.144,2272.34,2311.657,280.0,307.0,214.0,312.0,True,MEDIUM,4.0,True,Renault,2212.535,2019-11-29 13:21:52.684,1,,False,,False,True
2436.569,RIC,3,124.912,5.0,1.0,,2436.267,21.711,52.664,50.537,2333.368,2386.032,2436.569,250.0,253.0,,198.0,False,MEDIUM,5.0,True,Renault,2311.657,2019-11-29 13:23:31.806,1,,False,,False,False
3456.445,RIC,3,,6.0,2.0,3317.108,,,60.408,54.213,,3402.256,3456.569,231.0,227.0,223.0,193.0,False,SOFT,1.0,True,Renault,2436.569,2019-11-29 13:25:36.718,1,,False,,False,False
3555.068,RIC,3,98.623,7.0,2.0,,,17.613,41.957,39.053,3474.058,3516.015,3555.068,286.0,314.0,222.0,323.0,True,SOFT,2.0,True,Renault,3456.445,2019-11-29 13:42:36.594,1,,False,,False,True
3698.178,RIC,3,143.11,8.0,2.0,,,23.171,64.096,55.843,3578.239,3642.335,3698.178,244.0,241.0,221.0,158.0,False,SOFT,3.0,True,Renault,3555.068,2019-11-29 13:44:15.217,1,,False,,False,True
3796.578,RIC,3,98.4,9.0,2.0,,,17.547,41.918,38.935,3715.725,3757.643,3796.578,287.0,313.0,220.0,320.0,True,SOFT,4.0,True,Renault,3698.178,2019-11-29 13:46:38.327,1,,False,,False,True
3921.112,RIC,3,124.534,10.0,2.0,,3920.061,20.803,54.236,49.495,3817.381,3871.617,3921.112,249.0,235.0,,198.0,False,SOFT,5.0,True,Renault,3796.578,2019-11-29 13:48:16.727,12,,False,,False,False
4653.049,RIC,3,,11.0,3.0,4543.565,,,46.194,43.119,,4609.93,4653.333,247.0,284.0,212.0,294.0,False,SOFT,6.0,False,Renault,3921.112,2019-11-29 13:50:21.261,1,,False,,False,False
4756.851,RIC,3,103.802,12.0,3.0,,,18.338,43.77,41.694,4671.387,4715.157,4756.851,272.0,288.0,215.0,297.0,False,SOFT,7.0,False,Renault,4653.049,2019-11-29 14:02:33.198,1,,False,,False,True
4861.513,RIC,3,104.662,13.0,3.0,,,18.403,44.051,42.208,4775.254,4819.305,4861.513,,285.0,214.0,298.0,False,SOFT,8.0,False,Renault,4756.851,2019-11-29 14:04:17.000,1,,False,,False,True
4966.711,RIC,3,105.198,14.0,3.0,,,18.391,44.25,42.557,4879.904,4924.154,4966.711,275.0,283.0,212.0,301.0,False,SOFT,9.0,False,Renault,4861.513,2019-11-29 14:06:01.662,1,,False,,False,True
5071.116,RIC,3,104.405,15.0,3.0,,,18.366,44.198,41.841,4985.077,5029.275,5071.116,279.0,288.0,214.0,312.0,False,SOFT,10.0,False,Renault,4966.711,2019-11-29 14:07:46.860,1,,False,,False,True
5176.594,RIC,3,105.478,16.0,3.0,,,18.443,44.876,42.159,5089.559,5134.435,5176.594,270.0,282.0,213.0,294.0,False,SOFT,11.0,False,Renault,5071.116,2019-11-29 14:09:31.265,12,,False,,False,True
5647.436,RIC,3,,17.0,3.0,,5314.632,,,,,,,,,,,False,SOFT,12.0,False,Renault,5176.594,2019-11-29 14:11:16.743,15,,False,,False,False
5761.853,RIC,3,,18.0,4.0,5647.436,,,46.017,48.37,,5713.517,5762.044,271.0,277.0,192.0,296.0,False,MEDIUM,6.0,False,Renault,5647.436,2019-11-29 14:19:07.585,1,,False,,False,False
