Time,Status,Message
0.0,1,AllClear
4831.869,6,VSCDeployed
4866.568,7,VSCEnding
4879.543,1,AllClear
5042.387,2,Yellow
5053.156,1,AllClear
5353.9,2,Yellow
5362.884,1,AllClear
5362.884,6,VSCDeployed
5362.884,7,VSCEnding
5362.884,1,AllClear
5362.884,2,Yellow
5362.884,1,AllClear
5362.884,2,Yellow
5362.884,1,AllClear
5362.884,6,VSCDeployed
5362.884,7,VSCEnding
5362.884,1,AllClear
5362.884,2,Yellow
5362.884,1,AllClear
5362.884,2,Yellow
5362.884,1,AllClear
5362.884,6,VSCDeployed
5362.884,7,VSCEnding
5362.884,1,AllClear
5362.884,2,Yellow
5362.884,1,AllClear
5362.884,2,Yellow
5362.884,1,AllClear
