Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
1064.45,GAS,10,,1.0,1.0,962.644,1061.048,,44.103,35.765,,1028.685,1064.508,264.0,138.0,,270.0,False,SOFT,1.0,True,AlphaTauri,962.644,2020-07-04 10:01:03.960,1,,False,,False,False
2116.572,GAS,10,,2.0,2.0,2031.43,,,37.404,27.406,,2089.166,2118.684,255.0,201.0,279.0,275.0,False,SOFT,2.0,False,AlphaTauri,1064.45,2020-07-04 10:02:45.766,1,,False,,False,False
2182.545,GAS,10,65.973,3.0,2.0,,,16.689,29.154,20.13,2133.261,2162.415,2182.545,313.0,240.0,282.0,313.0,True,SOFT,3.0,False,AlphaTauri,2116.572,2020-07-04 10:20:17.888,1,,False,,False,True
2284.203,GAS,10,101.658,4.0,2.0,,,20.764,52.035,28.859,2203.309,2255.344,2284.203,258.0,170.0,284.0,168.0,False,SOFT,4.0,False,AlphaTauri,2182.545,2020-07-04 10:21:23.861,1,,False,,False,True
3277.141,GAS,10,,5.0,2.0,,2392.239,16.532,,,2300.78,,,314.0,,,130.0,False,SOFT,5.0,False,AlphaTauri,2284.203,2020-07-04 10:23:05.519,125,,False,,False,False
3363.202,GAS,10,,6.0,3.0,3277.141,,,36.516,30.593,,3332.609,3363.381,265.0,202.0,281.0,277.0,False,SOFT,6.0,False,AlphaTauri,3277.141,2020-07-04 10:39:38.457,1,,False,,False,False
3429.418,GAS,10,66.216,7.0,3.0,,,16.637,29.341,20.238,3379.839,3409.18,3429.418,308.0,239.0,281.0,311.0,False,SOFT,7.0,False,AlphaTauri,3363.202,2020-07-04 10:41:04.518,1,,False,,False,True
3522.166,GAS,10,92.748,8.0,3.0,,,18.708,46.28,27.76,3448.126,3494.406,3522.166,259.0,93.0,281.0,156.0,False,SOFT,8.0,False,AlphaTauri,3429.418,2020-07-04 10:42:10.734,1,,False,,False,True
3588.021,GAS,10,65.855,9.0,3.0,,,16.567,29.248,20.04,3538.733,3567.981,3588.021,309.0,239.0,282.0,308.0,True,SOFT,9.0,False,AlphaTauri,3522.166,2020-07-04 10:43:43.482,1,,False,,False,True
3661.064,GAS,10,73.043,10.0,3.0,,3657.791,17.979,31.257,23.807,3606.0,3637.257,3661.064,286.0,226.0,,289.0,False,SOFT,10.0,False,AlphaTauri,3588.021,2020-07-04 10:44:49.337,1,,False,,False,False
