Time,Category,Message,Status,Flag,Scope,Sector,RacingNumber,Lap
2020-07-04 12:56:53,Other,RISK OF RAIN FOR F1 QUALIFYING SESSION IS 0%,,,,,,
2020-07-04 13:00:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,
2020-07-04 13:18:00,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,,
2020-07-04 13:25:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,
2020-07-04 13:40:00,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,,
2020-07-04 13:48:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,
2020-07-04 13:59:58,Flag,YELLOW IN TRACK SECTOR 9,,YELLOW,Sector,9.0,,
2020-07-04 14:00:00,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,,
2020-07-04 14:00:05,Flag,CLEAR IN TRACK SECTOR 9,,CLEAR,Sector,9.0,,
2020-07-04 14:00:06,Flag,YELLOW IN TRACK SECTOR 10,,YELLOW,Sector,10.0,,
2020-07-04 14:00:10,Flag,CLEAR IN TRACK SECTOR 10,,CLEAR,Sector,10.0,,
2020-07-04 14:00:25,CarEvent,CAR 77 (BOT) OFF TRACK AND CONTINUED AT TURN 5,,,,,77,
2020-07-04 14:19:39,SafetyCar,SAFETY CAR THROUGH THE PIT LANE,THROUGH THE PIT LANE,,,,,
2020-07-04 14:22:54,Other,PIT LANE ENTRY CLEAR,,,,,,
