Time,Category,Message,Status,Flag,Scope,Sector,RacingNumber,Lap
2020-07-17 08:45:19,Other,RISK OF RAIN FOR F1 FIRST PRACTICE SESSION IS 20%,,,,,,
2020-07-17 09:00:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,
2020-07-17 09:26:03,CarEvent,CAR 20 (MAG) MISSED THE APEX OF TURN 7,,,,,20,
2020-07-17 09:28:22,Flag,YELLOW IN TRACK SECTOR 3,,YELLOW,Sector,3.0,,
2020-07-17 09:28:23,Other,DRS DISABLED IN ZONE 1,,,,,,
2020-07-17 09:28:23,Other,DRS DISABLED IN ZONE 2,,,,,,
2020-07-17 09:28:29,Other,DRS ENABLED IN ZONE 1,,,,,,
2020-07-17 09:28:29,Other,DRS ENABLED IN ZONE 2,,,,,,
2020-07-17 09:28:29,Flag,CLEAR IN TRACK SECTOR 3,,CLEAR,Sector,3.0,,
2020-07-17 09:29:00,CarEvent,CAR 88 (KUB) SPUN AND CONTINUED AT TURN 1,,,,,88,
2020-07-17 09:31:11,Other,CAR 31 (OCO) TIME 1:22.226 DELETED - TRACK LIMITS AT TURN 12,,,,,,
2020-07-17 09:59:05,Other,CAR 23 (ALB) TIME 1:17.948 DELETED - TRACK LIMITS AT TURN 11,,,,,,
2020-07-17 10:17:25,Other,CAR 20 (MAG) TIME 1:23.355 DELETED - TRACK LIMITS AT TURN 4,,,,,,
2020-07-17 10:24:25,Other,CAR 23 (ALB) TIME 1:23.657 DELETED - TRACK LIMITS AT TURN 4,,,,,,
2020-07-17 10:30:00,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,,
2020-07-17 10:31:39,Other,CAR 77 (BOT) TIME 1:23.375 DELETED - TRACK LIMITS AT TURN 12,,,,,,
2020-07-17 10:40:39,Other,RISK OF RAIN FOR F2 PRACTICE SESSION IS 70% ,,,,,,
2020-07-17 10:43:13,SafetyCar,SAFETY CAR THROUGH THE PIT LANE,THROUGH THE PIT LANE,,,,,
2020-07-17 10:43:26,Other,PIT LANE ENTRY CLEAR,,,,,,
