Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
56.016,16.2,89.8,987.6,True,20.1,116,1.5
116.016,16.2,89.9,987.5,True,20.1,126,1.0
176.018,16.2,90.0,987.6,True,20.1,139,1.2
236.025,16.2,90.0,987.6,True,20.1,69,1.1
296.033,16.2,89.8,987.6,True,20.0,116,1.2
356.025,16.3,90.1,987.6,True,20.1,93,1.1
416.025,16.3,90.0,987.6,True,20.2,99,0.9
476.03,16.3,90.1,987.6,True,20.2,144,1.2
536.027,16.3,90.0,987.5,True,20.2,132,1.4
596.026,16.3,90.1,987.5,True,20.2,76,1.1
656.028,16.3,90.5,987.5,True,20.3,79,0.7
716.028,16.3,90.1,987.5,True,20.3,100,1.0
776.026,16.3,90.0,987.5,True,20.4,68,1.3
836.027,16.3,90.3,987.5,True,20.4,39,0.9
896.034,16.3,90.2,987.6,True,20.3,61,0.8
956.027,16.2,90.1,987.6,True,20.3,87,0.5
1016.044,16.2,90.2,987.6,True,20.4,87,0.8
1076.401,16.1,89.7,987.6,True,20.4,75,0.7
1136.043,16.1,89.8,987.7,True,20.4,116,1.0
1196.057,16.1,89.9,987.6,True,20.3,84,1.1
1256.075,16.1,89.6,987.7,True,20.3,85,1.1
1316.077,16.2,90.1,987.7,True,20.3,129,1.2
1376.089,16.0,89.0,987.7,True,20.3,107,1.6
1436.112,15.9,89.4,987.7,True,19.9,102,1.4
1496.119,15.9,89.6,987.7,True,20.0,91,1.9
1556.137,15.9,89.8,987.8,True,20.1,117,1.5
1616.136,16.0,89.7,987.7,True,20.0,112,1.3
1676.118,16.0,89.4,987.6,True,20.0,103,1.4
1736.122,16.0,89.6,987.8,True,20.0,124,1.2
1796.134,16.0,89.4,987.8,True,20.0,122,1.1
1856.136,16.0,89.5,987.8,True,20.0,105,0.6
1916.152,16.1,90.0,987.7,True,20.0,129,1.3
1976.151,16.1,89.6,987.8,True,20.0,119,0.7
2036.161,16.1,89.5,987.8,True,20.2,113,0.7
2096.151,16.0,89.6,987.8,True,20.2,106,0.7
2156.153,16.0,89.5,987.8,True,20.2,126,1.1
2216.15,16.1,89.6,987.7,True,20.2,68,0.8
2276.162,16.2,89.5,987.8,True,20.2,73,0.8
2336.151,16.0,89.1,987.7,True,20.2,126,0.6
2396.158,16.2,89.8,987.8,True,20.2,102,1.0
2456.169,16.2,89.4,987.7,True,20.1,89,1.1
2516.169,16.2,89.4,987.8,True,20.0,119,1.1
2576.169,16.2,89.4,987.7,True,20.0,95,1.3
2636.184,16.0,89.4,987.7,True,20.0,132,1.5
2696.198,16.2,89.5,987.7,True,20.0,119,0.9
2756.204,16.2,89.3,987.7,True,20.0,83,1.3
2816.215,16.0,89.3,987.8,True,19.9,96,1.4
2876.228,16.0,89.1,987.8,True,19.7,109,1.6
2936.243,15.9,89.1,987.7,True,19.6,151,1.9
2996.243,15.9,89.3,987.7,True,19.5,88,1.2
3056.246,15.9,89.5,987.7,True,19.5,97,1.4
