Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
2073.298,HAM,44,95.67,1.0,1.0,,,,32.671,26.1,,2047.338,2073.532,270.0,227.0,235.0,239.0,False,INTERMEDIATE,1.0,True,Mercedes,1977.486,2020-07-19 13:12:57.686,1,1.0,False,,False,False
2164.756,HAM,44,91.458,2.0,1.0,,,32.414,32.885,26.159,2105.799,2138.684,2164.843,268.0,227.0,234.0,280.0,True,INTERMEDIATE,2.0,True,Mercedes,2073.298,2020-07-19 13:14:33.498,1,1.0,False,,False,True
2259.672,HAM,44,94.916,3.0,1.0,,2258.044,32.579,32.694,29.643,2197.422,2230.116,2259.759,269.0,225.0,,281.0,False,INTERMEDIATE,3.0,True,Mercedes,2164.756,2020-07-19 13:16:04.956,1,1.0,False,,False,False
2373.493,HAM,44,113.821,4.0,2.0,2283.24,,55.604,32.267,25.95,2315.363,2347.63,2373.58,265.0,228.0,242.0,,False,MEDIUM,1.0,True,Mercedes,2259.672,2020-07-19 13:17:39.872,12,3.0,False,,False,False
2459.391,HAM,44,85.898,5.0,2.0,,,32.078,30.551,23.269,2405.658,2436.209,2459.478,268.0,237.0,249.0,282.0,True,MEDIUM,2.0,True,Mercedes,2373.493,2020-07-19 13:19:33.693,12,1.0,False,,False,True
2543.382,HAM,44,83.991,6.0,2.0,,,30.868,29.899,23.224,2490.346,2520.245,2543.469,270.0,239.0,248.0,284.0,True,MEDIUM,3.0,True,Mercedes,2459.391,2020-07-19 13:20:59.591,1,1.0,False,,False,True
2626.709,HAM,44,83.327,7.0,2.0,,,30.844,29.482,23.001,2574.313,2603.795,2626.796,272.0,239.0,248.0,283.0,True,MEDIUM,4.0,True,Mercedes,2543.382,2020-07-19 13:22:23.582,1,1.0,False,,False,True
2708.879,HAM,44,82.17,8.0,2.0,,,30.058,29.108,23.004,2656.854,2685.962,2708.966,274.0,241.0,249.0,,True,MEDIUM,5.0,True,Mercedes,2626.709,2020-07-19 13:23:46.909,1,1.0,False,,False,True
2791.009,HAM,44,82.13,9.0,2.0,,,29.887,29.35,22.893,2738.853,2768.203,2791.096,,239.0,249.0,285.0,True,MEDIUM,6.0,True,Mercedes,2708.879,2020-07-19 13:25:09.079,1,1.0,False,,False,True
2872.531,HAM,44,81.522,10.0,2.0,,,29.624,28.925,22.973,2820.72,2849.645,2872.618,276.0,241.0,247.0,286.0,True,MEDIUM,7.0,True,Mercedes,2791.009,2020-07-19 13:26:31.209,1,1.0,False,,False,True
2954.658,HAM,44,82.127,11.0,2.0,,,29.738,29.268,23.121,2902.356,2931.624,2954.745,,239.0,247.0,285.0,False,MEDIUM,8.0,True,Mercedes,2872.531,2020-07-19 13:27:52.731,1,1.0,False,,False,True
3036.544,HAM,44,81.886,12.0,2.0,,,29.578,29.269,23.039,2984.323,3013.592,3036.631,277.0,239.0,246.0,287.0,False,MEDIUM,9.0,True,Mercedes,2954.658,2020-07-19 13:29:14.858,1,1.0,False,,False,True
3118.417,HAM,44,81.873,13.0,2.0,,,29.477,29.238,23.158,3066.108,3095.346,3118.504,275.0,238.0,246.0,283.0,False,MEDIUM,10.0,True,Mercedes,3036.544,2020-07-19 13:30:36.744,1,1.0,False,,False,True
3200.137,HAM,44,81.72,14.0,2.0,,,29.643,28.979,23.098,3148.147,3177.126,3200.224,274.0,242.0,246.0,284.0,False,MEDIUM,11.0,True,Mercedes,3118.417,2020-07-19 13:31:58.617,1,1.0,False,,False,True
3281.757,HAM,44,81.62,15.0,2.0,,,29.5,29.02,23.1,3229.724,3258.744,3281.844,,240.0,246.0,283.0,False,MEDIUM,12.0,True,Mercedes,3200.137,2020-07-19 13:33:20.337,1,1.0,False,,False,True
3363.193,HAM,44,81.436,16.0,2.0,,,29.417,28.918,23.101,3311.261,3340.179,3363.28,275.0,241.0,246.0,,True,MEDIUM,13.0,True,Mercedes,3281.757,2020-07-19 13:34:41.957,1,1.0,False,,False,True
3445.048,HAM,44,81.855,17.0,2.0,,,29.502,29.278,23.075,3392.782,3422.06,3445.135,,240.0,246.0,,False,MEDIUM,14.0,True,Mercedes,3363.193,2020-07-19 13:36:03.393,1,1.0,False,,False,True
3526.411,HAM,44,81.363,18.0,2.0,,,29.377,28.742,23.244,3474.512,3503.254,3526.498,274.0,245.0,246.0,,True,MEDIUM,15.0,True,Mercedes,3445.048,2020-07-19 13:37:25.248,1,1.0,False,,False,True
3608.808,HAM,44,82.397,19.0,2.0,,,29.46,29.353,23.584,3555.958,3585.311,3608.895,276.0,236.0,246.0,285.0,False,MEDIUM,16.0,True,Mercedes,3526.411,2020-07-19 13:38:46.611,1,1.0,False,,False,True
3690.695,HAM,44,81.887,20.0,2.0,,,29.327,29.271,23.289,3638.222,3667.493,3690.782,,236.0,245.0,283.0,False,MEDIUM,17.0,True,Mercedes,3608.808,2020-07-19 13:40:09.008,1,1.0,False,,False,True
3772.502,HAM,44,81.807,21.0,2.0,,,29.332,29.068,23.407,3720.114,3749.182,3772.589,274.0,239.0,245.0,,False,MEDIUM,18.0,True,Mercedes,3690.695,2020-07-19 13:41:30.895,1,1.0,False,,False,True
3854.229,HAM,44,81.727,22.0,2.0,,,29.671,28.954,23.102,3802.26,3831.214,3854.316,271.0,241.0,246.0,284.0,False,MEDIUM,19.0,True,Mercedes,3772.502,2020-07-19 13:42:52.702,1,1.0,False,,False,True
3935.916,HAM,44,81.687,23.0,2.0,,,29.528,28.912,23.247,3883.844,3912.756,3936.003,273.0,243.0,245.0,,False,MEDIUM,20.0,True,Mercedes,3854.229,2020-07-19 13:44:14.429,1,1.0,False,,False,True
4017.257,HAM,44,81.341,24.0,2.0,,,29.388,28.796,23.157,3965.391,3994.187,4017.344,276.0,240.0,247.0,,True,MEDIUM,21.0,True,Mercedes,3935.916,2020-07-19 13:45:36.116,1,1.0,False,,False,True
4099.207,HAM,44,81.95,25.0,2.0,,,29.338,29.062,23.55,4046.682,4075.744,4099.294,277.0,240.0,245.0,286.0,False,MEDIUM,22.0,True,Mercedes,4017.257,2020-07-19 13:46:57.457,1,1.0,False,,False,True
4180.597,HAM,44,81.39,26.0,2.0,,,29.27,28.937,23.183,4128.564,4157.501,4180.684,278.0,240.0,246.0,285.0,False,MEDIUM,23.0,True,Mercedes,4099.207,2020-07-19 13:48:19.407,1,1.0,False,,False,True
4262.338,HAM,44,81.741,27.0,2.0,,,29.414,29.259,23.068,4210.098,4239.357,4262.425,279.0,243.0,246.0,287.0,False,MEDIUM,24.0,True,Mercedes,4180.597,2020-07-19 13:49:40.797,1,1.0,False,,False,True
4343.87,HAM,44,81.532,28.0,2.0,,,29.336,28.976,23.22,4291.761,4320.737,4343.957,278.0,241.0,247.0,285.0,False,MEDIUM,25.0,True,Mercedes,4262.338,2020-07-19 13:51:02.538,1,1.0,False,,False,True
4425.135,HAM,44,81.265,29.0,2.0,,,29.347,28.874,23.044,4373.304,4402.178,4425.222,277.0,242.0,247.0,287.0,True,MEDIUM,26.0,True,Mercedes,4343.87,2020-07-19 13:52:24.070,1,1.0,False,,False,True
4506.333,HAM,44,81.198,30.0,2.0,,,29.373,28.826,22.999,4454.595,4483.421,4506.42,276.0,242.0,247.0,284.0,True,MEDIUM,27.0,True,Mercedes,4425.135,2020-07-19 13:53:45.335,1,1.0,False,,False,True
4587.648,HAM,44,81.315,31.0,2.0,,,29.292,28.992,23.031,4535.712,4564.704,4587.735,274.0,240.0,247.0,285.0,False,MEDIUM,28.0,True,Mercedes,4506.333,2020-07-19 13:55:06.533,1,1.0,False,,False,True
4669.156,HAM,44,81.508,32.0,2.0,,,29.359,29.074,23.075,4617.094,4646.168,4669.243,278.0,242.0,248.0,,False,MEDIUM,29.0,True,Mercedes,4587.648,2020-07-19 13:56:27.848,1,1.0,False,,False,True
4750.709,HAM,44,81.553,33.0,2.0,,,29.278,29.03,23.245,4698.521,4727.551,4750.796,,241.0,250.0,287.0,False,MEDIUM,30.0,True,Mercedes,4669.156,2020-07-19 13:57:49.356,1,1.0,False,,False,True
4832.402,HAM,44,81.693,34.0,2.0,,,29.408,29.058,23.227,4780.204,4809.262,4832.489,273.0,240.0,248.0,291.0,False,MEDIUM,31.0,True,Mercedes,4750.709,2020-07-19 13:59:10.909,1,1.0,False,,False,True
4916.086,HAM,44,83.684,35.0,2.0,,,29.812,30.548,23.324,4862.301,4892.849,4916.173,280.0,223.0,247.0,288.0,False,MEDIUM,32.0,True,Mercedes,4832.402,2020-07-19 14:00:32.602,1,1.0,False,,False,True
4997.541,HAM,44,81.455,36.0,2.0,,,29.247,29.126,23.082,4945.42,4974.546,4997.628,279.0,241.0,250.0,,False,MEDIUM,33.0,True,Mercedes,4916.086,2020-07-19 14:01:56.286,1,1.0,False,,False,True
5081.515,HAM,44,83.974,37.0,2.0,,5079.882,29.261,28.96,25.753,5026.889,5055.849,5081.602,281.0,242.0,,289.0,False,MEDIUM,34.0,True,Mercedes,4997.541,2020-07-19 14:03:17.741,1,1.0,False,,False,False
5182.12,HAM,44,100.605,38.0,3.0,5102.103,,48.28,29.53,22.795,5129.882,5159.412,5182.207,276.0,239.0,249.0,,False,MEDIUM,4.0,False,Mercedes,5081.515,2020-07-19 14:04:41.715,1,1.0,False,,False,False
5262.421,HAM,44,80.301,39.0,3.0,,,28.95,28.776,22.575,5211.157,5239.933,5262.508,273.0,243.0,250.0,285.0,True,MEDIUM,5.0,False,Mercedes,5182.12,2020-07-19 14:06:22.320,1,1.0,False,,False,True
5342.513,HAM,44,80.092,40.0,3.0,,,28.846,28.629,22.617,5291.354,5319.983,5342.6,279.0,241.0,250.0,287.0,True,MEDIUM,6.0,False,Mercedes,5262.421,2020-07-19 14:07:42.621,1,1.0,False,,False,True
