Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
19.177,25.1,49.3,1001.4,False,32.5,217,2.0
79.186,25.1,49.8,1001.3,False,32.6,206,1.7
139.181,25.1,49.6,1001.4,False,32.7,216,1.4
199.182,25.3,48.0,1001.4,False,32.9,227,2.4
259.18,25.2,46.1,1001.4,False,33.3,241,2.6
319.186,25.4,46.5,1001.4,False,33.5,184,1.7
379.184,25.4,46.5,1001.4,False,33.5,202,1.5
439.184,25.3,47.6,1001.3,False,33.5,221,1.8
499.214,25.5,47.6,1001.3,False,34.1,192,1.3
559.216,25.6,47.3,1001.4,False,34.1,268,1.5
619.213,25.7,47.5,1001.4,False,34.2,199,0.8
679.219,25.9,47.4,1001.5,False,34.6,204,1.0
739.215,26.0,47.0,1001.5,False,34.7,191,1.0
799.221,25.9,47.5,1001.5,False,34.8,215,1.0
859.217,25.7,48.8,1001.5,False,34.7,226,1.4
919.221,25.7,49.4,1001.6,False,34.7,215,2.1
979.224,25.5,48.2,1001.5,False,34.4,207,1.5
1039.23,25.5,48.6,1001.5,False,34.5,191,1.2
1099.226,25.3,49.6,1001.5,False,34.6,231,2.7
1159.272,25.2,49.6,1001.5,False,34.7,223,2.7
1219.229,25.2,49.5,1001.5,False,34.9,210,2.3
1279.225,25.3,49.0,1001.5,False,35.0,247,1.7
1339.229,25.2,49.8,1001.4,False,35.0,227,1.3
1399.227,25.4,49.2,1001.4,False,35.4,257,1.0
1459.248,25.6,48.6,1001.5,False,35.8,184,1.2
1519.263,25.9,47.6,1001.5,False,36.1,220,1.7
1579.28,25.9,47.1,1001.5,False,36.2,211,1.6
1639.278,26.2,46.6,1001.5,False,36.5,225,1.1
1699.281,26.3,46.3,1001.5,False,36.5,222,2.1
1759.278,26.1,47.1,1001.5,False,36.6,223,1.6
1819.285,26.2,47.2,1001.5,False,36.6,237,1.3
1879.283,26.3,45.9,1001.5,False,36.9,203,1.3
1939.284,26.4,45.7,1001.4,False,37.2,198,1.3
1999.31,26.6,44.3,1001.5,False,37.2,219,2.3
2059.284,26.5,44.4,1001.4,False,37.2,227,2.8
2119.304,26.4,43.6,1001.5,False,37.2,222,3.4
2179.286,26.1,44.5,1001.5,False,36.7,214,2.7
2239.289,26.0,44.8,1001.5,False,36.7,212,2.1
2299.287,26.1,44.3,1001.5,False,37.4,233,1.9
2359.306,26.2,43.9,1001.5,False,37.6,189,2.5
2419.307,26.3,43.3,1001.5,False,37.9,219,1.2
2479.315,26.6,43.3,1001.5,False,37.9,208,2.1
2539.306,26.8,42.7,1001.5,False,38.1,223,3.0
2599.332,26.9,43.4,1001.6,False,38.2,216,2.0
2659.34,27.0,43.1,1001.5,False,38.2,213,2.0
2719.356,27.0,43.0,1001.5,False,38.4,212,2.4
2779.379,27.0,42.7,1001.5,False,38.5,211,2.3
2839.386,27.0,43.5,1001.4,False,38.5,212,3.1
2899.404,26.7,43.8,1001.4,False,38.1,201,3.0
2959.423,26.5,44.6,1001.4,False,38.1,220,1.9
3019.443,26.5,44.4,1001.4,False,38.1,262,2.5
3079.444,26.4,44.8,1001.4,False,38.2,200,0.6
3139.462,26.5,44.6,1001.4,False,38.4,210,1.0
3199.474,26.7,44.4,1001.5,False,38.7,191,2.0
3259.474,26.8,43.9,1001.4,False,39.2,201,2.9
3319.476,26.8,43.3,1001.4,False,39.2,179,1.9
3379.476,26.5,43.9,1001.4,False,39.1,166,1.9
3439.473,26.4,44.2,1001.3,False,39.1,215,1.1
3499.479,26.5,44.1,1001.3,False,39.1,189,1.0
3559.474,26.7,44.3,1001.3,False,39.3,221,1.7
3619.479,26.9,43.2,1001.3,False,39.9,156,1.1
3679.477,26.8,43.1,1001.2,False,39.9,145,1.0
3739.48,26.7,44.1,1001.3,False,39.9,200,1.4
3799.484,26.7,44.1,1001.3,False,39.9,200,1.4
3859.48,27.3,42.5,1001.3,False,40.5,228,2.0
3919.495,27.4,42.2,1001.3,False,40.6,229,1.6
3979.514,27.3,42.3,1001.3,False,40.5,13,0.8
4039.524,27.2,42.6,1001.3,False,40.2,0,1.0
4099.515,27.1,42.6,1001.2,False,40.0,270,0.6
4159.519,27.3,43.0,1001.2,False,40.1,204,1.8
4219.517,27.4,42.6,1001.3,False,40.8,231,2.1
4279.52,27.3,42.9,1001.3,False,41.0,205,2.1
4339.521,27.5,42.8,1001.2,False,41.0,214,2.0
4399.531,27.8,42.1,1001.2,False,41.8,222,1.9
4459.522,27.9,41.9,1001.2,False,41.8,211,2.1
4519.521,28.0,41.4,1001.2,False,41.5,209,2.5
4579.52,28.0,41.8,1001.1,False,41.6,204,2.1
4639.523,28.2,41.8,1001.1,False,41.6,188,1.8
4699.522,28.4,41.0,1001.1,False,41.9,194,1.9
4759.526,28.5,40.6,1001.2,False,41.9,206,2.0
4819.523,28.4,40.9,1001.0,False,41.9,209,1.9
4879.527,28.3,40.8,1001.0,False,41.8,232,2.2
4939.525,28.0,41.4,1001.0,False,41.8,183,1.2
4999.53,28.0,41.6,1001.0,False,41.3,296,0.9
5059.531,28.0,41.1,1001.0,False,41.5,250,0.8
5119.53,28.1,41.4,1000.9,False,41.5,259,0.6
5179.535,28.2,40.9,1001.0,False,42.0,224,0.7
5239.531,28.4,40.9,1000.9,False,42.2,183,0.9
5299.54,28.5,40.5,1001.0,False,42.7,202,1.7
