Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
24.634,26.4,52.8,1003.6,False,43.5,26,3.9
84.627,26.4,52.8,1003.6,False,43.4,15,3.3
144.625,26.4,52.9,1003.5,False,43.3,28,4.3
204.643,26.3,52.8,1003.7,False,43.4,24,4.7
264.623,26.2,52.8,1003.6,False,43.6,21,4.6
324.629,26.2,53.2,1003.6,False,43.6,24,3.9
384.627,26.4,52.2,1003.5,False,44.2,23,4.7
444.646,26.5,52.1,1003.5,False,44.2,25,4.3
504.629,26.5,52.1,1003.6,False,43.7,33,3.9
564.639,26.5,51.9,1003.6,False,43.7,24,3.9
624.649,26.6,52.3,1003.6,False,44.1,25,3.4
684.642,26.7,51.9,1003.7,False,44.3,29,3.8
744.675,26.4,52.0,1003.7,False,44.0,18,4.4
804.69,26.3,52.5,1003.6,False,43.9,35,3.7
864.678,26.3,52.5,1003.6,False,43.9,35,3.7
924.689,26.1,53.3,1003.6,False,43.5,29,3.7
984.682,26.1,53.4,1003.7,False,43.4,12,3.5
1044.686,26.2,53.3,1003.6,False,43.5,33,3.7
1104.68,26.3,52.7,1003.7,False,43.5,22,3.5
1164.708,26.3,53.2,1003.5,False,43.5,19,3.9
1224.731,26.4,53.0,1003.6,False,43.3,8,3.1
1284.714,26.6,52.7,1003.6,False,43.7,24,2.8
1344.737,26.9,51.5,1003.5,False,43.7,41,3.1
1404.729,26.7,51.7,1003.6,False,43.4,28,3.9
1464.733,26.5,52.6,1003.6,False,43.4,40,3.6
1524.729,26.5,51.9,1003.6,False,44.3,11,4.6
1584.731,26.3,53.1,1003.6,False,44.3,29,3.2
1644.734,26.5,52.4,1003.5,False,43.9,14,3.9
1704.741,26.4,52.8,1003.6,False,43.9,10,3.4
1764.739,26.4,53.2,1003.5,False,43.8,29,3.6
1824.745,26.5,52.9,1003.4,False,44.1,27,4.0
1884.734,26.5,52.6,1003.5,False,44.3,19,4.7
1944.721,26.4,53.0,1003.5,False,44.2,19,4.5
2004.728,26.3,53.1,1003.6,False,42.5,24,4.1
2064.728,26.2,52.9,1003.5,False,42.1,16,3.4
2124.744,26.3,52.9,1003.5,False,41.4,23,3.6
2184.745,26.2,53.2,1003.5,False,41.4,9,3.3
2244.751,26.2,53.1,1003.5,False,41.4,12,3.6
2304.727,26.1,53.7,1003.5,False,41.2,21,3.4
2364.755,26.2,53.4,1003.5,False,41.1,28,2.6
2424.74,26.2,53.7,1003.5,False,41.1,7,2.6
2484.755,26.2,54.1,1003.5,False,41.1,18,3.2
2544.746,26.4,52.9,1003.5,False,40.9,30,4.1
2604.747,26.4,53.2,1003.4,False,40.9,14,3.5
2664.739,26.3,53.1,1003.6,False,40.5,24,3.5
2724.743,26.1,53.3,1003.6,False,40.3,26,4.4
2784.739,26.0,53.8,1003.6,False,40.1,28,3.4
2844.747,26.0,53.8,1003.5,False,40.0,35,3.3
2904.772,25.9,54.1,1003.5,False,40.2,21,4.6
2964.786,25.8,54.9,1003.5,False,40.2,5,3.5
3024.806,25.9,54.9,1003.5,False,40.4,11,3.6
3084.821,25.9,54.6,1003.4,False,40.6,24,4.0
3144.797,25.9,54.7,1003.4,False,40.5,30,3.8
3204.794,25.9,54.1,1003.5,False,40.2,21,4.2
3264.815,25.8,54.3,1003.5,False,39.9,14,4.0
3324.823,25.8,54.7,1003.4,False,39.9,4,2.9
3384.825,25.8,54.4,1003.3,False,39.9,14,3.9
3444.845,26.0,54.6,1003.4,False,40.1,4,2.6
3504.838,26.1,53.6,1003.4,False,40.1,30,2.7
3564.862,26.1,53.4,1003.4,False,40.0,47,3.4
3624.878,26.0,53.3,1003.5,False,39.6,40,2.9
3684.888,25.9,54.0,1003.5,False,39.6,32,3.5
3744.875,25.9,54.0,1003.5,False,39.6,22,3.1
3804.883,25.9,54.2,1003.4,False,39.7,30,2.8
3864.883,25.9,54.3,1003.5,False,39.7,5,3.0
3924.894,25.9,54.3,1003.4,False,39.8,21,3.2
3984.891,26.0,53.9,1003.5,False,39.8,10,3.8
4044.9,25.9,54.3,1003.4,False,39.8,6,4.4
4104.899,25.9,54.4,1003.5,False,39.6,25,4.3
4164.893,26.0,53.9,1003.5,False,39.5,32,3.4
4224.895,26.0,54.0,1003.4,False,39.6,29,2.9
4284.897,26.1,53.8,1003.5,False,39.8,33,3.8
4344.893,26.0,54.3,1003.5,False,39.8,28,3.5
4404.889,26.1,54.0,1003.4,False,39.8,27,3.7
4464.894,26.0,54.3,1003.5,False,39.9,27,2.9
4524.923,26.1,54.2,1003.5,False,40.0,29,2.4
4584.914,26.2,54.3,1003.4,False,40.4,9,2.5
4644.885,26.5,53.7,1003.5,False,41.7,22,2.5
