Time,Category,Message,Status,Flag,Scope,Sector,RacingNumber,Lap
2020-09-04 08:49:40,Other,DRS ENABLED IN ZONE 2,,,,,,
2020-09-04 09:00:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,
2020-09-04 09:21:19,Other,CAR 23 (ALB) TIME 1:24.088 DELETED - TRACK LIMITS AT TURN 11,,,,,,
2020-09-04 09:22:54,Other,CAR 23 (ALB) TIME 1:53.212 DELETED - TRACK LIMITS AT TURN 11,,,,,,
2020-09-04 09:25:48,Other,CAR 20 (MAG) MISSED THE 2ND CHICANE,,,,,,
2020-09-04 09:26:01,Other,CAR 4 (NOR) TIME 1:23.756 DELETED - TRACK LIMITS AT TURN 11,,,,,,
2020-09-04 09:27:14,Other,CAR 20 (MAG) MISSED THE 1ST CHICANE,,,,,,
2020-09-04 09:27:17,Other,CAR 20 (MAG) TIME 1:45.259 DELETED - TRACK LIMITS AT TURN 5,,,,,,
2020-09-04 09:27:40,CarEvent,CAR 55 (SAI) MISSED THE APEX OF TURN 5,,,,,55,
2020-09-04 09:27:51,Other,CAR 5 (VET) MISSED THE 2ND CHICANE,,,,,,
2020-09-04 09:29:19,Other,CAR 5 (VET) TIME 1:40.526 DELETED - TRACK LIMITS AT TURN 5,,,,,,
2020-09-04 09:29:56,Other,CAR 20 (MAG) TIME 1:40.636 DELETED - TRACK LIMITS AT TURN 2,,,,,,
2020-09-04 09:30:07,Other,CAR 8 (GRO) MISSED THE 2ND CHICANE,,,,,,
2020-09-04 09:30:25,CarEvent,CAR 18 (STR) MISSED THE APEX OF TURN 2,,,,,18,
2020-09-04 09:33:29,Other,CAR 44 (HAM) MISSED THE 1ST CHICANE,,,,,,
2020-09-04 09:33:31,Other,CAR 77 (BOT) TIME 1:21.876 DELETED - TRACK LIMITS AT TURN 11,,,,,,
2020-09-04 09:33:47,CarEvent,CAR 16 (LEC) MISSED THE APEX OF TURN 2,,,,,16,
2020-09-04 09:34:29,Other,CAR 4 (NOR) TIME 1:22.550 DELETED - TRACK LIMITS AT TURN 11,,,,,,
2020-09-04 09:35:37,CarEvent,CAR 4 (NOR) MISSED THE APEX OF TURN 2,,,,,4,
2020-09-04 09:35:44,Other,CAR 4 (NOR) TIME 1:47.997 DELETED - TRACK LIMITS AT TURN 11,,,,,,
2020-09-04 09:35:48,Other,CAR 77 (BOT) TIME 1:51.690 DELETED - TRACK LIMITS AT TURN 11,,,,,,
2020-09-04 09:36:49,Flag,DOUBLE YELLOW IN TRACK SECTOR 13,,DOUBLE YELLOW,Sector,13.0,,
2020-09-04 09:36:50,Other,DRS DISABLED IN ZONE 1,,,,,,
2020-09-04 09:36:55,Other,CAR X MISSED THE 1ST CHICANE,,,,,,
2020-09-04 09:37:03,Flag,RED FLAG,,RED,Track,,,
2020-09-04 09:37:03,Flag,CLEAR IN TRACK SECTOR 13,,CLEAR,Sector,13.0,,
2020-09-04 09:39:57,Other,SESSION WILL RE-START AT 11:41,,,,,,
2020-09-04 09:40:01,Flag,TRACK CLEAR,,CLEAR,Track,,,
2020-09-04 09:40:03,Drs,DRS ENABLED,ENABLED,,,,,
2020-09-04 09:41:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,
2020-09-04 09:57:50,CarEvent,CAR 8 (GRO) MISSED THE APEX OF TURN 5,,,,,8,
2020-09-04 09:58:23,Other,CAR 7 (RAI) MISSED THE 1ST CHICANE,,,,,,
2020-09-04 09:59:24,Other,CAR 8 (GRO) TIME 1:37.970 DELETED - TRACK LIMITS AT TURN 5,,,,,,
2020-09-04 09:59:48,Other,CAR 5 (VET) TIME 1:22.557 DELETED - TRACK LIMITS AT TURN 11,,,,,,
2020-09-04 10:00:17,Other,CAR 16 (LEC) MISSED THE 2ND CHICANE,,,,,,
2020-09-04 10:01:17,Other,CAR 77 (BOT) MISSED THE 1ST CHICANE,,,,,,
2020-09-04 10:01:23,Other,CAR 16 (LEC) TIME 1:52.253 DELETED - TRACK LIMITS AT TURN 5,,,,,,
2020-09-04 10:01:36,CarEvent,CAR 18 (STR) OFF TRACK AND CONTINUED AT TURN 6,,,,,18,
2020-09-04 10:04:57,Other,CAR 6 (LAT) MISSED THE 2ND CHICANE,,,,,,
2020-09-04 10:08:10,Other,CAR 10 (GAS) TIME 1:22.382 DELETED - TRACK LIMITS AT TURN 11,,,,,,
2020-09-04 10:21:44,CarEvent,CAR 5 (VET) MISSED THE APEX OF TURN 5,,,,,5,
2020-09-04 10:23:07,Other,CAR 4 (NOR) TIME 2:21.172 DELETED - TRACK LIMITS AT TURN 11,,,,,,
2020-09-04 10:23:21,Other,CAR 23 (ALB) TIME 1:25.820 DELETED - TRACK LIMITS AT TURN 11,,,,,,
2020-09-04 10:23:53,Other,CAR 23 (ALB) TIME 1:25.442 DELETED - TRACK LIMITS AT TURN 11,,,,,,
2020-09-04 10:24:04,Other,CAR 4 (NOR) TIME 1:25.178 DELETED - TRACK LIMITS AT TURN 1,,,,,,
2020-09-04 10:24:37,Other,CAR 16 (LEC) MISSED THE 2ND CHICANE,,,,,,
2020-09-04 10:25:30,CarEvent,CAR 5 (VET) OFF TRACK AND CONTINUED AT TURN 6,,,,,5,
2020-09-04 10:25:35,Other,CAR 16 (LEC) TIME 1:28.000 DELETED - TRACK LIMITS AT TURN 5,,,,,,
2020-09-04 10:25:48,CarEvent,CAR 77 (BOT) MISSED THE APEX OF TURN 5,,,,,77,
2020-09-04 10:27:19,Flag,YELLOW IN TRACK SECTOR 7,,YELLOW,Sector,7.0,,
2020-09-04 10:27:21,Other,CAR 77 (BOT)  MISSED THE 1ST CHICANE,,,,,,
