Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
1155.852,RIC,3,122.018,1.0,1.0,1038.358,,54.973,31.411,35.634,1088.889,1120.273,1156.008,242.0,224.0,304.0,,False,HARD,1.0,True,Renault,1038.358,2020-09-11 13:03:37.528,1,,False,,False,False
1236.479,RIC,3,80.627,2.0,1.0,,,29.369,22.219,29.039,1185.221,1207.44,1236.479,269.0,251.0,306.0,313.0,True,HARD,2.0,True,Renault,1155.852,2020-09-11 13:05:35.022,1,,False,,False,True
1359.326,RIC,3,122.847,3.0,1.0,,,43.312,39.187,40.348,1279.791,1318.978,1359.326,196.0,207.0,303.0,301.0,False,HARD,3.0,True,Renault,1236.479,2020-09-11 13:06:55.649,1,,False,,False,True
1439.63,RIC,3,80.304,4.0,1.0,,,29.332,22.016,28.956,1388.658,1410.674,1439.63,264.0,250.0,302.0,311.0,True,HARD,4.0,True,Renault,1359.326,2020-09-11 13:08:58.496,1,,False,,False,True
1554.516,RIC,3,114.886,5.0,1.0,,,39.04,38.104,37.742,1478.67,1516.774,1554.516,207.0,209.0,305.0,296.0,False,HARD,5.0,True,Renault,1439.63,2020-09-11 13:10:18.800,1,,False,,False,True
1634.385,RIC,3,79.869,6.0,1.0,,,29.027,21.873,28.969,1583.543,1605.416,1634.385,268.0,250.0,303.0,314.0,True,HARD,6.0,True,Renault,1554.516,2020-09-11 13:12:13.686,1,,False,,False,True
2786.399,RIC,3,,7.0,1.0,,1740.075,37.852,32.29,,1672.26,1704.544,,227.0,205.0,,297.0,False,HARD,7.0,True,Renault,1634.385,2020-09-11 13:13:33.555,12,,False,,False,False
2905.744,RIC,3,119.345,8.0,2.0,2791.51,,48.32,36.692,34.333,2834.719,2871.411,2905.744,185.0,200.0,308.0,,False,SOFT,1.0,True,Renault,2786.399,2020-09-11 13:32:45.569,1,,False,,False,False
2983.783,RIC,3,78.039,9.0,2.0,,,28.296,21.515,28.228,2934.04,2955.555,2983.783,272.0,254.0,306.0,314.0,True,SOFT,2.0,True,Renault,2905.744,2020-09-11 13:34:44.914,1,,False,,False,True
4108.941,RIC,3,,10.0,2.0,,3094.497,43.17,32.294,,3026.967,3059.262,,177.0,214.0,,302.0,False,SOFT,3.0,True,Renault,2983.783,2020-09-11 13:36:02.953,125,,False,,False,False
4210.614,RIC,3,101.673,11.0,3.0,4112.65,,46.912,24.339,30.422,4155.853,4180.192,4210.614,257.0,244.0,291.0,,False,SOFT,4.0,False,Renault,4112.65,2020-09-11 13:54:51.820,1,,False,,False,False
4294.547,RIC,3,83.933,12.0,3.0,,,30.471,23.505,29.957,4241.085,4264.59,4294.547,261.0,242.0,293.0,295.0,False,SOFT,5.0,False,Renault,4210.614,2020-09-11 13:56:29.784,1,,False,,False,True
4378.309,RIC,3,83.762,13.0,3.0,,,30.529,23.283,29.95,4325.076,4348.359,4378.309,259.0,243.0,293.0,296.0,False,SOFT,6.0,False,Renault,4294.547,2020-09-11 13:57:53.717,1,,False,,False,True
4462.033,RIC,3,83.724,14.0,3.0,,,30.561,23.164,29.999,4408.87,4432.034,4462.033,258.0,245.0,293.0,297.0,False,SOFT,7.0,False,Renault,4378.309,2020-09-11 13:59:17.479,1,,False,,False,True
4545.57,RIC,3,83.537,15.0,3.0,,,30.489,23.112,29.936,4492.522,4515.634,4545.57,,244.0,295.0,298.0,False,SOFT,8.0,False,Renault,4462.033,2020-09-11 14:00:41.203,1,,False,,False,True
4628.914,RIC,3,83.344,16.0,3.0,,,30.441,22.974,29.929,4576.011,4598.985,4628.914,257.0,247.0,296.0,,False,SOFT,9.0,False,Renault,4545.57,2020-09-11 14:02:04.740,12,,False,,False,True
4713.242,RIC,3,84.328,17.0,3.0,,,30.638,23.485,30.205,4659.552,4683.037,4713.242,258.0,245.0,297.0,300.0,False,SOFT,10.0,False,Renault,4628.914,2020-09-11 14:03:28.084,1,,False,,False,True
4797.155,RIC,3,83.913,18.0,3.0,,,30.564,23.281,30.068,4743.806,4767.087,4797.155,261.0,246.0,296.0,302.0,False,SOFT,11.0,False,Renault,4713.242,2020-09-11 14:04:52.412,1,,False,,False,True
4881.939,RIC,3,84.784,19.0,3.0,,,30.653,23.896,30.235,4827.808,4851.704,4881.939,256.0,245.0,294.0,300.0,False,SOFT,12.0,False,Renault,4797.155,2020-09-11 14:06:16.325,1,,False,,False,True
4965.913,RIC,3,83.974,20.0,3.0,,,30.665,23.34,29.969,4912.604,4935.944,4965.913,258.0,246.0,294.0,297.0,False,SOFT,13.0,False,Renault,4881.939,2020-09-11 14:07:41.109,1,,False,,False,True
5049.539,RIC,3,83.626,21.0,3.0,,,30.53,23.271,29.825,4996.443,5019.714,5049.539,259.0,246.0,296.0,299.0,False,SOFT,14.0,False,Renault,4965.913,2020-09-11 14:09:05.083,1,,False,,False,True
5133.25,RIC,3,83.711,22.0,3.0,,,30.406,23.46,29.845,5079.945,5103.405,5133.25,260.0,246.0,295.0,300.0,False,SOFT,15.0,False,Renault,5049.539,2020-09-11 14:10:28.709,12,,False,,False,True
5581.25,RIC,3,,23.0,3.0,,5228.975,30.457,,,5163.744,,,262.0,,,298.0,False,SOFT,16.0,False,Renault,5133.25,2020-09-11 14:11:52.420,15,,False,,False,False
5691.301,RIC,3,110.051,24.0,4.0,5585.23,,53.5,25.901,30.65,5634.75,5660.651,5691.301,251.0,242.0,290.0,,False,HARD,8.0,False,Renault,5585.23,2020-09-11 14:19:24.400,1,,False,,False,False
5775.028,RIC,3,83.727,25.0,4.0,,,30.469,23.389,29.869,5721.77,5745.159,5775.028,258.0,247.0,294.0,294.0,False,HARD,9.0,False,Renault,5691.301,2020-09-11 14:21:10.471,1,,False,,False,True
5858.165,RIC,3,83.137,26.0,4.0,,,30.247,23.054,29.836,5805.275,5828.329,5858.165,260.0,248.0,294.0,298.0,False,HARD,10.0,False,Renault,5775.028,2020-09-11 14:22:34.198,1,,False,,False,True
5940.862,RIC,3,82.697,27.0,4.0,,,30.083,22.809,29.805,5888.248,5911.057,5940.862,263.0,248.0,294.0,,False,HARD,11.0,False,Renault,5858.165,2020-09-11 14:23:57.335,1,,False,,False,True
