Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
17.786,29.1,47.5,984.4,False,45.4,10,2.0
77.803,29.2,48.9,984.5,False,45.5,8,2.2
137.819,29.4,46.7,984.4,False,45.5,11,2.8
197.845,29.2,47.3,984.5,False,45.5,32,2.5
257.832,29.1,47.7,984.4,False,45.3,25,2.4
317.814,29.2,47.7,984.4,False,45.3,25,2.5
377.824,29.2,46.7,984.4,False,45.2,3,3.9
437.835,28.8,47.5,984.4,False,44.9,16,2.6
497.856,28.8,48.3,984.4,False,44.9,343,2.4
557.848,28.9,48.1,984.3,False,45.3,0,2.3
617.851,29.1,47.9,984.3,False,45.3,8,3.1
677.876,29.1,47.3,984.3,False,45.4,11,2.3
737.873,29.4,46.5,984.4,False,45.4,24,3.6
797.906,29.0,47.6,984.3,False,44.9,6,3.7
857.909,28.9,48.1,984.4,False,44.3,63,3.1
917.91,29.0,47.5,984.4,False,44.4,2,3.3
977.925,28.8,47.7,984.4,False,44.4,4,2.9
1037.952,28.7,48.3,984.3,False,44.4,12,2.0
1097.956,28.9,48.5,984.3,False,44.7,12,3.0
1157.98,28.9,47.3,984.3,False,44.7,10,3.3
1217.997,28.8,48.1,984.3,False,43.0,16,2.7
1277.993,28.8,47.9,984.3,False,42.8,3,2.3
1338.034,28.8,47.1,984.3,False,42.7,21,2.7
1398.045,28.9,47.2,984.4,False,43.6,1,1.6
1458.057,28.9,47.4,984.3,False,43.6,15,2.0
1518.055,28.8,47.5,984.3,False,43.8,30,1.8
1578.134,28.8,46.7,984.3,False,43.1,12,2.3
1638.075,28.8,46.4,984.2,False,42.6,356,2.6
1698.081,28.6,47.6,984.3,False,42.6,344,1.5
1758.09,28.6,47.0,984.3,False,42.0,28,2.7
1818.102,28.6,47.6,984.3,False,41.8,12,1.7
1878.111,28.6,48.1,984.4,False,41.8,33,2.1
1938.082,28.5,47.4,984.3,False,41.5,11,1.6
1998.103,28.6,47.2,984.3,False,41.5,27,1.1
2058.137,28.8,47.2,984.3,False,42.3,8,1.1
2118.119,29.1,47.6,984.3,False,43.0,27,2.1
2178.143,29.1,46.6,984.3,False,43.1,14,1.7
2238.185,28.9,46.8,984.3,False,43.0,357,3.1
2298.144,28.6,47.0,984.3,False,41.3,38,2.7
2358.144,28.5,47.7,984.3,False,41.2,2,1.5
2418.154,28.6,47.4,984.3,False,41.7,16,2.7
2478.14,28.6,48.1,984.4,False,41.7,11,2.7
2538.154,28.7,47.7,984.3,False,41.9,2,2.3
2598.131,28.7,47.6,984.3,False,42.3,56,2.0
2658.154,28.8,48.0,984.3,False,42.4,14,2.6
2718.165,28.7,47.2,984.3,False,42.9,18,3.1
2778.169,28.9,46.7,984.4,False,43.0,13,2.6
2838.175,28.8,47.6,984.3,False,43.0,9,2.2
2898.235,28.9,47.5,984.3,False,43.0,3,2.0
2958.189,28.9,47.5,984.3,False,43.0,3,2.0
3018.222,28.9,47.5,984.3,False,43.0,3,2.0
3078.219,28.9,47.5,984.3,False,43.0,3,2.0
3138.211,28.9,47.5,984.3,False,43.0,3,2.0
3198.251,28.9,46.7,984.2,False,42.5,12,2.0
3258.252,28.7,46.6,984.4,False,42.5,16,2.5
3318.237,28.7,47.2,984.3,False,42.6,9,3.4
3378.25,28.9,46.8,984.2,False,42.7,11,4.0
3438.263,28.8,46.7,984.3,False,42.6,6,3.8
3498.288,28.7,47.2,984.3,False,42.3,7,3.2
3558.301,28.7,47.4,984.4,False,42.3,10,3.5
3618.322,28.7,47.6,984.3,False,42.3,15,3.3
3678.322,28.8,46.2,984.3,False,42.2,9,3.6
3738.323,28.7,46.9,984.3,False,42.1,4,4.3
3798.334,28.8,46.2,984.3,False,42.2,13,3.5
3858.338,28.9,47.3,984.4,False,42.2,14,3.4
3918.346,28.9,46.5,984.4,False,42.1,8,3.3
3978.358,28.9,46.4,984.3,False,42.1,4,3.0
4038.412,29.0,45.8,984.4,False,42.1,5,2.9
4098.398,28.9,45.8,984.4,False,41.7,13,2.6
4158.366,28.7,47.2,984.3,False,41.7,358,3.2
4218.382,28.8,46.9,984.3,False,42.0,9,2.3
4278.387,28.9,46.7,984.3,False,41.4,22,3.3
4338.341,28.7,46.6,984.4,False,41.1,17,3.6
4398.38,28.6,46.6,984.3,False,40.9,10,2.7
4458.44,28.6,46.5,984.3,False,40.8,5,3.1
4518.437,28.5,46.7,984.3,False,41.1,343,2.9
4578.39,28.6,46.4,984.3,False,41.2,14,2.2
4638.38,28.5,46.7,984.4,False,41.1,1,3.4
4698.403,28.6,46.8,984.3,False,41.1,359,1.0
4758.402,28.9,46.1,984.4,False,41.1,29,2.5
4818.424,28.8,46.1,984.3,False,41.2,29,2.2
4878.434,28.9,46.2,984.4,False,41.2,8,1.3
4938.445,29.0,46.0,984.2,False,41.2,351,2.3
4998.449,29.0,46.0,984.3,False,41.4,335,1.6
5058.429,29.1,45.5,984.3,False,41.4,286,1.3
5118.435,29.2,45.4,984.3,False,41.5,6,1.4
5178.423,29.2,45.4,984.3,False,41.1,57,1.8
5238.448,29.2,45.1,984.2,False,41.5,0,0.8
5298.452,29.4,44.5,984.3,False,41.7,47,1.1
5358.427,29.5,44.9,984.4,False,41.9,349,1.8
5418.454,29.2,45.8,984.3,False,41.9,355,2.2
5478.473,29.2,46.7,984.3,False,41.6,4,1.8
5538.555,29.2,46.5,984.2,False,41.2,5,2.0
5598.49,29.2,46.1,984.2,False,41.2,15,1.7
5658.469,29.1,46.1,984.2,False,40.8,33,2.2
5718.552,28.9,46.7,984.2,False,40.5,3,2.1
5778.495,28.8,46.5,984.3,False,40.4,0,0.8
5838.501,29.0,46.0,984.2,False,40.7,45,1.2
5898.519,29.0,45.6,984.2,False,40.7,0,1.7
5958.523,29.1,45.8,984.3,False,40.6,20,0.9
6018.522,29.3,45.6,984.3,False,40.8,326,0.7
6078.565,29.4,45.4,984.2,False,41.0,347,0.6
6138.531,29.6,44.6,984.2,False,40.9,29,2.2
6198.535,29.2,45.6,984.2,False,40.5,324,1.8
6258.552,29.1,45.9,984.2,False,40.1,345,1.2
