Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
1295.595,HAM,44,128.73,1.0,1.0,1169.458,,53.965,37.955,36.81,1220.831,1258.785,1295.845,159.0,195.0,303.0,,False,SOFT,1.0,True,Mercedes,1169.458,2020-09-12 13:04:29.478,1,,False,,False,False
1371.373,HAM,44,75.778,2.0,1.0,,,27.173,20.798,27.807,1322.768,1343.566,1371.373,282.0,257.0,298.0,308.0,True,SOFT,2.0,True,Mercedes,1295.595,2020-09-12 13:06:35.615,1,,False,,False,True
1824.042,HAM,44,,3.0,1.0,,1460.637,35.264,25.108,,1406.639,1431.79,,240.0,236.0,,297.0,False,SOFT,3.0,True,Mercedes,1371.373,2020-09-12 13:07:51.393,1,,False,,False,False
1971.938,HAM,44,,4.0,2.0,1824.042,,66.808,53.014,30.936,1888.108,1941.002,1972.241,107.0,213.0,312.0,,False,SOFT,4.0,False,Mercedes,1824.042,2020-09-12 13:15:24.062,1,,False,,False,False
2427.657,HAM,44,,5.0,2.0,,2052.11,30.131,23.095,,2002.141,2025.21,,230.0,250.0,,322.0,False,SOFT,5.0,False,Mercedes,1971.938,2020-09-12 13:17:51.958,1,,False,,False,False
2564.461,HAM,44,136.804,6.0,3.0,2430.183,,53.259,40.102,43.443,2480.916,2521.018,2564.461,171.0,213.0,303.0,,False,SOFT,1.0,True,Mercedes,2427.657,2020-09-12 13:25:27.677,1,,False,,False,False
2639.77,HAM,44,75.309,7.0,3.0,,,26.91,20.686,27.713,2591.371,2612.057,2639.77,281.0,260.0,301.0,310.0,True,SOFT,2.0,True,Mercedes,2564.461,2020-09-12 13:27:44.481,1,,False,,False,True
3789.084,HAM,44,,8.0,3.0,,2734.905,39.745,25.944,,2679.539,2705.459,,208.0,233.0,,300.0,False,SOFT,3.0,True,Mercedes,2639.77,2020-09-12 13:28:59.790,12,,False,,False,False
3917.339,HAM,44,128.255,9.0,4.0,3791.63,,53.206,39.136,35.913,3842.29,3881.426,3917.339,166.0,219.0,304.0,,False,SOFT,1.0,True,Mercedes,3789.084,2020-09-12 13:48:09.104,1,,False,,False,False
3992.483,HAM,44,75.144,10.0,4.0,,,26.881,20.658,27.605,3944.22,3964.878,3992.483,281.0,258.0,297.0,309.0,True,SOFT,2.0,True,Mercedes,3917.339,2020-09-12 13:50:17.359,1,,False,,False,True
