Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
45.868,29.4,40.1,988.0,False,46.5,17,3.1
105.86,29.2,39.7,988.0,False,46.5,18,2.1
165.872,29.0,39.9,988.0,False,46.3,47,1.5
225.878,29.0,40.3,988.0,False,46.0,10,1.5
285.866,29.3,40.4,988.0,False,46.6,346,2.5
345.868,29.3,39.1,987.9,False,47.0,8,2.0
405.885,29.6,39.5,988.0,False,47.0,13,3.2
465.894,29.6,39.7,988.0,False,46.3,13,2.5
525.888,29.5,39.7,988.1,False,45.7,16,2.9
585.926,29.1,39.7,988.0,False,45.8,13,2.2
645.932,29.2,40.9,988.0,False,45.9,3,2.7
705.967,29.4,40.9,988.0,False,46.3,15,3.7
765.961,29.4,39.2,988.0,False,46.0,8,2.9
825.972,29.3,39.5,988.1,False,45.6,15,3.4
885.958,29.2,39.9,988.0,False,45.4,357,4.0
945.965,29.0,41.0,987.9,False,44.9,10,3.5
1005.975,29.4,41.1,987.9,False,45.8,6,3.7
1065.989,29.4,39.7,987.9,False,45.8,10,3.2
1126.016,29.4,41.1,988.1,False,45.1,141,2.9
1186.017,29.4,39.8,988.0,False,45.1,358,1.5
1246.032,29.5,39.4,988.0,False,45.6,6,2.5
1306.037,29.7,38.9,987.9,False,46.0,8,2.8
1366.065,29.7,39.6,988.0,False,46.0,356,3.5
1426.05,29.6,39.8,988.0,False,45.8,51,2.5
1486.037,29.6,38.9,988.0,False,45.6,15,2.0
1546.061,29.5,39.2,988.0,False,45.4,1,2.8
1606.061,29.3,39.9,988.0,False,45.0,7,2.5
1666.055,29.3,40.3,987.9,False,45.0,7,3.3
1726.047,29.2,41.0,988.0,False,45.7,27,3.3
1786.05,29.2,39.8,988.0,False,44.8,36,3.4
1846.054,28.9,39.9,988.0,False,44.8,14,1.9
1906.083,29.0,41.1,988.0,False,44.9,4,0.9
1966.087,29.4,41.2,988.0,False,45.9,35,1.2
2026.096,29.4,40.6,987.9,False,45.9,6,1.5
2086.111,29.7,39.8,988.0,False,45.8,354,2.6
2146.118,29.7,40.0,988.0,False,46.0,265,1.6
2206.15,29.6,39.7,987.9,False,45.9,10,1.8
2266.172,29.6,40.5,988.0,False,45.9,9,4.0
2326.168,29.5,41.0,988.0,False,45.4,1,3.5
2386.172,29.3,41.2,987.9,False,45.0,6,4.0
2446.24,29.2,41.5,987.9,False,44.9,0,2.1
2506.182,29.4,41.6,987.8,False,44.9,13,2.9
2566.195,29.5,41.6,987.8,False,45.0,23,3.7
2626.219,29.4,41.0,987.8,False,44.9,15,3.9
2686.208,29.2,40.3,987.9,False,44.9,18,3.2
2746.253,28.9,41.8,987.8,False,44.5,248,1.7
2806.253,29.0,41.6,987.9,False,45.3,28,1.9
2866.237,29.3,40.5,987.8,False,45.3,25,2.6
2926.241,29.2,41.7,987.9,False,45.0,5,2.4
2986.29,29.2,41.7,987.9,False,45.0,355,3.1
3046.248,29.2,41.7,987.9,False,44.6,23,2.6
3106.284,29.4,40.8,987.9,False,44.8,16,2.1
3166.296,29.3,40.7,987.8,False,44.9,17,2.8
3226.311,29.4,40.1,987.9,False,44.9,16,1.7
3286.305,29.5,39.6,987.8,False,44.9,0,2.7
3346.286,29.6,39.7,987.7,False,44.8,20,1.2
3406.298,30.0,39.6,987.8,False,45.4,23,2.6
3466.29,29.9,39.2,987.7,False,45.4,15,3.8
3526.321,29.5,40.5,987.8,False,44.4,7,4.0
3586.319,29.4,40.4,987.8,False,44.1,9,4.2
3646.295,29.3,41.4,987.8,False,44.1,15,3.4
3706.329,29.3,40.6,987.8,False,44.0,20,2.1
3766.349,29.4,41.3,987.7,False,44.3,14,2.9
3826.318,29.4,40.6,987.7,False,44.1,13,1.8
3886.341,29.4,40.5,987.8,False,44.1,13,2.6
3946.345,29.4,41.1,987.9,False,44.1,7,2.4
4006.357,29.4,41.0,987.8,False,43.9,27,2.5
4066.344,29.4,41.6,987.8,False,44.1,11,1.7
4126.336,29.6,39.9,987.8,False,44.7,1,2.6
4186.335,29.5,39.8,987.8,False,44.5,21,2.6
4246.348,29.4,40.1,987.8,False,44.3,357,3.3
4306.36,29.3,40.8,987.8,False,43.8,33,2.9
4366.343,29.0,40.6,987.8,False,43.7,5,2.5
4426.377,29.1,41.3,987.7,False,43.7,6,3.8
4486.377,29.1,41.9,987.7,False,43.8,17,3.5
4546.358,29.4,41.4,987.6,False,43.4,4,4.0
4606.39,29.2,40.6,987.7,False,44.0,24,3.7
