Time,Category,Message,Status,Flag,Scope,Sector,RacingNumber,Lap
2020-09-25 12:00:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,
2020-09-25 12:09:27,CarEvent,CAR 4 (NOR) MISSED THE APEX OF TURN 2,,,,,4,
2020-09-25 12:11:11,Other,CAR 4 (NOR) TIME 2:15.706 DELETED - TRACK LIMITS AT TURN 2,,,,,,
2020-09-25 12:14:11,Flag,YELLOW IN TRACK SECTOR 15,,YELLOW,Sector,15.0,,
2020-09-25 12:14:12,Other,DRS DISABLED IN ZONE 2,,,,,,
2020-09-25 12:14:12,Flag,DOUBLE YELLOW IN TRACK SECTOR 15,,DOUBLE YELLOW,Sector,15.0,,
2020-09-25 12:14:17,Flag,CLEAR IN TRACK SECTOR 15,,CLEAR,Sector,15.0,,
2020-09-25 12:14:18,Other,DRS ENABLED IN ZONE 2,,,,,,
2020-09-25 12:14:31,CarEvent,CAR 18 (STR) SPUN AND CONTINUED AT TURN 13,,,,,18,
2020-09-25 12:28:48,CarEvent,CAR 77 (BOT) MISSED THE APEX OF TURN 2,,,,,77,
2020-09-25 12:30:42,CarEvent,CAR 77 (BOT) OFF TRACK AND CONTINUED AT TURN 13,,,,,77,
2020-09-25 12:30:54,Other,CAR 77 (BOT) TIME 2:03.260 DELETED - TRACK LIMITS AT TURN 2,,,,,,
2020-09-25 12:32:09,Other,CORRECTION - CAR 44 (HAM) OFF TRACK AND CONTINUED AT TURN 13,,,,,,
2020-09-25 12:42:08,CarEvent,CAR 8 (GRO) MISSED THE APEX OF TURN 2,,,,,8,
2020-09-25 12:44:45,Flag,YELLOW IN TRACK SECTOR 16,,YELLOW,Sector,16.0,,
2020-09-25 12:44:50,Flag,DOUBLE YELLOW IN TRACK SECTOR 16,,DOUBLE YELLOW,Sector,16.0,,
2020-09-25 12:44:56,Flag,CLEAR IN TRACK SECTOR 16,,CLEAR,Sector,16.0,,
2020-09-25 12:45:05,CarEvent,CAR 33 (VER) SPUN AND CONTINUED AT TURN 14,,,,,33,
2020-09-25 13:00:17,CarEvent,CAR 77 (BOT) OFF TRACK AND CONTINUED AT TURN 14,,,,,77,
2020-09-25 13:01:18,CarEvent,CAR 44 (HAM) OFF TRACK AND CONTINUED AT TURN 13,,,,,44,
2020-09-25 13:18:13,CarEvent,CAR 16 (LEC) OFF TRACK AND CONTINUED AT TURN 17,,,,,16,
2020-09-25 13:30:00,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,,
2020-09-25 13:36:30,Flag,DOUBLE YELLOW IN TRACK SECTOR 3,,DOUBLE YELLOW,Sector,3.0,,
2020-09-25 13:39:02,Flag,CLEAR IN TRACK SECTOR 3,,CLEAR,Sector,3.0,,
2020-09-25 13:39:10,Flag,YELLOW IN TRACK SECTOR 6,,YELLOW,Sector,6.0,,
2020-09-25 13:39:32,Flag,DOUBLE YELLOW IN TRACK SECTOR 6,,DOUBLE YELLOW,Sector,6.0,,
2020-09-25 13:39:42,Flag,YELLOW IN TRACK SECTOR 4,,YELLOW,Sector,4.0,,
