Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
1166.721,HAM,44,,1.0,1.0,1026.733,,,47.002,40.109,,1126.674,1166.937,161.0,265.0,164.0,213.0,False,SOFT,1.0,True,Mercedes,1026.733,2020-09-26 12:02:06.782,1,,False,,False,False
1260.986,HAM,44,94.265,2.0,1.0,,,34.713,32.369,27.183,1201.434,1233.803,1260.986,278.0,320.0,159.0,331.0,False,SOFT,2.0,True,Mercedes,1166.721,2020-09-26 12:04:26.770,1,,True,TRACK LIMITS AT TURN 2,False,True
1410.976,HAM,44,,3.0,1.0,,,60.812,48.253,40.953,1321.775,1370.154,1411.212,174.0,203.0,171.0,206.0,False,SOFT,3.0,True,Mercedes,1260.986,2020-09-26 12:06:01.035,1,,False,,False,False
1503.959,HAM,44,92.983,4.0,1.0,,,33.747,32.019,27.217,1444.723,1476.742,1503.959,280.0,319.0,164.0,331.0,True,SOFT,4.0,True,Mercedes,1410.976,2020-09-26 12:08:31.025,1,,False,,False,True
1616.781,HAM,44,112.822,5.0,1.0,,1608.602,38.402,37.825,36.595,1542.361,1580.186,1616.781,221.0,267.0,,255.0,False,SOFT,5.0,True,Mercedes,1503.959,2020-09-26 12:10:04.008,1,,False,,False,False
2542.911,HAM,44,,6.0,2.0,2411.892,,,40.799,39.677,,2503.251,2542.929,178.0,274.0,174.0,207.0,False,MEDIUM,1.0,True,Mercedes,1616.781,2020-09-26 12:11:56.830,1,,False,,False,False
2634.996,HAM,44,92.085,7.0,2.0,,,33.484,31.704,26.897,2576.395,2608.099,2634.996,281.0,322.0,143.0,333.0,False,MEDIUM,2.0,True,Mercedes,2542.911,2020-09-26 12:27:22.960,1,,True,TRACK LIMITS AT TURN 18,False,True
2758.222,HAM,44,123.226,8.0,2.0,,2750.011,41.072,44.653,37.501,2676.068,2720.721,2758.222,141.0,268.0,,271.0,False,MEDIUM,3.0,True,Mercedes,2634.996,2020-09-26 12:28:55.045,1,,False,,False,False
3081.364,HAM,44,,9.0,3.0,2946.787,,,48.631,36.894,,3044.483,3081.364,188.0,290.0,173.0,234.0,False,MEDIUM,1.0,True,Mercedes,2758.222,2020-09-26 12:30:58.271,1,,False,,False,False
3795.313,HAM,44,,10.0,3.0,,3332.753,33.498,31.599,,3114.881,3146.554,,280.0,324.0,,333.0,False,MEDIUM,2.0,True,Mercedes,3081.364,2020-09-26 12:36:21.413,125,,False,,False,False
3914.063,HAM,44,,11.0,4.0,3795.191,,,36.261,34.421,,3879.701,3914.166,201.0,301.0,152.0,217.0,False,SOFT,1.0,True,Mercedes,3795.191,2020-09-26 12:48:15.240,1,,False,,False,False
4006.898,HAM,44,92.835,12.0,4.0,,,33.818,31.866,27.151,3947.881,3979.747,4006.898,280.0,330.0,164.0,338.0,True,SOFT,2.0,True,Mercedes,3914.063,2020-09-26 12:50:14.112,1,,False,,False,True
4132.78,HAM,44,125.882,13.0,4.0,,4124.232,43.353,41.458,41.071,4050.251,4091.709,4132.78,208.0,203.0,,200.0,False,SOFT,3.0,True,Mercedes,4006.898,2020-09-26 12:51:46.947,1,,False,,False,False
4611.97,HAM,44,,14.0,5.0,4464.797,,,46.745,51.688,,4560.307,4611.986,172.0,292.0,173.0,200.0,False,SOFT,1.0,True,Mercedes,4132.78,2020-09-26 12:53:52.829,1,,False,,False,False
4703.361,HAM,44,91.391,15.0,5.0,,,33.432,31.33,26.629,4645.402,4676.732,4703.361,280.0,324.0,162.0,330.0,True,SOFT,2.0,True,Mercedes,4611.97,2020-09-26 13:01:52.019,1,,False,,False,True
4812.431,HAM,44,109.07,16.0,5.0,,4804.341,37.384,35.624,36.062,4740.745,4776.369,4812.431,223.0,283.0,,282.0,False,SOFT,3.0,True,Mercedes,4703.361,2020-09-26 13:03:23.410,1,,False,,False,False
5048.686,HAM,44,,17.0,6.0,4913.526,,,44.441,42.413,,5006.285,5048.686,187.0,247.0,169.0,223.0,False,SOFT,1.0,True,Mercedes,4812.431,2020-09-26 13:05:12.480,1,,False,,False,False
5139.99,HAM,44,91.304,18.0,6.0,,,33.361,31.399,26.544,5082.047,5113.446,5139.99,281.0,324.0,167.0,332.0,True,SOFT,2.0,True,Mercedes,5048.686,2020-09-26 13:09:08.735,1,,False,,False,True
5261.438,HAM,44,,19.0,6.0,,5261.438,48.141,43.312,,5188.268,5231.456,,174.0,215.0,,217.0,False,SOFT,3.0,True,Mercedes,5139.99,2020-09-26 13:10:40.039,1,,False,,False,False
1212.833,VER,33,,1.0,1.0,1082.564,,,46.243,38.337,,1174.506,1213.089,196.0,197.0,177.0,234.0,False,SOFT,1.0,True,Red Bull Racing,1082.564,2020-09-26 12:03:02.613,1,,False,,False,False
1307.449,VER,33,94.616,2.0,1.0,,,34.671,32.503,27.442,1247.504,1280.007,1307.449,275.0,313.0,166.0,324.0,True,SOFT,2.0,True,Red Bull Racing,1212.833,2020-09-26 12:05:12.882,1,,False,,False,True
1459.917,VER,33,,3.0,1.0,,,62.33,54.859,35.311,1369.842,1424.612,1460.149,141.0,243.0,175.0,171.0,False,SOFT,3.0,True,Red Bull Racing,1307.449,2020-09-26 12:06:47.498,1,,False,,False,False
1553.896,VER,33,93.979,4.0,1.0,,,34.245,32.59,27.144,1494.162,1526.752,1553.896,276.0,312.0,170.0,321.0,True,SOFT,4.0,True,Red Bull Racing,1459.917,2020-09-26 12:09:19.966,1,,False,,False,True
1664.049,VER,33,110.153,5.0,1.0,,1656.088,38.312,36.554,35.287,1592.208,1628.762,1664.049,212.0,257.0,,245.0,False,SOFT,5.0,True,Red Bull Racing,1553.896,2020-09-26 12:10:53.945,1,,False,,False,False
1936.172,VER,33,,6.0,2.0,1790.833,,,39.637,64.948,,1871.347,1936.424,239.0,264.0,170.0,241.0,False,MEDIUM,1.0,True,Red Bull Racing,1664.049,2020-09-26 12:12:44.098,1,,False,,False,False
2029.802,VER,33,93.63,7.0,2.0,,,34.078,32.464,27.088,1970.25,2002.714,2029.802,276.0,317.0,167.0,325.0,True,MEDIUM,2.0,True,Red Bull Racing,1936.172,2020-09-26 12:17:16.221,1,,False,,False,True
2145.872,VER,33,116.07,8.0,2.0,,2137.91,40.675,38.014,37.381,2070.477,2108.491,2145.872,207.0,231.0,,233.0,False,MEDIUM,3.0,True,Red Bull Racing,2029.802,2020-09-26 12:18:49.851,1,,False,,False,False
2603.528,VER,33,,9.0,3.0,2459.783,,,42.438,60.712,,2542.849,2603.567,221.0,234.0,175.0,249.0,False,MEDIUM,1.0,True,Red Bull Racing,2145.872,2020-09-26 12:20:45.921,1,,False,,False,False
2696.685,VER,33,93.157,10.0,3.0,,,33.879,32.193,27.085,2637.407,2669.6,2696.685,276.0,316.0,167.0,323.0,True,MEDIUM,2.0,True,Red Bull Racing,2603.528,2020-09-26 12:28:23.577,1,,False,,False,True
2816.076,VER,33,119.391,11.0,3.0,,2808.015,41.951,39.549,37.891,2738.636,2778.185,2816.076,194.0,242.0,,214.0,False,MEDIUM,3.0,True,Red Bull Racing,2696.685,2020-09-26 12:29:56.734,1,,False,,False,False
3784.726,VER,33,,12.0,4.0,3075.033,3205.204,,,,,,,178.0,,,235.0,False,SOFT,1.0,True,Red Bull Racing,2816.076,2020-09-26 12:31:56.125,125,,False,,False,False
3890.092,VER,33,,13.0,5.0,3784.726,,,36.79,32.157,,3857.98,3890.137,234.0,271.0,178.0,293.0,False,SOFT,2.0,False,Red Bull Racing,3784.726,2020-09-26 12:48:04.775,1,,False,,False,False
3985.051,VER,33,94.959,14.0,5.0,,,33.933,31.996,29.03,3924.025,3956.021,3985.051,276.0,313.0,78.0,320.0,False,SOFT,3.0,False,Red Bull Racing,3890.092,2020-09-26 12:49:50.141,1,,False,,False,True
4102.339,VER,33,117.288,15.0,5.0,,4094.258,44.515,37.325,35.448,4029.566,4066.891,4102.339,197.0,267.0,,207.0,False,SOFT,4.0,False,Red Bull Racing,3985.051,2020-09-26 12:51:25.100,1,,False,,False,False
4635.089,VER,33,,16.0,6.0,4514.366,,,46.642,31.143,,4604.002,4635.116,205.0,282.0,179.0,232.0,False,SOFT,1.0,True,Red Bull Racing,4102.339,2020-09-26 12:53:22.388,1,,False,,False,False
4727.449,VER,33,92.36,17.0,6.0,,,33.836,31.715,26.809,4668.925,4700.64,4727.449,275.0,317.0,169.0,321.0,True,SOFT,2.0,True,Red Bull Racing,4635.089,2020-09-26 13:02:15.138,1,,False,,False,True
4838.752,VER,33,111.303,18.0,6.0,,4830.643,38.552,37.348,35.403,4766.001,4803.349,4838.752,212.0,269.0,,235.0,False,SOFT,3.0,True,Red Bull Racing,4727.449,2020-09-26 13:03:47.498,1,,False,,False,False
5120.718,VER,33,,19.0,7.0,4988.595,,,49.672,39.143,,5081.59,5120.743,222.0,167.0,176.0,240.0,False,SOFT,1.0,True,Red Bull Racing,4838.752,2020-09-26 13:05:38.801,1,,False,,False,False
5212.585,VER,33,91.867,20.0,7.0,,,33.513,31.613,26.741,5154.231,5185.844,5212.585,277.0,317.0,171.0,325.0,True,SOFT,2.0,True,Red Bull Racing,5120.718,2020-09-26 13:10:20.767,1,,False,,False,True
5331.559,VER,33,,21.0,7.0,,5331.559,46.888,39.626,,5259.475,5299.127,,206.0,219.0,,174.0,False,SOFT,3.0,True,Red Bull Racing,5212.585,2020-09-26 13:11:52.634,1,,False,,False,False
1152.943,BOT,77,,1.0,1.0,1025.13,,,46.515,34.353,,1118.59,1153.11,76.0,280.0,172.0,261.0,False,SOFT,1.0,True,Mercedes,1025.13,2020-09-26 12:02:05.179,1,,False,,False,False
1245.599,BOT,77,92.656,2.0,1.0,,,33.706,31.787,27.163,1186.649,1218.436,1245.599,279.0,320.0,158.0,330.0,True,SOFT,2.0,True,Mercedes,1152.943,2020-09-26 12:04:12.992,1,,False,,False,True
1367.626,BOT,77,122.027,3.0,1.0,,1359.308,45.942,40.127,35.958,1291.541,1331.668,1367.626,226.0,297.0,,202.0,False,SOFT,3.0,True,Mercedes,1245.599,2020-09-26 12:05:45.648,1,,False,,False,False
1912.287,BOT,77,,4.0,2.0,1749.502,,,48.086,63.287,,1849.0,1912.531,193.0,302.0,169.0,221.0,False,SOFT,4.0,False,Mercedes,1367.626,2020-09-26 12:07:47.675,1,,False,,False,False
2028.513,BOT,77,116.226,5.0,2.0,,2020.208,36.262,43.329,36.635,1948.549,1991.878,2028.513,244.0,195.0,,332.0,False,SOFT,5.0,False,Mercedes,1912.287,2020-09-26 12:16:52.336,1,,False,,False,False
