Time,Category,Message,Status,Flag,Scope,Sector,RacingNumber,Lap
2020-10-09 08:45:41,Flag,TRACK CLEAR,,CLEAR,Track,,,
2020-10-09 08:46:21,Other,TRACK TEST COMPLETED,,,,,,
2020-10-09 08:01:21,Other,AIR TEMPERATURE 1 HOUR BEFORE P1 = 10 DEGREES,,,,,,
2020-10-09 08:45:02,Other,RISK OF RAIN FOR THIS SESSION IS 80%,,,,,,
2020-10-09 08:52:09,Other,THE MEDICAL HELICOPTER CURRENTLY CANNOT FLY,,,,,,
2020-10-09 08:52:54,Other,SESSION COUNTDOWN CLOCK WILL START AT 11:00 AND PIT LANE EXIT WILL NOT OPEN,,,,,,
2020-10-09 08:53:16,Other,THERE WILL BE A FURTHER UPDATE AT 11:30,,,,,,
2020-10-09 08:53:55,Other,A 10 MINUTE NOTIFICATION WILL BE GIVEN BEFORE PIT EXIT OPENS,,,,,,
2020-10-09 08:57:20,Other,WET TRACK,,,,,,
2020-10-09 08:57:25,Drs,DRS DISABLED,DISABLED,,,,,
2020-10-09 08:57:30,Other,LOW GRIP CONDITIONS,,,,,,
2020-10-09 09:30:02,Other,NO CHANGE TO THE SITUATION - A FURTHER UPDATE WILL BE PROVIDED AT 12:00,,,,,,
2020-10-09 10:00:03,Other,NO CHANGE TO THE WEATHER SITUATION - PIT EXIT WILL NOT OPEN FOR THIS SESSION,,,,,,
