Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
35.181,7.3,73.6,949.2,False,11.6,186,3.2
95.165,7.3,72.7,949.2,False,11.8,194,3.3
155.206,7.4,73.6,949.2,False,11.9,199,2.3
215.18,7.6,73.5,949.2,False,12.1,210,3.0
275.223,7.6,72.3,949.3,False,12.1,193,3.3
335.233,7.6,72.0,949.2,False,12.3,206,2.9
395.229,7.7,72.3,949.1,False,12.6,208,3.7
455.232,7.7,72.4,949.1,False,12.7,208,3.3
515.234,7.8,73.1,949.2,False,12.7,202,3.9
575.241,7.8,72.1,949.3,False,12.8,181,3.4
635.261,7.8,71.8,949.1,False,13.2,203,2.9
695.261,7.8,72.4,949.2,False,13.4,202,2.5
755.249,8.1,72.3,949.1,False,13.5,188,4.1
815.253,8.0,71.0,949.2,False,13.5,208,3.5
875.253,8.1,71.8,949.2,False,13.7,192,2.9
935.246,8.0,70.5,949.2,False,14.0,193,3.3
995.257,8.1,70.9,949.2,False,14.2,187,4.1
1055.262,8.0,71.6,949.2,False,14.3,201,3.4
1115.282,8.1,70.9,949.3,False,14.4,197,2.9
1175.284,8.1,70.4,949.2,False,14.3,196,3.1
1235.292,8.1,70.8,949.3,False,14.4,205,3.2
1295.285,8.1,69.8,949.2,False,14.5,106,3.0
1355.295,8.1,69.4,949.3,False,14.6,175,2.4
1415.289,8.2,68.9,949.2,False,14.8,166,3.1
1475.285,8.2,68.9,949.3,False,15.1,180,2.3
1535.306,8.4,69.9,949.2,False,15.3,178,2.7
1595.269,8.5,69.7,949.3,False,15.5,213,2.7
1655.299,8.4,68.4,949.2,False,15.7,207,2.9
1715.334,8.4,68.4,949.2,False,15.8,205,3.5
1775.382,8.5,68.1,949.3,False,16.0,201,4.2
1835.286,8.5,66.8,949.2,False,16.0,202,3.2
1895.301,8.5,67.0,949.2,False,16.1,209,2.8
1955.289,8.7,67.6,949.2,False,16.4,181,3.1
2015.276,8.8,66.7,949.1,False,16.4,172,3.5
2075.278,8.6,65.9,949.2,False,16.4,183,3.6
2135.288,8.3,65.8,949.3,False,16.3,180,3.3
2195.279,8.3,66.7,949.3,False,16.4,199,3.1
2255.521,8.4,67.2,949.3,False,16.5,177,2.7
2315.28,8.3,67.0,949.4,False,16.1,190,2.8
2375.433,8.3,67.4,949.4,False,16.1,197,3.4
2435.294,8.2,66.9,949.4,False,15.8,195,3.7
2495.298,8.1,67.0,949.3,False,15.2,192,3.6
2555.279,7.9,67.2,949.3,False,14.7,192,3.1
2615.296,7.8,68.0,949.3,False,14.7,192,3.5
2675.301,7.8,68.9,949.4,False,14.7,192,3.0
2735.296,7.9,68.7,949.4,False,15.9,197,3.0
2795.312,8.1,67.1,949.4,False,16.0,164,3.9
2855.298,8.1,67.4,949.4,False,15.8,198,3.8
2915.365,8.1,67.8,949.4,False,15.8,175,3.0
2975.309,8.1,68.3,949.5,False,16.3,181,2.9
3035.295,8.2,68.7,949.5,False,16.4,177,2.7
3095.305,8.3,68.6,949.5,False,16.7,183,2.0
3155.352,8.5,67.9,949.4,False,17.0,172,2.1
3215.318,8.6,67.7,949.5,False,17.4,65,2.1
3275.304,8.8,67.4,949.5,False,17.8,191,1.6
3335.3,9.0,66.4,949.4,False,17.8,191,2.3
3395.311,9.0,64.9,949.5,False,17.3,174,1.9
3455.304,8.9,64.5,949.4,False,17.5,199,1.7
3515.297,8.9,64.2,949.5,False,17.5,202,2.3
3575.326,9.0,64.7,949.5,False,17.6,208,3.1
3635.293,9.0,64.1,949.5,False,17.6,206,2.7
3695.287,9.0,64.5,949.5,False,17.5,201,2.6
3755.304,9.1,63.7,949.4,False,17.5,203,3.2
3815.308,8.9,63.4,949.6,False,17.9,209,2.9
3875.357,9.1,64.6,949.5,False,18.4,189,2.9
3935.295,9.0,63.4,949.5,False,18.4,176,2.6
3995.312,8.9,62.8,949.5,False,17.5,198,3.2
4055.303,8.6,63.5,949.6,False,16.9,172,3.0
4115.318,8.5,64.0,949.5,False,16.5,186,3.2
4175.323,8.3,64.5,949.5,False,16.2,181,2.6
4235.307,8.2,65.2,949.6,False,16.2,190,2.5
4295.311,8.2,65.7,949.5,False,16.0,188,2.3
4355.318,8.2,66.7,949.6,False,15.6,106,1.7
4415.307,8.3,66.8,949.5,False,15.5,193,2.3
4475.322,8.3,65.8,949.5,False,15.3,184,2.4
4535.351,8.3,66.6,949.6,False,15.5,189,2.0
4595.31,8.3,66.9,949.5,False,16.0,148,2.7
4655.322,8.4,65.9,949.5,False,16.1,179,0.9
4715.344,8.5,65.0,949.6,False,16.6,195,1.5
