Time,Category,Message,Status,Flag,Scope,Sector,RacingNumber,Lap
2020-10-23 13:45:16,Other,RISK OF RAIN FOR F2 PRACTICE SESSION IS 0% ,,,,,,
2020-10-23 13:45:44,Other,RISK OF RAIN FOR F1 SECOND PRACTICE SESSION IS 0%,,,,,,
2020-10-23 14:00:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,
2020-10-23 14:03:24,Other,CAR 23 (ALB) TIME 1:24.781 DELETED - TRACK LIMITS AT TURN 4,,,,,,
2020-10-23 14:03:30,Other,CAR 55 (SAI) TIME 1:23.875 DELETED - TRACK LIMITS AT TURN 1,,,,,,
2020-10-23 14:04:33,Flag,YELLOW IN TRACK SECTOR 16,,YELLOW,Sector,16.0,,
2020-10-23 14:04:44,Flag,CLEAR IN TRACK SECTOR 16,,CLEAR,Sector,16.0,,
2020-10-23 14:04:53,CarEvent,CAR 55 (SAI) SPUN AND CONTINUED AT TURN 14,,,,,55,
2020-10-23 14:04:56,Other,CAR 23 (ALB) TIME 1:24.280 DELETED - TRACK LIMITS AT TURN 4,,,,,,
2020-10-23 14:05:10,Other,TRACK SURFACE SLIPPERY IN TRACK SECTOR 13,,,,,,
2020-10-23 14:06:26,Other,CAR 23 (ALB) TIME 1:23.849 DELETED - TRACK LIMITS AT TURN 1,,,,,,
2020-10-23 14:06:31,Flag,CLEAR IN TRACK SECTOR 13,,CLEAR,Sector,13.0,,
2020-10-23 14:07:09,Other,CAR 10 (GAS) TIME 1:26.739 DELETED - TRACK LIMITS AT TURN 4,,,,,,
2020-10-23 14:07:13,Other,CAR 8 (GRO) TIME 1:24.165 DELETED - TRACK LIMITS AT TURN 4,,,,,,
2020-10-23 14:07:20,Other,CAR 7 (RAI) TIME 1:24.767 DELETED - TRACK LIMITS AT TURN 4,,,,,,
2020-10-23 14:07:48,Other,CAR 20 (MAG) TIME 1:23.777 DELETED - TRACK LIMITS AT TURN 4,,,,,,
2020-10-23 14:08:27,Other,CAR 16 (LEC) TIME 1:27.265 DELETED - TRACK LIMITS AT TURN 4,,,,,,
2020-10-23 14:09:28,Other,CAR 10 (GAS) TIME 1:23.097 DELETED - TRACK LIMITS AT TURN 4,,,,,,
2020-10-23 14:09:31,Other,CAR 4 (NOR) TIME 1:23.259 DELETED - TRACK LIMITS AT TURN 4,,,,,,
2020-10-23 14:10:31,Other,CAR 63 (RUS) TIME 1:23.608 DELETED - TRACK LIMITS AT TURN 4,,,,,,
2020-10-23 14:11:00,Other,CAR 4 (NOR) TIME 1:22.581 DELETED - TRACK LIMITS AT TURN 4,,,,,,
2020-10-23 14:11:11,Flag,YELLOW IN TRACK SECTOR 4,,YELLOW,Sector,4.0,,
2020-10-23 14:11:25,Flag,CLEAR IN TRACK SECTOR 4,,CLEAR,Sector,4.0,,
2020-10-23 14:11:30,CarEvent,CAR 11 (PER) SPUN AND CONTINUED AT TURN 3,,,,,11,
2020-10-23 14:12:13,Other,CAR 63 (RUS) TIME 1:23.634 DELETED - TRACK LIMITS AT TURN 4,,,,,,
2020-10-23 14:12:54,Other,CAR 5 (VET) TIME 1:23.839 DELETED - TRACK LIMITS AT TURN 4,,,,,,
2020-10-23 14:12:58,Other,CAR 7 (RAI) TIME 1:22.927 DELETED - TRACK LIMITS AT TURN 4,,,,,,
2020-10-23 14:14:31,Other,CAR 26 (KVY) TIME 1:23.070 DELETED - TRACK LIMITS AT TURN 4,,,,,,
2020-10-23 14:14:38,Other,CAR 10 (GAS) TIME 1:23.169 DELETED - TRACK LIMITS AT TURN 4,,,,,,
2020-10-23 14:15:31,Other,CAR 5 (VET) TIME 1:23.839 DELETED - TRACK LIMITS AT TURN 4,,,,,,
2020-10-23 14:15:41,Other,CAR 18 (STR) TIME 1:23.203 DELETED - TRACK LIMITS AT TURN 4,,,,,,
2020-10-23 14:17:32,Other,CAR 23 (ALB) TIME 1:23.006 DELETED - TRACK LIMITS AT TURN 1,,,,,,
2020-10-23 14:17:51,Other,CAR 5 (VET) TIME 1:24.535 DELETED - TRACK LIMITS AT TURN 1,,,,,,
2020-10-23 14:18:34,Other,CAR 8 (GRO) TIME 1:25.006 DELETED - TRACK LIMITS AT TURN 1,,,,,,
2020-10-23 14:18:37,Other,CAR 7 (RAI) TIME 1:23.267 DELETED - TRACK LIMITS AT TURN 4,,,,,,
2020-10-23 14:19:49,Other,CAR 8 (GRO) TIME 1:23.870 DELETED - TRACK LIMITS AT TURN 4,,,,,,
2020-10-23 14:20:01,Other,CAR 31 (OCO) TIME 1:23.072 DELETED - TRACK LIMITS AT TURN 1,,,,,,
2020-10-23 14:21:23,Other,CAR 8 (GRO) TIME 1:23.631 DELETED - TRACK LIMITS AT TURN 2,,,,,,
2020-10-23 14:21:35,Other,CAR 23 (ALB) TIME 1:23.281 DELETED - TRACK LIMITS AT TURN 1,,,,,,
2020-10-23 14:21:47,Other,CAR 26 (KVY) TIME 1:23.420 DELETED - TRACK LIMITS AT TURN 1,,,,,,
2020-10-23 14:23:26,Other,CAR 8 (GRO) TIME 1:27.485 DELETED - TRACK LIMITS AT TURN 1,,,,,,
2020-10-23 14:24:17,Other,CAR 33 (VER) TIME 1:22.277 DELETED - TRACK LIMITS AT TURN 1,,,,,,
2020-10-23 14:25:13,Other,CAR 26 (KVY) TIME 1:22.858 DELETED - TRACK LIMITS AT TURN 4,,,,,,
2020-10-23 14:25:22,Other,CAR 6 (LAT) TIME 1:25.529 DELETED - TRACK LIMITS AT TURN 1,,,,,,
2020-10-23 14:28:10,Other,CAR 6 (LAT) TIME 1:24.321 DELETED - TRACK LIMITS AT TURN 4,,,,,,
2020-10-23 14:29:13,Other,CAR 55 (SAI) TIME 1:23.425 DELETED - TRACK LIMITS AT TURN 4,,,,,,
2020-10-23 14:30:38,Other,CAR 3 (RIC) TIME 1:22.343 DELETED - TRACK LIMITS AT TURN 4,,,,,,
2020-10-23 14:35:09,Other,CAR 23 (ALB) TIME 1:35.083 DELETED - TRACK LIMITS AT TURN 1,,,,,,
2020-10-23 14:35:12,Other,CAR 10 (GAS) TIME 1:20.037 DELETED - TRACK LIMITS AT TURN 4,,,,,,
2020-10-23 14:36:33,Other,CAR 23 (ALB) TIME 1:19.992 DELETED - TRACK LIMITS AT TURN 1,,,,,,
2020-10-23 14:39:20,Flag,YELLOW IN TRACK SECTOR 15,,YELLOW,Sector,15.0,,
2020-10-23 14:39:25,Flag,CLEAR IN TRACK SECTOR 15,,CLEAR,Sector,15.0,,
2020-10-23 14:41:12,Flag,YELLOW IN TRACK SECTOR 16,,YELLOW,Sector,16.0,,
2020-10-23 14:41:17,Flag,CLEAR IN TRACK SECTOR 16,,CLEAR,Sector,16.0,,
2020-10-23 14:41:27,CarEvent,CAR 5 (VET) SPUN AND CONTINUED AT TURN 14,,,,,5,
2020-10-23 14:41:43,Other,CAR 11 (PER) TIME 1:22.895 DELETED - TRACK LIMITS AT TURN 4,,,,,,
2020-10-23 14:42:08,Flag,YELLOW IN TRACK SECTOR 15,,YELLOW,Sector,15.0,,
2020-10-23 14:42:21,Flag,CLEAR IN TRACK SECTOR 15,,CLEAR,Sector,15.0,,
2020-10-23 14:42:27,CarEvent,CAR 26 (KVY) SPUN AND CONTINUED AT TURN 13,,,,,26,
2020-10-23 14:43:06,Other,CAR 8 (GRO) TIME 1:22.794 DELETED - TRACK LIMITS AT TURN 4,,,,,,
2020-10-23 14:43:09,Other,CAR 11 (PER) TIME 1:20.819 DELETED - TRACK LIMITS AT TURN 4,,,,,,
2020-10-23 14:43:12,Other,CAR 18 (STR) TIME 1:25.872 DELETED - TRACK LIMITS AT TURN 4,,,,,,
2020-10-23 14:43:50,Other,CAR 99 (GIO) TIME 1:20.665 DELETED - TRACK LIMITS AT TURN 4,,,,,,
2020-10-23 14:44:24,Other,CAR 55 (SAI) TIME 1:23.059 DELETED - TRACK LIMITS AT TURN 4,,,,,,
2020-10-23 14:45:18,Flag,YELLOW IN TRACK SECTOR 15,,YELLOW,Sector,15.0,,
2020-10-23 14:45:21,Flag,RED FLAG,,RED,Track,,,
2020-10-23 14:45:21,Flag,CLEAR IN TRACK SECTOR 15,,CLEAR,Sector,15.0,,
2020-10-23 14:45:30,Other,CAR 18 (STR) TIME 1:20.531 DELETED - TRACK LIMITS AT TURN 4,,,,,,
2020-10-23 14:58:53,Other,SESSION WILL RE-START AT 16:01,,,,,,
2020-10-23 15:00:00,Flag,TRACK CLEAR,,CLEAR,Track,,,
2020-10-23 15:00:02,Drs,DRS ENABLED,ENABLED,,,,,
2020-10-23 15:01:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,
2020-10-23 15:04:23,Other,CAR 99 (GIO) TIME 1:26.033 DELETED - TRACK LIMITS AT TURN 4,,,,,,
2020-10-23 15:05:11,Flag,YELLOW IN TRACK SECTOR 2,,YELLOW,Sector,2.0,,
2020-10-23 15:05:12,Other,DRS DISABLED IN ZONE 1,,,,,,
2020-10-23 15:05:29,Flag,RED FLAG,,RED,Track,,,
2020-10-23 15:05:29,Flag,CLEAR IN TRACK SECTOR 2,,CLEAR,Sector,2.0,,
2020-10-23 15:06:57,Other,TURN 1 INCIDENT INVOLVING CARS 18 (STR) AND 33 (VER) UNDER INVESTIGATION,,,,,,
2020-10-23 15:08:01,Other,CAR 23 (ALB) TIME 1:32.736 DELETED - TRACK LIMITS AT TURN 4,,,,,,
2020-10-23 15:20:23,Other,SESSION WILL RE-START AT 16:22,,,,,,
2020-10-23 15:21:03,Flag,TRACK CLEAR,,CLEAR,Track,,,
2020-10-23 15:21:05,Drs,DRS ENABLED,ENABLED,,,,,
2020-10-23 15:22:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,
2020-10-23 15:25:24,Other,CAR 23 (ALB) TIME 1:29.841 DELETED - TRACK LIMITS AT TURN 4,,,,,,
2020-10-23 15:25:27,Other,CAR 99 (GIO) TIME 1:23.470 DELETED - TRACK LIMITS AT TURN 4,,,,,,
2020-10-23 15:25:29,Other,CAR 8 (GRO) TIME 1:24.225 DELETED - TRACK LIMITS AT TURN 4,,,,,,
2020-10-23 15:25:46,Other,CAR 4 (NOR) TIME 1:21.187 DELETED - TRACK LIMITS AT TURN 4,,,,,,
2020-10-23 15:26:22,Other,CAR 55 (SAI) TIME 1:19.112 DELETED - TRACK LIMITS AT TURN 4,,,,,,
2020-10-23 15:27:03,Other,CAR 23 (ALB) TIME 1:20.473 DELETED - TRACK LIMITS AT TURN 4,,,,,,
2020-10-23 15:28:12,Other,CAR 99 (GIO) TIME 1:24.328 DELETED - TRACK LIMITS AT TURN 4,,,,,,
2020-10-23 15:28:15,Other,CAR 26 (KVY) TIME 1:19.940 DELETED - TRACK LIMITS AT TURN 4,,,,,,
2020-10-23 15:28:45,Other,CAR 7 (RAI) TIME 1:23.955 DELETED - TRACK LIMITS AT TURN 4,,,,,,
2020-10-23 15:29:56,Other,CAR 20 (MAG) TIME 1:25.361 DELETED - TRACK LIMITS AT TURN 4,,,,,,
2020-10-23 15:30:00,Other,CAR 44 (HAM) TIME 1:22.247 DELETED - TRACK LIMITS AT TURN 4,,,,,,
2020-10-23 15:30:00,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,,
2020-10-23 15:30:08,Other,CAR 99 (GIO) TIME 1:23.377 DELETED - TRACK LIMITS AT TURN 4,,,,,,
2020-10-23 15:31:00,Other,CAR 99 (GIO) TIME 1:23.079 DELETED - TRACK LIMITS AT TURN 4,,,,,,
2020-10-23 15:31:33,Other,CAR 99 (GIO) TIME 1:23.079 DELETED - TRACK LIMITS AT TURN 4,,,,,,
