Time,Category,Message,Status,Flag,Scope,Sector,RacingNumber,Lap
2020-10-31 09:00:00,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,
2020-10-31 09:01:56,CarEvent,CAR 77 (BOT) OFF TRACK AND CONTINUED AT TURN 15,,,,,77,
2020-10-31 09:02:06,CarEvent,CAR 7 (RAI) OFF TRACK AND CONTINUED AT TURN 15,,,,,7,
2020-10-31 09:03:05,CarEvent,CAR 55 (SAI) OFF TRACK AND CONTINUED AT TURN 15,,,,,55,
2020-10-31 09:03:14,CarEvent,CAR 99 (GIO) OFF TRACK AND CONTINUED AT TURN 15,,,,,99,
2020-10-31 09:04:42,Other,CAR 33 (VER) TIME 1:23.319 DELETED - TRACK LIMITS AT TURN 9,,,,,,
2020-10-31 09:04:58,Other,CAR 33 (VER) TIME 1:23.319 DELETED - TRACK LIMITS AT TURN 15,,,,,,
2020-10-31 09:05:02,Other,CAR 4 (NOR) TIME 1:21.192 DELETED - TRACK LIMITS AT TURN 15,,,,,,
2020-10-31 09:06:17,Other,CAR 26 (KVY) TIME 1:19.521 DELETED - TRACK LIMITS AT TURN 15,,,,,,
2020-10-31 09:06:51,Other,CAR 10 (GAS) TIME 1:18.827 DELETED - TRACK LIMITS AT TURN 9,,,,,,
2020-10-31 09:06:55,Other,CAR 4 (NOR) TIME 1:19.875 DELETED - TRACK LIMITS AT TURN 15,,,,,,
2020-10-31 09:07:11,Other,CAR 6 (LAT) TIME 1:21.702 DELETED - TRACK LIMITS AT TURN 15,,,,,,
2020-10-31 09:08:41,Other,CAR 11 (PER) TIME 1:19.181 DELETED - TRACK LIMITS AT TURN 15,,,,,,
2020-10-31 09:09:02,Other,CAR 10 (GAS) TIME 1:26.642 DELETED - TRACK LIMITS AT TURN 9,,,,,,
2020-10-31 09:09:29,Other,CAR 33 (VER) TIME 1:17.841 DELETED - TRACK LIMITS AT TURN 15,,,,,,
2020-10-31 09:09:33,Other,CAR 26 (KVY) TIME 1:17.815 DELETED - TRACK LIMITS AT TURN 9,,,,,,
2020-10-31 09:09:59,Other,CAR 16 (LEC) TIME 1:18.503 DELETED - TRACK LIMITS AT TURN 15,,,,,,
2020-10-31 09:09:59,Flag,YELLOW IN TRACK SECTOR 4,,YELLOW,Sector,4.0,,
2020-10-31 09:10:00,Other,DRS DISABLED IN ZONE 1,,,,,,
2020-10-31 09:10:01,Flag,CLEAR IN TRACK SECTOR 4,,CLEAR,Sector,4.0,,
2020-10-31 09:10:01,Other,DRS ENABLED IN ZONE 1,,,,,,
2020-10-31 09:10:10,Other,CAR 44 (HAM) TIME 1:19.481 DELETED - TRACK LIMITS AT TURN 15,,,,,,
2020-10-31 09:10:21,Other,CAR 10 (GAS) TIME 1:18.162 DELETED - TRACK LIMITS AT TURN 9,,,,,,
2020-10-31 09:10:30,CarEvent,CAR 26 (KVY) OFF TRACK AND CONTINUED AT TURN 2,,,,,26,
2020-10-31 09:11:39,Other,CAR 11 (PER) TIME 1:18.769 DELETED - TRACK LIMITS AT TURN 15,,,,,,
2020-10-31 09:12:07,Other,CAR 3 (RIC) TIME 1:19.119 DELETED - TRACK LIMITS AT TURN 15,,,,,,
2020-10-31 09:12:26,Other,CAR 10 (GAS) TIME 1:17.069 DELETED - TRACK LIMITS AT TURN 9,,,,,,
2020-10-31 09:12:49,Other,CAR 23 (ALB) TIME 1:17.558 DELETED - TRACK LIMITS AT TURN 15,,,,,,
2020-10-31 09:13:33,Other,CAR 16 (LEC) TIME 1:17.580 DELETED - TRACK LIMITS AT TURN 15,,,,,,
2020-10-31 09:15:30,Other,CAR 23 (ALB) TIME 1:17.383 DELETED - TRACK LIMITS AT TURN 15,,,,,,
2020-10-31 09:15:43,Other,CAR 10 (GAS) TIME 1:16.761 DELETED - TRACK LIMITS AT TURN 15,,,,,,
2020-10-31 09:16:36,Other,CAR 23 (ALB) TIME 1:17.383 DELETED - TRACK LIMITS AT TURN 15,,,,,,
2020-10-31 09:18:22,Other,CAR 26 (KVY) TIME 1:16.913 DELETED - TRACK LIMITS AT TURN 9,,,,,,
2020-10-31 09:21:06,Other,CAR 63 (RUS) TIME 1:18.411 DELETED - TRACK LIMITS AT TURN 15,,,,,,
2020-10-31 09:21:17,Other,CAR 23 (ALB) TIME 1:17.102 DELETED - TRACK LIMITS AT TURN 9,,,,,,
2020-10-31 09:24:15,Other,CAR 77 (BOT) TIME 1:16.775 DELETED - TRACK LIMITS AT TURN 9,,,,,,
2020-10-31 09:28:50,Other,CAR 20 (MAG) TIME 1:18.370 DELETED - TRACK LIMITS AT TURN 15,,,,,,
2020-10-31 09:30:44,Other,CAR 20 (MAG) TIME 1:17.840 DELETED - TRACK LIMITS AT TURN 9,,,,,,
2020-10-31 09:32:44,Other,CAR 5 (VET) TIME 1:17.271 DELETED - TRACK LIMITS AT TURN 15,,,,,,
2020-10-31 09:34:35,Other,CAR 99 (GIO) TIME 1:22.064 DELETED - TRACK LIMITS AT TURN 15,,,,,,
2020-10-31 09:34:50,Flag,YELLOW IN TRACK SECTOR 18,,YELLOW,Sector,18.0,,
2020-10-31 09:34:53,Flag,CLEAR IN TRACK SECTOR 18,,CLEAR,Sector,18.0,,
2020-10-31 09:34:54,Other,CAR 31 (OCO) TIME 1:16.417 DELETED - TRACK LIMITS AT TURN 15,,,,,,
2020-10-31 09:35:22,Other,CAR 55 (SAI) TIME 1:20.650 DELETED - TRACK LIMITS AT TURN 9,,,,,,
2020-10-31 09:37:15,Other,CAR 99 (GIO) TIME 1:19.532 DELETED - TRACK LIMITS AT TURN 15,,,,,,
2020-10-31 09:38:53,Other,CAR 18 (STR) TIME 1:17.406 DELETED - TRACK LIMITS AT TURN 15,,,,,,
2020-10-31 09:39:02,Other,CAR 99 (GIO) TIME 1:19.011 DELETED - TRACK LIMITS AT TURN 15,,,,,,
2020-10-31 09:39:21,Other,CAR 16 (LEC) TIME 1:16.720 DELETED - TRACK LIMITS AT TURN 15,,,,,,
2020-10-31 09:40:08,Other,CAR 3 (RIC) TIME 1:16.641 DELETED - TRACK LIMITS AT TURN 15,,,,,,
2020-10-31 09:43:10,Other,CAR 23 (ALB) TIME 1:16.118 DELETED - TRACK LIMITS AT TURN 9,,,,,,
2020-10-31 09:43:36,Other,CAR 26 (KVY) TIME 1:18.637 DELETED - TRACK LIMITS AT TURN 9,,,,,,
2020-10-31 09:47:08,Other,CAR 8 (GRO) TIME 1:16.998 DELETED - TRACK LIMITS AT TURN 15,,,,,,
2020-10-31 09:50:43,Other,CAR 55 (SAI) TIME 1:15.730 DELETED - TRACK LIMITS AT TURN 15,,,,,,
2020-10-31 09:51:03,Other,CAR 7 (RAI) TIME 1:21.123 DELETED - TRACK LIMITS AT TURN 9,,,,,,
2020-10-31 09:51:23,CarEvent,CAR 20 (MAG) MISSED THE APEX OF TURN 15,,,,,20,
2020-10-31 09:51:58,Flag,YELLOW IN TRACK SECTOR 15,,YELLOW,Sector,15.0,,
2020-10-31 09:52:05,Flag,CLEAR IN TRACK SECTOR 15,,CLEAR,Sector,15.0,,
2020-10-31 09:55:57,Other,CAR 5 (VET) TIME 1:20.503 DELETED - TRACK LIMITS AT TURN 10,,,,,,
2020-10-31 09:58:05,Other,CAR 5 (VET) TIME 1:20.545 DELETED - TRACK LIMITS AT TURN 9,,,,,,
2020-10-31 10:00:48,Other,CAR 26 (KVY) TIME 1:16.782 DELETED - TRACK LIMITS AT TURN 15,,,,,,
2020-10-31 10:02:38,Other,CAR 10 (GAS) TIME 1:18.531 DELETED - TRACK LIMITS AT TURN 9,,,,,,
2020-10-31 10:03:59,Other,CAR 23 (ALB) TIME 1:15.953 DELETED - TRACK LIMITS AT TURN 15,,,,,,
2020-10-31 10:04:10,Other,CAR 5 (VET) TIME 1:20.444 DELETED - TRACK LIMITS AT TURN 9,,,,,,
2020-10-31 10:05:50,Other,CAR 16 (LEC) TIME 1:21.117 DELETED - TRACK LIMITS AT TURN 15,,,,,,
2020-10-31 10:11:38,Other,CAR 20 (MAG) TIME 1:21.239 DELETED - TRACK LIMITS AT TURN 9,,,,,,
2020-10-31 10:12:54,Other,CAR 77 (BOT) TIME 1:19.601 DELETED - TRACK LIMITS AT TURN 15,,,,,,
2020-10-31 10:13:52,Other,CAR 8 (GRO) TIME 1:21.040 DELETED - TRACK LIMITS AT TURN 15,,,,,,
2020-10-31 10:15:29,Other,CAR 77 (BOT) TIME 1:20.465 DELETED - TRACK LIMITS AT TURN 15,,,,,,
2020-10-31 10:19:41,CarEvent,CAR 63 (RUS) OFF TRACK AND CONTINUED AT TURN 13,,,,,63,
2020-10-31 10:21:37,Other,CAR 4 (NOR) TIME 1:15.856 DELETED - TRACK LIMITS AT TURN 9,,,,,,
2020-10-31 10:23:27,Other,CAR 44 (HAM) TIME 1:23.859 DELETED - TRACK LIMITS AT TURN 15,,,,,,
2020-10-31 10:23:34,Other,CAR 20 (MAG) TIME 1:24.385 DELETED - TRACK LIMITS AT TURN 15,,,,,,
2020-10-31 10:24:04,Other,CAR 18 (STR) TIME 1:22.571 DELETED - TRACK LIMITS AT TURN 15,,,,,,
2020-10-31 10:24:47,Other,CAR 4 (NOR) TIME 1:21.369 DELETED - TRACK LIMITS AT TURN 9,,,,,,
2020-10-31 10:25:04,Other,CAR 77 (BOT) TIME 1:20.042 DELETED - TRACK LIMITS AT TURN 15,,,,,,
2020-10-31 10:26:35,CarEvent,CAR 77 (BOT) OFF TRACK AND CONTINUED AT TURN 13,,,,,77,
2020-10-31 10:29:10,Other,CAR 55 (SAI) TIME 1:22.682 DELETED - TRACK LIMITS AT TURN 9,,,,,,
2020-10-31 10:29:14,Other,CAR 33 (VER) TIME 1:18.935 DELETED - TRACK LIMITS AT TURN 9,,,,,,
2020-10-31 10:30:00,Flag,CHEQUERED FLAG,,CHEQUERED,Track,,,
2020-10-31 10:41:30,Flag,YELLOW IN TRACK SECTOR 5,,YELLOW,Sector,5.0,,
2020-10-31 10:41:34,Flag,CLEAR IN TRACK SECTOR 5,,CLEAR,Sector,5.0,,
