Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
1086.498,STR,18,,1.0,1.0,961.407,,,45.503,39.026,,1047.472,1086.741,221.0,257.0,173.0,188.0,False,INTERMEDIATE,1.0,True,Racing Point,961.407,2020-11-14 12:01:01.607,1,,False,,False,False
1213.965,STR,18,127.467,2.0,1.0,,,47.358,46.743,33.366,1133.856,1180.599,1213.965,238.0,253.0,180.0,228.0,True,INTERMEDIATE,2.0,True,Racing Point,1086.498,2020-11-14 12:03:06.698,12,,False,,False,True
1348.567,STR,18,134.602,3.0,1.0,,1347.943,47.616,51.275,35.711,1261.581,1312.856,1348.567,216.0,223.0,,179.0,False,INTERMEDIATE,3.0,True,Racing Point,1213.965,2020-11-14 12:05:14.165,12,,False,,False,False
1520.776,STR,18,,4.0,2.0,1388.62,1520.146,84.117,50.65,37.446,1432.68,1483.345,1521.309,212.0,243.0,,179.0,False,WET,3.0,False,Racing Point,1348.567,2020-11-14 12:07:28.767,12,,False,,False,False
4725.676,STR,18,,5.0,3.0,4303.078,4430.271,,45.533,,,4390.086,,222.0,256.0,,159.0,False,WET,1.0,True,Racing Point,4303.078,2020-11-14 12:56:43.278,125,,False,,False,False
4863.09,STR,18,,6.0,4.0,4725.676,,,49.998,45.722,,4817.368,4863.24,185.0,259.0,161.0,155.0,False,WET,1.0,True,Racing Point,4725.676,2020-11-14 13:03:45.876,12,,False,,False,False
4996.809,STR,18,133.719,7.0,4.0,,4996.165,48.621,49.824,35.274,4911.711,4961.535,4996.809,218.0,254.0,,183.0,False,WET,2.0,True,Racing Point,4863.09,2020-11-14 13:06:03.290,21,,False,,False,False
5539.061,STR,18,,8.0,5.0,5415.685,,,43.027,39.181,,5499.931,5539.062,237.0,264.0,195.0,193.0,False,WET,4.0,False,Racing Point,4996.809,2020-11-14 13:08:17.009,21,,False,,False,False
5656.518,STR,18,117.457,9.0,5.0,,,43.993,42.229,31.235,5583.054,5625.283,5656.518,246.0,271.0,202.0,227.0,True,WET,5.0,False,Racing Point,5539.061,2020-11-14 13:17:19.261,1,,False,,False,True
5772.248,STR,18,115.73,10.0,5.0,,,43.249,41.28,31.201,5699.767,5741.047,5772.248,252.0,271.0,203.0,222.0,True,WET,6.0,False,Racing Point,5656.518,2020-11-14 13:19:16.718,1,,False,,False,True
5889.596,STR,18,117.348,11.0,5.0,,,44.058,42.26,31.03,5816.306,5858.566,5889.596,232.0,266.0,213.0,228.0,False,WET,7.0,False,Racing Point,5772.248,2020-11-14 13:21:12.448,1,,False,,False,True
6004.118,STR,18,114.522,12.0,5.0,,,42.825,40.839,30.858,5932.421,5973.26,6004.118,253.0,273.0,213.0,221.0,True,WET,8.0,False,Racing Point,5889.596,2020-11-14 13:23:09.796,1,,False,,False,True
6125.222,STR,18,121.104,13.0,5.0,,,43.058,43.358,34.688,6047.176,6090.534,6125.222,226.0,164.0,210.0,214.0,False,WET,9.0,False,Racing Point,6004.118,2020-11-14 13:25:04.318,1,,False,,False,True
6238.594,STR,18,113.372,14.0,5.0,,,41.94,40.72,30.712,6167.162,6207.882,6238.594,258.0,266.0,218.0,236.0,True,WET,10.0,False,Racing Point,6125.222,2020-11-14 13:27:05.422,1,,False,,False,True
6355.613,STR,18,117.019,15.0,5.0,,6354.891,42.479,41.874,32.666,6281.073,6322.947,6355.613,249.0,265.0,,219.0,False,WET,11.0,False,Racing Point,6238.594,2020-11-14 13:28:58.794,1,,False,,False,False
6890.034,STR,18,,16.0,6.0,6775.159,,,41.802,32.777,,6857.279,6890.131,236.0,261.0,212.0,160.0,False,WET,2.0,False,Racing Point,6355.613,2020-11-14 13:30:55.813,1,,False,,False,False
7003.866,STR,18,113.832,17.0,6.0,,,42.47,40.185,31.177,6932.504,6972.689,7003.866,260.0,268.0,211.0,226.0,True,WET,3.0,False,Racing Point,6890.034,2020-11-14 13:39:50.234,1,,False,,False,True
7120.051,STR,18,116.185,18.0,6.0,,7119.355,42.809,41.283,32.093,7046.675,7087.958,7120.051,254.0,263.0,,224.0,False,WET,4.0,False,Racing Point,7003.866,2020-11-14 13:41:44.066,12,,False,,False,False
