Time,Status,Message
0.0,2,Yellow
66.485,1,AllClear
2021.378,2,Yellow
2030.775,1,AllClear
2089.88,2,Yellow
2094.19,1,AllClear
2103.673,2,Yellow
2110.183,1,AllClear
2137.61,2,Yellow
2148.638,1,AllClear
3438.09,2,Yellow
3480.357,6,VSCDeployed
3658.764,7,VSCEnding
3673.477,1,AllClear
3947.991,2,Yellow
3952.931,1,AllClear
4038.983,2,Yellow
4050.587,1,AllClear
4050.845,2,Yellow
4058.36,1,AllClear
4353.271,2,Yellow
4363.898,1,AllClear
5651.005,2,Yellow
5656.959,1,AllClear
6192.11,2,Yellow
6215.327,1,AllClear
6272.852,2,Yellow
6278.466,1,AllClear
6334.843,2,Yellow
6345.067,1,AllClear
6355.86,2,Yellow
6364.11,1,AllClear
6369.782,2,Yellow
6379.593,1,AllClear
7143.771,2,Yellow
7156.77,1,AllClear
7204.231,2,Yellow
7209.74,1,AllClear
7414.24,2,Yellow
7422.88,1,AllClear
8325.269,2,Yellow
8329.317,1,AllClear
8337.752,2,Yellow
