Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
2164.851,GAS,10,147.729,1.0,1.0,,2163.087,,75.022,35.311,,2129.566,2165.018,97.0,175.0,,254.0,False,MEDIUM,4.0,False,AlphaTauri,2016.921,2020-11-29 14:13:36.973,15,7.0,False,,False,False
7115.887,GAS,10,,2.0,2.0,6923.556,,,77.873,60.604,,7055.309,7116.134,78.0,50.0,52.0,193.0,False,HARD,1.0,True,AlphaTauri,6900.402,2020-11-29 15:35:00.454,1,9.0,False,,False,False
7294.784,GAS,10,,3.0,2.0,,,82.138,64.647,32.084,7198.273,7262.749,7294.965,235.0,194.0,252.0,269.0,False,HARD,2.0,True,AlphaTauri,7115.887,2020-11-29 15:38:35.939,124,10.0,False,,False,False
7433.606,GAS,10,138.822,4.0,2.0,,,39.795,65.579,33.448,7334.605,7400.184,7433.632,197.0,111.0,194.0,198.0,True,HARD,3.0,True,AlphaTauri,7294.784,2020-11-29 15:41:34.836,4,10.0,False,,False,False
7584.946,GAS,10,,5.0,2.0,,,41.948,67.178,42.229,7475.572,7542.768,7585.138,162.0,200.0,148.0,263.0,False,HARD,4.0,True,AlphaTauri,7433.606,2020-11-29 15:43:53.658,4,9.0,False,,False,False
7722.747,GAS,10,137.801,6.0,2.0,,,37.826,62.392,37.583,7622.798,7685.19,7722.773,119.0,146.0,140.0,262.0,True,HARD,5.0,True,AlphaTauri,7584.946,2020-11-29 15:46:24.998,4,9.0,False,,False,False
7860.956,GAS,10,138.209,7.0,2.0,,,41.538,58.178,38.493,7764.311,7822.489,7860.982,120.0,76.0,152.0,239.0,False,HARD,6.0,True,AlphaTauri,7722.747,2020-11-29 15:48:42.799,4,9.0,False,,False,False
8008.268,GAS,10,147.312,8.0,2.0,,,46.259,59.889,41.164,7907.241,7967.13,8008.294,94.0,105.0,290.0,264.0,False,HARD,7.0,True,AlphaTauri,7860.956,2020-11-29 15:51:01.008,41,9.0,False,,False,False
8106.748,GAS,10,98.48,9.0,2.0,,,31.615,42.702,24.163,8039.909,8082.611,8106.774,240.0,243.0,288.0,317.0,True,HARD,8.0,True,AlphaTauri,8008.268,2020-11-29 15:53:28.320,1,10.0,False,,False,True
8204.175,GAS,10,97.427,10.0,2.0,,,31.034,42.462,23.931,8137.808,8180.27,8204.201,234.0,250.0,287.0,306.0,True,HARD,9.0,True,AlphaTauri,8106.748,2020-11-29 15:55:06.800,1,10.0,False,,False,True
8301.107,GAS,10,96.932,11.0,2.0,,,30.779,42.235,23.918,8234.98,8277.215,8301.133,232.0,250.0,296.0,299.0,True,HARD,10.0,True,AlphaTauri,8204.175,2020-11-29 15:56:44.227,1,10.0,False,,False,True
8399.517,GAS,10,98.41,12.0,2.0,,,30.675,43.544,24.191,8331.808,8375.352,8399.543,233.0,244.0,294.0,317.0,False,HARD,11.0,True,AlphaTauri,8301.107,2020-11-29 15:58:21.159,1,10.0,False,,False,True
8496.194,GAS,10,96.677,13.0,2.0,,,30.561,42.217,23.899,8430.104,8472.321,8496.22,231.0,249.0,284.0,324.0,True,HARD,12.0,True,AlphaTauri,8399.517,2020-11-29 15:59:59.569,12,9.0,False,,False,True
8592.947,GAS,10,96.753,14.0,2.0,,,30.763,42.109,23.881,8526.983,8569.092,8592.973,230.0,247.0,284.0,295.0,False,HARD,13.0,True,AlphaTauri,8496.194,2020-11-29 16:01:36.246,1,9.0,False,,False,True
8689.945,GAS,10,96.998,15.0,2.0,,,30.844,42.17,23.984,8623.817,8665.987,8689.971,231.0,250.0,284.0,,False,HARD,14.0,True,AlphaTauri,8592.947,2020-11-29 16:03:12.999,1,9.0,False,,False,True
8786.878,GAS,10,96.933,16.0,2.0,,,30.819,42.116,23.998,8720.79,8762.906,8786.904,232.0,253.0,282.0,298.0,False,HARD,15.0,True,AlphaTauri,8689.945,2020-11-29 16:04:49.997,1,8.0,False,,False,True
8883.704,GAS,10,96.826,17.0,2.0,,,30.651,42.293,23.882,8817.555,8859.848,8883.73,,249.0,282.0,296.0,False,HARD,16.0,True,AlphaTauri,8786.878,2020-11-29 16:06:26.930,1,8.0,False,,False,True
8980.298,GAS,10,96.594,18.0,2.0,,,30.722,42.016,23.856,8914.452,8956.468,8980.324,,248.0,282.0,297.0,True,HARD,17.0,True,AlphaTauri,8883.704,2020-11-29 16:08:03.756,1,7.0,False,,False,True
9076.977,GAS,10,96.679,19.0,2.0,,,30.783,42.058,23.838,9011.107,9053.165,9077.003,233.0,247.0,283.0,298.0,False,HARD,18.0,True,AlphaTauri,8980.298,2020-11-29 16:09:40.350,1,6.0,False,,False,True
9173.855,GAS,10,96.878,20.0,2.0,,,30.802,42.033,24.043,9107.805,9149.838,9173.881,234.0,248.0,282.0,,False,HARD,19.0,True,AlphaTauri,9076.977,2020-11-29 16:11:17.029,1,5.0,False,,False,True
9271.192,GAS,10,97.337,21.0,2.0,,,30.927,42.4,24.01,9204.808,9247.208,9271.218,233.0,250.0,281.0,300.0,False,HARD,20.0,True,AlphaTauri,9173.855,2020-11-29 16:12:53.907,1,4.0,False,,False,True
9368.15,GAS,10,96.958,22.0,2.0,,,30.801,42.235,23.922,9302.019,9344.254,9368.176,,250.0,280.0,296.0,False,HARD,21.0,True,AlphaTauri,9271.192,2020-11-29 16:14:31.244,1,3.0,False,,False,True
9466.235,GAS,10,98.085,23.0,2.0,,,31.484,42.502,24.099,9399.66,9442.162,9466.261,,248.0,282.0,295.0,False,HARD,22.0,True,AlphaTauri,9368.15,2020-11-29 16:16:08.202,1,4.0,False,,False,True
9564.241,GAS,10,98.006,24.0,2.0,,,31.581,42.408,24.017,9497.842,9540.25,9564.267,231.0,250.0,283.0,298.0,False,HARD,23.0,True,AlphaTauri,9466.235,2020-11-29 16:17:46.287,1,5.0,False,,False,True
9663.61,GAS,10,99.369,25.0,2.0,,9661.961,30.827,42.114,26.428,9595.094,9637.208,9663.636,230.0,251.0,,301.0,False,HARD,24.0,True,AlphaTauri,9564.241,2020-11-29 16:19:24.293,1,5.0,False,,False,False
9779.109,GAS,10,115.499,26.0,3.0,9686.465,,51.024,41.102,23.373,9714.66,9755.762,9779.135,233.0,252.0,282.0,226.0,False,HARD,1.0,True,AlphaTauri,9663.61,2020-11-29 16:21:03.662,1,9.0,False,,False,False
9874.477,GAS,10,95.368,27.0,3.0,,,30.468,41.417,23.483,9809.603,9851.02,9874.503,234.0,247.0,282.0,296.0,True,HARD,2.0,True,AlphaTauri,9779.109,2020-11-29 16:22:59.161,1,9.0,False,,False,True
