Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
1550.844,RIC,3,,1.0,1.0,1452.542,,,34.326,24.386,,1526.483,1551.008,221.0,150.0,292.0,183.0,False,MEDIUM,1.0,True,Renault,1452.542,2020-12-04 17:39:12.603,1,,False,,False,False
1606.491,RIC,3,55.647,2.0,1.0,,,19.362,19.602,16.683,1570.206,1589.808,1606.491,284.0,266.0,291.0,323.0,True,MEDIUM,2.0,True,Renault,1550.844,2020-12-04 17:40:50.905,1,,False,,False,True
1698.747,RIC,3,92.256,3.0,1.0,,,30.765,39.777,21.714,1637.256,1677.033,1698.747,147.0,134.0,292.0,257.0,False,MEDIUM,3.0,True,Renault,1606.491,2020-12-04 17:41:46.552,1,,False,,False,True
1754.48,RIC,3,55.733,4.0,1.0,,,19.339,19.706,16.688,1718.086,1737.792,1754.48,284.0,266.0,290.0,321.0,False,MEDIUM,4.0,True,Renault,1698.747,2020-12-04 17:43:18.808,1,,False,,False,True
1839.504,RIC,3,85.024,5.0,1.0,,,30.485,32.275,22.264,1784.965,1817.24,1839.504,186.0,147.0,291.0,218.0,False,MEDIUM,5.0,True,Renault,1754.48,2020-12-04 17:44:14.541,1,,False,,False,True
1895.334,RIC,3,55.83,6.0,1.0,,,19.272,19.738,16.82,1858.776,1878.514,1895.334,283.0,262.0,288.0,322.0,False,MEDIUM,6.0,True,Renault,1839.504,2020-12-04 17:45:39.565,1,,False,,False,True
1967.475,RIC,3,72.141,7.0,1.0,,1965.725,24.361,25.996,21.784,1919.695,1945.691,1967.475,199.0,231.0,,250.0,False,MEDIUM,7.0,True,Renault,1895.334,2020-12-04 17:46:35.395,1,,False,,False,False
3250.95,RIC,3,,8.0,2.0,3165.892,,,34.693,22.945,,3229.086,3251.079,168.0,149.0,293.0,137.0,False,SOFT,1.0,True,Renault,1967.475,2020-12-04 17:47:47.536,12,,False,,False,False
3306.074,RIC,3,55.124,9.0,2.0,,,19.122,19.47,16.532,3270.072,3289.542,3306.074,286.0,269.0,293.0,322.0,True,SOFT,2.0,True,Renault,3250.95,2020-12-04 18:09:11.011,1,,False,,False,True
3391.612,RIC,3,85.538,10.0,2.0,,,28.8,32.364,24.374,3334.874,3367.238,3391.612,172.0,170.0,206.0,252.0,False,SOFT,3.0,True,Renault,3306.074,2020-12-04 18:10:06.135,1,,False,,False,True
3477.308,RIC,3,85.696,11.0,2.0,,,29.358,36.828,19.51,3420.97,3457.798,3477.308,185.0,182.0,293.0,207.0,False,SOFT,4.0,True,Renault,3391.612,2020-12-04 18:11:31.673,1,,False,,False,True
3532.698,RIC,3,55.39,12.0,2.0,,,19.195,19.527,16.668,3496.503,3516.03,3532.698,283.0,266.0,289.0,322.0,False,SOFT,5.0,True,Renault,3477.308,2020-12-04 18:12:57.369,12,,False,,False,True
3608.447,RIC,3,75.749,13.0,2.0,,3606.857,22.851,25.702,27.196,3555.549,3581.251,3608.447,227.0,190.0,,266.0,False,SOFT,6.0,True,Renault,3532.698,2020-12-04 18:13:52.759,1,,False,,False,False
4419.682,RIC,3,,14.0,3.0,4354.225,,,21.394,17.319,,4402.377,4420.883,264.0,260.0,281.0,196.0,False,SOFT,7.0,False,Renault,3608.447,2020-12-04 18:15:08.508,1,,False,,False,False
4478.034,RIC,3,58.352,15.0,3.0,,,20.188,20.943,17.221,4439.87,4460.813,4478.034,275.0,261.0,283.0,298.0,False,SOFT,8.0,False,Renault,4419.682,2020-12-04 18:28:39.743,1,,False,,False,True
4536.509,RIC,3,58.475,16.0,3.0,,,20.248,20.998,17.229,4498.282,4519.28,4536.509,,260.0,283.0,301.0,False,SOFT,9.0,False,Renault,4478.034,2020-12-04 18:29:38.095,1,,False,,False,True
4594.804,RIC,3,58.295,17.0,3.0,,,20.191,20.876,17.228,4556.7,4577.576,4594.804,276.0,261.0,284.0,299.0,False,SOFT,10.0,False,Renault,4536.509,2020-12-04 18:30:36.570,1,,False,,False,True
